gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000050327|ARHGEF5	0.251652025772801	0.336735592301762	AD	Control	238
ENSG00000050344|NFE2L3	0.0940863853614451	0.473613679325499	AD	Control	238
ENSG00000050730|TNIP3	0.100463341700226	0.400806429342687	AD	Control	238
ENSG00000052723|SIKE1	-0.173785723680947	0.0383011931064636	AD	Control	238
ENSG00000038295|TLL1	-0.227719679813296	0.0645643983114087	AD	Control	238
ENSG00000053438|NNAT	-0.408920613652593	0.0050416568724262	AD	Control	238
ENSG00000054803|CBLN4	-0.58511455116356	0.0039922232934918	AD	Control	238
ENSG00000013297|CLDN11	0.181332197869153	0.220679010262547	AD	Control	238
ENSG00000054965|FAM168A	-0.0239727201916179	0.592131482820972	AD	Control	238
ENSG00000054967|RELT	0.0824247640779455	0.444579408704687	AD	Control	238
ENSG00000004897|CDC27	-0.0529502373679731	0.583199698603722	AD	Control	238
ENSG00000057294|PKP2	0.0268740084459644	0.822067630520222	AD	Control	238
ENSG00000196083|IL1RAP	0.0203328014039653	0.831952096321759	AD	Control	238
ENSG00000058799|YIPF1	-0.0605064326237246	0.541248036061178	AD	Control	238
ENSG00000133597|ADCK2	-0.0657676365013556	0.490709233799449	AD	Control	238
ENSG00000040933|INPP4A	-0.167436345135551	0.0137024137712034	AD	Control	238
ENSG00000059804|SLC2A3	0.0917574656761652	0.458711162584927	AD	Control	238
ENSG00000136960|ENPP2	0.257689557292921	0.08109407892549	AD	Control	238
ENSG00000060069|CTDP1	0.0307897471172354	0.692802231772621	AD	Control	238
ENSG00000060140|STYK1	-0.235248139383901	0.105964018488743	AD	Control	238
ENSG00000088256|GNA11	0.0658580291885048	0.396251958846982	AD	Control	238
ENSG00000060566|CREB3L3	-0.0312092925827628	0.919361221739463	AD	Control	238
ENSG00000060642|PIGV	0.114526384821469	0.0911633146531299	AD	Control	238
ENSG00000061273|HDAC7	0.218510474743492	0.0733085361807382	AD	Control	238
ENSG00000061794|MRPS35	-0.148780900364218	0.142675811933211	AD	Control	238
ENSG00000026950|BTN3A1	0.302448695468227	0.0003974044947244	AD	Control	238
ENSG00000062725|APPBP2	-0.132331627783027	0.152031028726329	AD	Control	238
ENSG00000063177|RPL18	0.149966734023324	0.105287781784677	AD	Control	238
ENSG00000063180|CA11	-0.155540398493325	0.375648136107808	AD	Control	238
ENSG00000063241|ISOC2	0.0314672882644712	0.722796098009285	AD	Control	238
ENSG00000063245|EPN1	-0.0785004254681189	0.415754798048636	AD	Control	238
ENSG00000012124|CD22	0.390896405074161	0.0119380175394856	AD	Control	238
ENSG00000063515|GSC2	0.135027292553249	1.0	AD	Control	238
ENSG00000067646|ZFY	-0.398550070088263	0.55284083845216	AD	Control	238
ENSG00000069998|HDHD5	-0.0254843533146053	0.694380002092041	AD	Control	238
ENSG00000053918|KCNQ1	0.302299745457591	0.0464772313742506	AD	Control	238
ENSG00000070985|TRPM5	0.0924811020722201	0.757598897803391	AD	Control	238
ENSG00000071575|TRIB2	-0.134898747725944	0.13335664314844	AD	Control	238
ENSG00000068308|OTUD5	-0.0997555990435095	0.10158473199782	AD	Control	238
ENSG00000068394|GPKOW	-0.0540205051408947	0.447287726156445	AD	Control	238
ENSG00000021776|AQR	-0.0305695445939873	0.658444274291941	AD	Control	238
ENSG00000167759|KLK13	0.381488423825117	1.0	AD	Control	238
ENSG00000129437|KLK14	0.295805850209864	0.186921276005184	AD	Control	238
ENSG00000070526|ST6GALNAC1	0.318767180818329	0.0348189921520937	AD	Control	238
ENSG00000071655|MBD3	0.0126410889015151	0.908268070517996	AD	Control	238
ENSG00000071282|LMCD1	0.090003399541262	0.687834048908116	AD	Control	238
ENSG00000013275|PSMC4	-0.137624310666462	0.106134341556559	AD	Control	238
ENSG00000073598|FNDC8	0.434982932804674	1.0	AD	Control	238
ENSG00000004660|CAMKK1	-0.182094845074305	0.102507403488919	AD	Control	238
ENSG00000071859|FAM50A	0.0401327060923171	0.672011491669492	AD	Control	238
ENSG00000072818|ACAP1	0.217574100041864	0.0228654522320636	AD	Control	238
ENSG00000072849|DERL2	0.107409249851028	0.171273953080676	AD	Control	238
ENSG00000074771|NOX3	0.424441998800949	1.0	AD	Control	238
ENSG00000074855|ANO8	0.0049643712043329	0.967182571330043	AD	Control	238
ENSG00000127663|KDM4B	0.1430672870544	0.171227046386472	AD	Control	238
ENSG00000073150|PANX2	-0.092070328437022	0.560561950345649	AD	Control	238
ENSG00000076662|ICAM3	-0.0095473698280891	0.951669843110661	AD	Control	238
ENSG00000076826|CAMSAP3	-0.0898558879027773	0.395438627715387	AD	Control	238
ENSG00000077063|CTTNBP2	-0.0544761602924563	0.446362980829944	AD	Control	238
ENSG00000077080|ACTL6B	-0.241101293681994	0.0675933165165952	AD	Control	238
ENSG00000147724|FAM135B	-0.0498095234392633	0.684333430997563	AD	Control	238
ENSG00000079432|CIC	0.145923069116599	0.258458352222391	AD	Control	238
ENSG00000079616|KIF22	-0.045045409874108	0.544545457173213	AD	Control	238
ENSG00000079385|CEACAM1	0.0985780284548445	0.512963292276721	AD	Control	238
ENSG00000047188|YTHDC2	-0.202838828457594	0.0253134509245204	AD	Control	238
ENSG00000064545|TMEM161A	0.113595207193655	0.177347527024673	AD	Control	238
ENSG00000050820|BCAR1	0.13585551698196	0.26013066786832	AD	Control	238
ENSG00000065970|FOXJ2	0.0920299514365615	0.155722789439568	AD	Control	238
ENSG00000067182|TNFRSF1A	0.354334066660989	0.0169907841828608	AD	Control	238
ENSG00000066455|GOLGA5	-0.0977971686247607	0.136325748700133	AD	Control	238
ENSG00000067365|METTL22	0.0681508164837436	0.398663976583738	AD	Control	238
ENSG00000008300|CELSR3	-0.116201362484894	0.193753351840168	AD	Control	238
ENSG00000068971|PPP2R5B	-0.130582183902223	0.0303464036050624	AD	Control	238
ENSG00000068976|PYGM	0.291556923461223	0.0494431505503817	AD	Control	238
ENSG00000069399|BCL3	0.322928063483251	0.166650589293631	AD	Control	238
ENSG00000069424|KCNAB2	-0.181853401610782	0.0593203118815691	AD	Control	238
ENSG00000069943|PIGB	0.0078735648005912	0.932977358779566	AD	Control	238
ENSG00000067840|PDZD4	-0.21586011425529	0.0126832676854254	AD	Control	238
ENSG00000185864|NPIPB4	0.108216935366674	0.386485737877367	AD	Control	238
ENSG00000071677|PRLH	0.467300178635341	1.0	AD	Control	238
ENSG00000068615|REEP1	-0.145073945889116	0.156251907145218	AD	Control	238
ENSG00000070404|FSTL3	0.10522030358688	0.295228330861883	AD	Control	238
ENSG00000070886|EPHA8	0.134357105578295	0.460695489279444	AD	Control	238
ENSG00000071539|TRIP13	-0.0025098941009424	0.987912463555855	AD	Control	238
ENSG00000072682|P4HA2	0.18387938579533	0.0439195199427547	AD	Control	238
ENSG00000071246|VASH1	0.1544551325287	0.175583155116244	AD	Control	238
ENSG00000071994|PDCD2	-0.142135256280431	0.160177404566584	AD	Control	238
ENSG00000073350|LLGL2	0.3106283676006	0.0097022975541478	AD	Control	238
ENSG00000186847|KRT14	0.18096881752982	1.0	AD	Control	238
ENSG00000171431|KRT20	0.469798718591881	1.0	AD	Control	238
ENSG00000074964|ARHGEF10L	0.155292941807593	0.0430971167343336	AD	Control	238
ENSG00000072080|SPP2	0.0757495826913883	0.606870755330274	AD	Control	238
