gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000038219|BOD1L1	-0.081447944	6.55092e-06	AD	Control	160
ENSG00000059588|TARBP1	-0.516716189	1.60167e-10	AD	Control	160
ENSG00000039523|RIPOR1	0.036513154	1.87101e-05	AD	Control	160
ENSG00000039987|BEST2	-0.076765778	1.37968e-05	AD	Control	160
ENSG00000040608|RTN4R	-0.173215612	6.31716e-06	AD	Control	160
ENSG00000041357|PSMA4	-0.053692465	1.34129e-05	AD	Control	160
ENSG00000042062|RIPOR3	0.476619778	1.34791e-07	AD	Control	160
ENSG00000042317|SPATA7	-0.26368687	1.58162e-08	AD	Control	160
ENSG00000042813|ZPBP	-0.123797137	2.34472e-05	AD	Control	160
ENSG00000040531|CTNS	-0.166606399	3.42759e-06	AD	Control	160
ENSG00000043462|LCP2	0.085112457	1.5949e-05	AD	Control	160
ENSG00000047932|GOPC	-0.044272933	1.58427e-05	AD	Control	160
ENSG00000011465|DCN	1.183227404	1.4896800000000002e-18	AD	Control	160
ENSG00000048462|TNFRSF17	-0.412205332	3.25348e-06	AD	Control	160
ENSG00000048544|MRPS10	-0.039986219	1.58026e-05	AD	Control	160
ENSG00000048545|GUCA1A	-0.125810967	1.45475e-05	AD	Control	160
ENSG00000030582|GRN	0.023568086	2.42361e-05	AD	Control	160
ENSG00000041988|THAP3	-0.201441104	1.70478e-07	AD	Control	160
ENSG00000049245|VAMP3	0.064870268	1.71718e-05	AD	Control	160
ENSG00000049247|UTS2	-0.141847234	2.34509e-05	AD	Control	160
ENSG00000049449|RCN1	0.018015619	2.6315e-05	AD	Control	160
ENSG00000049541|RFC2	-0.03412489	1.84227e-05	AD	Control	160
ENSG00000049769|PPP1R3F	-0.067340531	1.11495e-05	AD	Control	160
ENSG00000050030|NEXMIF	-0.136841919	1.19856e-05	AD	Control	160
ENSG00000050327|ARHGEF5	0.52510608	1.04192e-08	AD	Control	160
ENSG00000050344|NFE2L3	-0.082237525	1.18551e-05	AD	Control	160
ENSG00000050730|TNIP3	-0.117100172	1.45191e-05	AD	Control	160
ENSG00000052723|SIKE1	0.03505802	1.82238e-05	AD	Control	160
ENSG00000038295|TLL1	-0.175091369	1.09553e-05	AD	Control	160
ENSG00000053438|NNAT	-0.345044959	1.05345e-06	AD	Control	160
ENSG00000054803|CBLN4	-0.486892633	1.36792e-06	AD	Control	160
ENSG00000013297|CLDN11	-0.240988056	7.07995e-06	AD	Control	160
ENSG00000054965|FAM168A	0.191233673	2.05179e-10	AD	Control	160
ENSG00000054967|RELT	-0.086203306	1.1097e-05	AD	Control	160
ENSG00000004897|CDC27	0.06527409	1.09087e-05	AD	Control	160
ENSG00000057294|PKP2	1.018674412	1.8993e-13	AD	Control	160
ENSG00000196083|IL1RAP	-0.084540645	7.70582e-06	AD	Control	160
ENSG00000058799|YIPF1	0.011382104	2.66203e-05	AD	Control	160
ENSG00000133597|ADCK2	-0.140490435	3.83386e-07	AD	Control	160
ENSG00000040933|INPP4A	-0.114677943	1.12581e-05	AD	Control	160
