MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000137177|KIF13A	ad	control	319.00	1.062	0.2881	-+	39.6	1.655	1	0.1982
ENSG00000079387|SENP1	ad	control	319.00	2.129	0.03327	++	26.3	1.356	1	0.2441
ENSG00000089048|ESF1	ad	control	319.00	-1.687	0.09167	--	52.1	2.086	1	0.1486
ENSG00000267497|NFE2L3P1	ad	control	319.00	-0.273	0.7848	-+	71.3	3.480	1	0.06212
ENSG00000278735|AL627230.8	ad	control	319.00	-0.035	0.9718	-0	0.0	0.001	1	0.9719
ENSG00000107897|ACBD5	ad	control	319.00	1.474	0.1406	++	0.0	0.469	1	0.4937
ENSG00000223896|CCNJP2	ad	control	319.00	-0.216	0.8292	--	0.0	0.004	1	0.9497
ENSG00000134508|CABLES1	ad	control	319.00	1.067	0.286	++	0.0	0.285	1	0.5934
ENSG00000282211|IGHV3-7	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000231726|HMGN2P38	ad	control	319.00	-0.628	0.5297	--	0.0	0.355	1	0.5511
ENSG00000187066|TMEM262	ad	control	319.00	0.062	0.9509	-+	80.5	5.131	1	0.0235
ENSG00000123999|INHA	ad	control	319.00	-3.492	0.0004786	--	85.2	6.742	1	0.009414
ENSG00000173567|ADGRF3	ad	control	319.00	0.584	0.5593	-+	58.1	2.386	1	0.1224
ENSG00000136450|SRSF1	ad	control	319.00	0.102	0.9189	+-	0.0	0.239	1	0.625
ENSG00000271005|CTHRC1P1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000229954|MTND2P2	ad	control	319.00	0.438	0.6616	+-	0.0	0.372	1	0.5421
ENSG00000182348|ZNF804B	ad	control	319.00	-1.767	0.07721	--	58.7	2.421	1	0.1197
ENSG00000206192|ANKRD20A9P	ad	control	319.00	-0.176	0.8607	+-	0.0	0.885	1	0.3468
ENSG00000169230|PRELID1	ad	control	319.00	-0.756	0.4499	--	0.0	0.087	1	0.768
ENSG00000230578|AC234781.5	ad	control	319.00	0.048	0.9617	+-	0.0	0.033	1	0.8567
ENSG00000172186|HMGN1P35	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000100911|PSME2	ad	control	319.00	-0.322	0.7477	-+	82.4	5.695	1	0.01701
ENSG00000270797|AC004987.4	ad	control	319.00	-1.009	0.3129	--	0.0	0.323	1	0.5698
ENSG00000198881|ASB12	ad	control	319.00	0.431	0.6665	+0	0.0	0.185	1	0.6675
ENSG00000090861|AARS	ad	control	319.00	0.076	0.9393	+-	84.7	6.518	1	0.01068
ENSG00000151650|VENTX	ad	control	319.00	0.934	0.3503	-+	51.8	2.073	1	0.1499
ENSG00000214174|AMZ2P1	ad	control	319.00	-3.648	0.0002647	--	39.9	1.663	1	0.1972
ENSG00000215817|ZC3H11B	ad	control	319.00	0.154	0.8779	+0	0.0	0.023	1	0.8782
ENSG00000121410|A1BG	ad	control	319.00	-4.624	3.766e-06	-+	95.5	22.456	1	2.151e-06
ENSG00000125816|NKX2-4	ad	control	319.00	-0.025	0.9804	-0	0.0	0.001	1	0.9805
ENSG00000241941|RPL32P26	ad	control	319.00	-0.580	0.5616	--	0.0	0.044	1	0.8337
ENSG00000147601|TERF1	ad	control	319.00	-1.927	0.05404	--	0.0	0.160	1	0.689
ENSG00000162704|ARPC5	ad	control	319.00	0.435	0.6638	++	0.0	0.053	1	0.8173
ENSG00000224081|SLC44A3-AS1	ad	control	319.00	1.608	0.1078	++	0.0	0.046	1	0.8308
ENSG00000122545|SEPT7	ad	control	319.00	-1.925	0.05418	--	16.4	1.196	1	0.274
ENSG00000218520|AL450346.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000166923|GREM1	ad	control	319.00	1.631	0.1028	++	9.8	1.109	1	0.2923
ENSG00000214447|FAM187A	ad	control	319.00	-0.651	0.5148	--	0.0	0.013	1	0.9077
ENSG00000237217|AC008074.1	ad	control	319.00	-0.992	0.3211	-+	58.0	2.378	1	0.123
ENSG00000230343|AC018892.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000010810|FYN	ad	control	319.00	6.439	1.204e-10	++	82.0	5.540	1	0.01858
ENSG00000147166|ITGB1BP2	ad	control	319.00	0.316	0.752	-+	81.9	5.516	1	0.01885
ENSG00000166510|CCDC68	ad	control	319.00	0.398	0.6908	+-	73.3	3.750	1	0.05282
ENSG00000237487|VN1R48P	ad	control	319.00	-0.415	0.6781	--	0.0	0.074	1	0.7858
ENSG00000215177|IGLV8OR8-1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
