MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000228286|AP000593.2	ad	control	319.00	-0.937	0.3488	-0	0.0	0.872	1	0.3503
ENSG00000258691|AL355102.2	ad	control	319.00	-0.319	0.7496	-+	35.2	1.543	1	0.2142
ENSG00000176595|KBTBD11	ad	control	319.00	-0.709	0.4786	+-	73.4	3.766	1	0.0523
ENSG00000281175|AL356585.6	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000131495|NDUFA2	ad	control	319.00	-3.963	7.412e-05	--	82.0	5.563	1	0.01834
ENSG00000270807|AC024153.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000105523|FAM83E	ad	control	319.00	-1.814	0.06972	-+	79.3	4.829	1	0.02799
ENSG00000251237|B3GNTL1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000101115|SALL4	ad	control	319.00	0.418	0.6758	-+	0.0	0.903	1	0.342
ENSG00000229765|AL354868.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000106080|FKBP14	ad	control	319.00	0.734	0.463	+-	83.0	5.874	1	0.01536
ENSG00000240122|FABP5P11	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000153207|AHCTF1	ad	control	319.00	3.008	0.002632	+-	89.3	9.341	1	0.002241
ENSG00000232880|NDUFB4P10	ad	control	319.00	-3.749	0.0001773	--	89.3	9.361	1	0.002217
ENSG00000248430|HMGB3P16	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000259101|LY6G6F-LY6G6D	ad	control	160.00	0.000	1	0?	0.0	0.000	0	1
ENSG00000233626|AC092814.1	ad	control	319.00	0.568	0.5698	+0	0.0	0.321	1	0.571
ENSG00000223422|AC007274.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000198734|F5	ad	control	319.00	0.025	0.9801	-+	0.0	0.001	1	0.9796
ENSG00000056558|TRAF1	ad	control	319.00	0.152	0.8791	-+	93.2	14.681	1	0.0001273
ENSG00000237446|RHEBP3	ad	control	319.00	0.035	0.9722	-+	0.0	0.547	1	0.4595
ENSG00000172007|RAB33B	ad	control	319.00	1.130	0.2587	++	0.0	0.644	1	0.4222
ENSG00000197978|GOLGA6L9	ad	control	319.00	0.409	0.6824	-+	0.0	0.409	1	0.5225
ENSG00000157343|ARMC12	ad	control	319.00	0.580	0.5617	-+	34.9	1.537	1	0.2151
ENSG00000227686|VARS	ad	control	319.00	-0.229	0.8186	-+	0.0	0.058	1	0.8098
ENSG00000275882|IKBKGP1	ad	control	319.00	0.225	0.8217	+-	0.0	0.559	1	0.4548
ENSG00000108924|HLF	ad	control	319.00	-0.879	0.3795	+-	55.0	2.225	1	0.1358
ENSG00000075461|CACNG4	ad	control	319.00	-1.840	0.06572	--	62.6	2.671	1	0.1022
ENSG00000233836|AC139769.1	ad	control	319.00	1.483	0.138	++	45.5	1.834	1	0.1757
ENSG00000145604|SKP2	ad	control	319.00	-0.712	0.4765	--	0.0	0.337	1	0.5614
ENSG00000228196|PTPN2P1	ad	control	319.00	0.323	0.7468	++	0.0	0.029	1	0.8646
ENSG00000237489|C10orf143	ad	control	319.00	-0.903	0.3666	--	0.0	0.175	1	0.6759
ENSG00000149972|CNTN5	ad	control	319.00	-2.437	0.01482	--	0.0	0.119	1	0.7297
ENSG00000174871|CNIH2	ad	control	319.00	-0.503	0.6149	--	0.0	0.241	1	0.6236
ENSG00000250040|RAF1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000224797|AL359092.1	ad	control	319.00	-0.249	0.8033	-+	55.2	2.231	1	0.1352
ENSG00000134531|EMP1	ad	control	319.00	4.282	1.85e-05	++	57.6	2.359	1	0.1246
ENSG00000197124|ZNF682	ad	control	319.00	-3.675	0.0002381	--	91.0	11.093	1	0.0008667
ENSG00000164199|ADGRV1	ad	control	319.00	0.789	0.43	+-	69.1	3.233	1	0.07216
ENSG00000158473|CD1D	ad	control	319.00	-1.659	0.09707	-+	88.2	8.446	1	0.003658
ENSG00000236439|AC099336.2	ad	control	319.00	1.270	0.2042	++	0.0	0.336	1	0.5622
ENSG00000267733|AP005264.5	ad	control	319.00	0.794	0.4274	++	0.0	0.057	1	0.8112
ENSG00000265836|CCND3P2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000101220|C20orf27	ad	control	319.00	-1.756	0.07907	-+	76.6	4.267	1	0.03885
ENSG00000113569|NUP155	ad	control	319.00	-0.846	0.3973	+-	21.6	1.275	1	0.2588
ENSG00000181788|SIAH2	ad	control	319.00	0.237	0.8126	+-	0.0	0.123	1	0.7255
ENSG00000071282|LMCD1	ad	control	319.00	1.006	0.3146	++	0.0	0.189	1	0.6635
ENSG00000105329|TGFB1	ad	control	319.00	2.762	0.00575	++	0.0	0.232	1	0.6302
ENSG00000160124|CCDC58	ad	control	319.00	-2.998	0.002718	--	65.8	2.920	1	0.08748
ENSG00000254817|AC107918.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000257121|AC126615.2	ad	control	319.00	0.337	0.7358	+0	0.0	0.113	1	0.7366
ENSG00000259258|AC013553.1	ad	control	319.00	-1.358	0.1746	--	0.0	0.577	1	0.4477
ENSG00000197961|ZNF121	ad	control	319.00	0.147	0.8828	+-	0.0	0.083	1	0.7732
ENSG00000275954|TBC1D3F	ad	control	319.00	-0.244	0.8076	-0	0.0	0.059	1	0.8082
ENSG00000263252|AC005341.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000184203|PPP1R2	ad	control	319.00	-2.891	0.003835	--	0.0	0.004	1	0.9521
ENSG00000187721|GTF2IP3	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000248098|BCKDHA	ad	control	319.00	-1.353	0.176	-+	85.0	6.645	1	0.009944
ENSG00000116871|MAP7D1	ad	control	319.00	-2.385	0.01707	-+	85.6	6.939	1	0.008431
ENSG00000285252|OR10AC1	ad	control	319.00	-1.739	0.08204	--	38.0	1.614	1	0.204
ENSG00000243824|RPL12P6	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000129038|LOXL1	ad	control	319.00	-0.240	0.8102	--	0.0	0.006	1	0.94
ENSG00000109339|MAPK10	ad	control	319.00	-0.657	0.5109	+-	47.1	1.890	1	0.1692
ENSG00000068305|MEF2A	ad	control	319.00	-0.740	0.4593	+-	5.3	1.056	1	0.3042
ENSG00000262435|WASH8P	ad	control	319.00	-1.089	0.2762	-+	81.4	5.377	1	0.02041
ENSG00000282072|AC243657.1	ad	control	319.00	0.250	0.8023	+0	0.0	0.062	1	0.8029
ENSG00000280267|PRAMEF26	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000162522|KIAA1522	ad	control	319.00	1.881	0.06002	++	35.6	1.553	1	0.2127
ENSG00000176909|MAMSTR	ad	control	319.00	-1.711	0.08716	-+	88.3	8.535	1	0.003484
ENSG00000124733|MEA1	ad	control	319.00	-2.539	0.01113	--	0.0	0.149	1	0.6992
ENSG00000235685|AC092473.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000091844|RGS17	ad	control	319.00	-2.779	0.005461	--	0.0	0.043	1	0.8356
ENSG00000257506|AC133555.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000281797|RDM1P2	ad	control	319.00	0.895	0.371	++	0.0	0.347	1	0.5555
ENSG00000120868|APAF1	ad	control	319.00	-2.375	0.01756	--	0.0	0.003	1	0.955
ENSG00000153015|CWC27	ad	control	319.00	-1.891	0.0586	--	0.0	0.219	1	0.6395
ENSG00000153815|CMIP	ad	control	319.00	-0.833	0.4047	--	0.0	0.072	1	0.7889
ENSG00000102032|RENBP	ad	control	319.00	1.734	0.08288	-+	75.4	4.068	1	0.04371
ENSG00000240463|RPS19P3	ad	control	319.00	0.318	0.7507	-+	78.4	4.631	1	0.03139
ENSG00000271550|BNIP3P11	ad	control	319.00	1.512	0.1306	++	52.8	2.120	1	0.1454
ENSG00000254103|PPIAP85	ad	control	319.00	0.320	0.7488	+0	0.0	0.102	1	0.7495
ENSG00000283804|AC254995.1	ad	control	319.00	-1.342	0.1795	-0	44.1	1.790	1	0.1809
ENSG00000230191|AC006970.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000147246|HTR2C	ad	control	319.00	-1.648	0.09937	--	0.0	0.013	1	0.9089
ENSG00000282371|TRBJ2-3	ad	control	319.00	-0.830	0.4064	-0	0.0	0.685	1	0.4079
ENSG00000203667|COX20	ad	control	319.00	-0.645	0.519	--	0.0	0.131	1	0.7174
ENSG00000131981|LGALS3	ad	control	319.00	2.852	0.004346	++	0.0	0.142	1	0.7066
ENSG00000092445|TYRO3	ad	control	319.00	0.297	0.7663	+-	66.8	3.015	1	0.08248
ENSG00000116698|SMG7	ad	control	319.00	0.518	0.6043	+-	0.0	0.765	1	0.3818
ENSG00000273865|HNRNPCL4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000120057|SFRP5	ad	control	319.00	1.046	0.2958	-+	28.4	1.396	1	0.2373
ENSG00000072840|EVC	ad	control	319.00	4.154	3.27e-05	++	83.8	6.159	1	0.01307
ENSG00000180747|SMG1P3	ad	control	319.00	0.179	0.8578	+-	0.0	0.044	1	0.8347
ENSG00000214414|TRIM77	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000285635|AC021660.3	ad	control	319.00	-0.764	0.4451	--	0.0	0.141	1	0.7073
ENSG00000204366|ZBTB12	ad	control	319.00	1.218	0.2231	++	0.0	0.161	1	0.6881
ENSG00000231362|AC069271.1	ad	control	319.00	-0.000	0.9999	+-	0.0	0.227	1	0.6338
ENSG00000283232|CYP2C23P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000260207|DUX4L47	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000267961|OR10B1P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000151014|NOCT	ad	control	319.00	-2.052	0.04013	--	0.0	0.774	1	0.3791
ENSG00000188439|OR4P1P	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000233473|RAD1P2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000232101|AC108059.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000270915|AC073410.2	ad	control	319.00	1.277	0.2017	++	0.0	0.030	1	0.8617
ENSG00000243680|RPL37P23	ad	control	319.00	0.388	0.6982	+0	0.0	0.149	1	0.6991
ENSG00000090432|MUL1	ad	control	319.00	1.461	0.144	+-	73.9	3.838	1	0.05011
ENSG00000218991|CCNG1P1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000228953|AC006026.2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000278308|NPIPA3	ad	control	319.00	-0.287	0.7738	-+	74.5	3.920	1	0.04772
ENSG00000160310|PRMT2	ad	control	319.00	1.328	0.1843	++	0.0	0.394	1	0.5303
ENSG00000034971|MYOC	ad	control	319.00	0.314	0.7533	+0	0.0	0.098	1	0.754
ENSG00000228429|AC004910.1	ad	control	319.00	-1.028	0.3038	-+	69.4	3.268	1	0.07063
ENSG00000249930|AC007016.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000176635|HORMAD2	ad	control	319.00	1.423	0.1549	++	45.4	1.833	1	0.1758
ENSG00000276870|PLA2G10	ad	control	319.00	-0.559	0.5763	-+	71.0	3.443	1	0.06352
ENSG00000277852|AC244255.1	ad	control	319.00	-0.162	0.8713	-0	0.0	0.026	1	0.8717
ENSG00000133136|GNG5P2	ad	control	319.00	-0.716	0.4737	-0	0.0	0.510	1	0.4751
ENSG00000157335|CLEC18C	ad	control	319.00	0.749	0.4538	-+	83.8	6.182	1	0.0129
ENSG00000284278|OR4C48P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000174780|SRP72	ad	control	319.00	-2.306	0.02113	--	0.0	0.513	1	0.4737
ENSG00000250479|CHCHD10	ad	control	319.00	-2.908	0.003636	--	54.6	2.202	1	0.1378
ENSG00000248794|AC026436.1	ad	control	319.00	0.233	0.816	-+	0.0	0.334	1	0.5633
ENSG00000257976|AL079352.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000226061|PCMTD1P1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000158122|PRXL2C	ad	control	319.00	4.093	4.259e-05	++	56.8	2.314	1	0.1282
ENSG00000259046|AL049870.4	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000215227|NUTF2P5	ad	control	319.00	1.305	0.1918	++	0.0	0.181	1	0.6709
ENSG00000050748|MAPK9	ad	control	319.00	-2.023	0.04312	--	0.0	0.373	1	0.5414
ENSG00000196235|SUPT5H	ad	control	319.00	-3.509	0.0004498	-+	93.7	15.955	1	6.487e-05
ENSG00000160472|TMEM190	ad	control	319.00	-0.716	0.4737	--	0.0	0.236	1	0.627
ENSG00000179300|RTL3	ad	control	319.00	-0.756	0.4494	-0	0.0	0.569	1	0.4508
ENSG00000178997|EXD1	ad	control	319.00	0.080	0.9362	-+	0.0	0.141	1	0.7078
ENSG00000224296|MRPL49P1	ad	control	319.00	0.446	0.6558	+0	0.0	0.197	1	0.6568
ENSG00000010322|NISCH	ad	control	319.00	-0.571	0.5677	--	0.0	0.187	1	0.6658
ENSG00000119720|NRDE2	ad	control	319.00	0.051	0.9592	-+	51.2	2.047	1	0.1525
ENSG00000119723|COQ6	ad	control	319.00	-4.367	1.258e-05	--	44.0	1.787	1	0.1813
ENSG00000228095|AL354692.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000233549|CYCSP35	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000055732|MCOLN3	ad	control	319.00	1.196	0.2316	++	0.0	0.105	1	0.746
ENSG00000171824|EXOSC10	ad	control	319.00	-0.286	0.7746	-+	80.9	5.232	1	0.02217
ENSG00000259429|UBE2Q2P2	ad	control	319.00	1.116	0.2645	++	0.0	0.003	1	0.9596
ENSG00000235489|DBF4P1	ad	control	319.00	-1.338	0.181	--	10.0	1.111	1	0.2918
ENSG00000250268|ALG1L14P	ad	control	319.00	-0.966	0.334	-0	0.0	0.928	1	0.3355
ENSG00000250565|ATP6V1E2	ad	control	319.00	1.573	0.1157	++	0.0	0.005	1	0.9431
ENSG00000273136|NBPF26	ad	control	319.00	1.676	0.09382	++	0.0	0.043	1	0.8349
ENSG00000206353|SKIV2L	ad	control	319.00	-0.830	0.4068	--	0.0	0.259	1	0.6106
ENSG00000198089|SFI1	ad	control	319.00	-0.318	0.7508	-+	89.4	9.422	1	0.002144
ENSG00000240356|RPL23AP7	ad	control	319.00	0.521	0.6024	+-	0.0	0.959	1	0.3275
ENSG00000283868|ZBTB4	ad	control	319.00	1.161	0.2458	++	0.0	0.513	1	0.474
ENSG00000234925|ATP5PDP4	ad	control	319.00	1.466	0.1427	++	0.0	0.781	1	0.3769
ENSG00000164129|NPY5R	ad	control	319.00	-1.948	0.05146	--	7.4	1.080	1	0.2986
ENSG00000188488|SERPINA5	ad	control	319.00	6.374	1.839e-10	++	86.8	7.554	1	0.005987
ENSG00000116983|HPCAL4	ad	control	319.00	-2.220	0.02643	--	0.0	0.643	1	0.4226
ENSG00000140564|FURIN	ad	control	319.00	3.478	0.0005053	++	84.6	6.501	1	0.01078
ENSG00000162728|KCNJ9	ad	control	319.00	-2.505	0.01224	--	0.0	0.218	1	0.6407
ENSG00000137947|GTF2B	ad	control	319.00	-0.776	0.4376	--	0.0	0.542	1	0.4616
ENSG00000235510|BX842568.4	ad	control	319.00	-0.241	0.8097	-0	0.0	0.058	1	0.8103
ENSG00000203933|CXorf66	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000178449|COX14	ad	control	319.00	-2.925	0.003447	--	22.8	1.296	1	0.255
ENSG00000106404|CLDN15	ad	control	319.00	2.082	0.03732	++	74.7	3.957	1	0.04669
ENSG00000135116|HRK	ad	control	319.00	-2.264	0.02359	--	70.7	3.408	1	0.06489
ENSG00000259105|RPS3AP4	ad	control	319.00	0.338	0.7351	++	0.0	0.087	1	0.7679
ENSG00000230946|HNRNPA1P68	ad	control	319.00	0.523	0.6011	++	0.0	0.216	1	0.6424
ENSG00000234668|ATP6V1G2	ad	control	319.00	-1.621	0.105	--	25.1	1.335	1	0.2479
ENSG00000232357|HSD17B8	ad	control	319.00	-1.724	0.08474	--	27.4	1.377	1	0.2406
ENSG00000230463|HLA-DRB3	ad	control	319.00	0.556	0.5784	-+	33.7	1.509	1	0.2193
ENSG00000269181|AC020914.5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000074706|IPCEF1	ad	control	319.00	-2.866	0.004151	--	0.0	0.682	1	0.4089
ENSG00000249878|AC026434.2	ad	control	319.00	-0.067	0.9469	-0	0.0	0.004	1	0.9471
ENSG00000244474|UGT1A4	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000100372|SLC25A17	ad	control	319.00	-2.258	0.02394	--	0.0	0.044	1	0.8329
ENSG00000172602|RND1	ad	control	319.00	-1.986	0.04708	--	0.0	0.719	1	0.3964
ENSG00000180815|MAP3K15	ad	control	319.00	1.403	0.1607	++	26.4	1.359	1	0.2438
ENSG00000243964|RPL23AP65	ad	control	319.00	-0.351	0.7252	-0	0.0	0.123	1	0.7261
ENSG00000102996|MMP15	ad	control	319.00	-0.325	0.7452	--	0.0	0.008	1	0.9294
ENSG00000151838|CCDC175	ad	control	319.00	-1.815	0.06954	--	0.0	0.084	1	0.7714
ENSG00000274176|CNOT3	ad	control	319.00	1.187	0.2352	++	0.0	0.467	1	0.4946
ENSG00000255536|AC023078.7	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000233561|DHX16	ad	control	319.00	-0.137	0.8911	-+	0.0	0.837	1	0.3602
ENSG00000229554|RPL21P24	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000226710|C6orf48	ad	control	319.00	-1.881	0.06001	-+	92.4	13.212	1	0.0002782
ENSG00000178586|OR6B3	ad	control	319.00	-1.498	0.1342	-0	55.2	2.230	1	0.1354
ENSG00000252246|RNA5SP92	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000271412|PRR13P3	ad	control	319.00	-0.694	0.4875	-0	0.0	0.479	1	0.4889
ENSG00000266470|AP001180.5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000274047|SYNRG	ad	control	319.00	1.938	0.05262	++	60.6	2.537	1	0.1112
ENSG00000112739|PRPF4B	ad	control	319.00	0.675	0.4994	+-	58.0	2.378	1	0.123
ENSG00000239351|NPM1P29	ad	control	319.00	-0.328	0.7432	-+	0.0	0.558	1	0.4552
ENSG00000136813|ECPAS	ad	control	319.00	-2.923	0.003469	--	0.0	0.039	1	0.8437
ENSG00000137959|IFI44L	ad	control	319.00	1.684	0.09221	-+	74.6	3.935	1	0.04729
ENSG00000211814|TRAV35	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000281668|IGKV1OR2-118	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000213358|AC092933.1	ad	control	319.00	-0.077	0.9383	-+	59.4	2.466	1	0.1164
ENSG00000137522|RNF121	ad	control	319.00	-0.854	0.3929	+-	0.0	0.755	1	0.3849
ENSG00000230756|RHOQP3	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000274847|MAFIP	ad	control	319.00	0.857	0.3913	-+	68.3	3.154	1	0.07573
ENSG00000213579|AL096829.1	ad	control	319.00	-0.117	0.9069	--	0.0	0.004	1	0.9472
ENSG00000182179|UBA7	ad	control	319.00	0.849	0.3961	-+	87.5	8.005	1	0.004665
ENSG00000285723|AL034430.2	ad	control	319.00	-0.046	0.9633	+-	0.0	0.472	1	0.4919
ENSG00000116783|TNNI3K	ad	control	319.00	-4.665	3.084e-06	--	86.2	7.224	1	0.007195
ENSG00000235360|C6orf47	ad	control	319.00	-0.190	0.8495	-+	61.8	2.615	1	0.1059
ENSG00000276256|AC011043.1	ad	control	319.00	-0.848	0.3967	+-	40.8	1.690	1	0.1937
ENSG00000250016|SNX18P23	ad	control	319.00	0.244	0.8074	0+	0.0	0.060	1	0.8068
ENSG00000278846|OLA1P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000204619|PPP1R11	ad	control	319.00	0.076	0.9398	-+	0.0	0.044	1	0.833
ENSG00000255294|OR4A50P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000075618|FSCN1	ad	control	319.00	-1.848	0.06455	--	0.0	0.097	1	0.7552
ENSG00000188984|AADACL3	ad	control	319.00	0.657	0.5114	++	0.0	0.156	1	0.6928
ENSG00000106078|COBL	ad	control	319.00	1.778	0.07541	++	60.7	2.542	1	0.1109
ENSG00000211659|IGLV3-25	ad	control	319.00	0.323	0.7464	+0	0.0	0.104	1	0.7472
ENSG00000099899|TRMT2A	ad	control	319.00	-2.542	0.01101	-+	86.5	7.411	1	0.006481
ENSG00000172058|SERF1A	ad	control	319.00	-1.794	0.07277	--	43.0	1.755	1	0.1852
ENSG00000251449|MTND1P19	ad	control	319.00	0.319	0.7499	+0	0.0	0.101	1	0.7506
ENSG00000258870|EIF4EBP1P1	ad	control	319.00	-0.051	0.9591	-+	56.0	2.274	1	0.1315
ENSG00000164430|CGAS	ad	control	319.00	1.484	0.1378	++	16.0	1.191	1	0.2752
ENSG00000259750|AC092868.3	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000164715|LMTK2	ad	control	319.00	-1.095	0.2734	+-	50.4	2.015	1	0.1557
ENSG00000203647|AC106827.1	ad	control	319.00	0.537	0.5913	-+	0.0	0.550	1	0.4583
ENSG00000199354|RNA5SP273	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000153684|GOLGA8F	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000205765|C5orf51	ad	control	319.00	1.694	0.09033	+-	87.8	8.176	1	0.004244
ENSG00000151116|UEVLD	ad	control	319.00	2.348	0.01887	++	0.0	0.238	1	0.6254
ENSG00000277518|MUC6	ad	control	319.00	-2.073	0.03818	-+	80.3	5.064	1	0.02443
ENSG00000235243|AC093716.1	ad	control	319.00	0.792	0.4286	+0	0.0	0.623	1	0.4301
ENSG00000267663|PPIAP56	ad	control	319.00	0.182	0.8556	+0	0.0	0.033	1	0.856
ENSG00000139180|NDUFA9	ad	control	319.00	-2.984	0.002847	--	0.0	0.143	1	0.7057
ENSG00000262068|KRTAP3-1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000110693|SOX6	ad	control	319.00	2.660	0.007812	++	66.3	2.968	1	0.0849
ENSG00000174937|OR5M3	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000224949|AL589872.1	ad	control	319.00	-0.624	0.5327	-0	0.0	0.387	1	0.534
ENSG00000011590|ZBTB32	ad	control	319.00	-0.188	0.8506	-+	58.3	2.399	1	0.1214
ENSG00000250011|HMGB1P3	ad	control	319.00	0.609	0.5428	++	0.0	0.186	1	0.6666
ENSG00000176473|WDR25	ad	control	319.00	-2.929	0.003403	--	44.3	1.797	1	0.1801
ENSG00000275609|AP000346.3	ad	control	319.00	0.013	0.9898	+0	0.0	0.000	1	0.9898
ENSG00000199809|RNA5SP374	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000079819|EPB41L2	ad	control	319.00	-2.372	0.01771	--	72.9	3.691	1	0.05469
ENSG00000155034|FBXL18	ad	control	319.00	1.788	0.07376	++	0.0	0.002	1	0.968
ENSG00000204501|PRAMEF15	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000114770|ABCC5	ad	control	319.00	-3.112	0.00186	--	43.6	1.774	1	0.1829
ENSG00000225264|ZNRF2P2	ad	control	319.00	-0.322	0.7473	--	0.0	0.085	1	0.7704
ENSG00000258923|MTND5P35	ad	control	319.00	0.054	0.9573	+0	0.0	0.003	1	0.9574
ENSG00000166428|PLD4	ad	control	319.00	-1.193	0.2328	-+	95.9	24.578	1	7.135e-07
ENSG00000283370|HNRNPCL2	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000090382|LYZ	ad	control	319.00	2.374	0.01762	++	24.2	1.319	1	0.2507
ENSG00000230189|AC008267.2	ad	control	319.00	-1.083	0.2788	-+	87.3	7.867	1	0.005033
ENSG00000146648|EGFR	ad	control	319.00	3.074	0.002114	++	69.5	3.277	1	0.07025
ENSG00000251154|AC002456.2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000105707|HPN	ad	control	319.00	1.001	0.317	-+	91.7	12.084	1	0.0005085
ENSG00000143570|SLC39A1	ad	control	319.00	4.156	3.233e-05	++	30.3	1.435	1	0.2309
ENSG00000143469|SYT14	ad	control	319.00	-1.586	0.1127	--	0.0	0.007	1	0.9313
ENSG00000223367|RPS18	ad	control	319.00	-1.012	0.3115	-+	75.9	4.155	1	0.04152
ENSG00000087074|PPP1R15A	ad	control	319.00	-1.708	0.08764	-+	74.1	3.864	1	0.04934
ENSG00000241621|GOLGA2P6	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000162298|SYVN1	ad	control	319.00	0.679	0.4974	++	0.0	0.091	1	0.7624
ENSG00000224353|ACE3P	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000102962|CCL22	ad	control	319.00	-1.337	0.1812	-+	92.1	12.654	1	0.0003748
ENSG00000196475|GK2	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000189079|ARID2	ad	control	319.00	1.474	0.1405	++	4.2	1.043	1	0.3071
ENSG00000127946|HIP1	ad	control	319.00	2.532	0.01134	++	63.2	2.717	1	0.0993
ENSG00000230336|POU5F1	ad	control	319.00	-0.274	0.7844	-0	0.0	0.074	1	0.7851
ENSG00000278790|DUX4L12	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000157014|TATDN2	ad	control	319.00	-0.497	0.619	+-	45.6	1.840	1	0.175
ENSG00000196208|GREB1	ad	control	319.00	1.726	0.08428	+-	83.1	5.924	1	0.01493
ENSG00000174667|OR7D4	ad	control	319.00	0.221	0.8251	-+	80.7	5.183	1	0.0228
ENSG00000206168|Z69890.1	ad	control	319.00	0.499	0.6179	+0	0.0	0.247	1	0.619
ENSG00000255541|AP000873.5	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000243708|PLA2G4B	ad	control	319.00	-1.588	0.1123	-+	88.7	8.830	1	0.002963
ENSG00000174442|ZWILCH	ad	control	319.00	-1.502	0.1332	--	0.0	0.111	1	0.7393
ENSG00000223628|AC023449.1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000242950|ERVW-1	ad	control	319.00	0.524	0.6003	-+	0.0	0.476	1	0.4901
ENSG00000271318|AP000654.2	ad	control	319.00	-1.030	0.3031	--	0.0	0.190	1	0.6628
ENSG00000228579|RPL32P1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000186474|KLK12	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000258794|DUX4L27	ad	control	319.00	0.241	0.8093	-+	0.0	0.428	1	0.5132
ENSG00000150732|AL136372.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000105339|DENND3	ad	control	319.00	-0.827	0.4083	-+	45.6	1.837	1	0.1753
ENSG00000213525|FAM32CP	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
