gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000054965|FAM168A	0.043149451	1.14464e-05	AD	Control	232
ENSG00000054967|RELT	0.228402723	1.38638e-06	AD	Control	232
ENSG00000004897|CDC27	-0.126242373	2.34521e-06	AD	Control	232
ENSG00000057294|PKP2	0.23144553	6.2495e-07	AD	Control	232
ENSG00000196083|IL1RAP	-0.056545855	1.57561e-05	AD	Control	232
ENSG00000058799|YIPF1	-0.033611714	2.20296e-05	AD	Control	232
ENSG00000133597|ADCK2	-0.182532366	1.70198e-06	AD	Control	232
ENSG00000040933|INPP4A	-0.325050442	9.79426e-11	AD	Control	232
ENSG00000059804|SLC2A3	0.059900792	1.98115e-05	AD	Control	232
ENSG00000136960|ENPP2	0.512183494	7.16344e-09	AD	Control	232
ENSG00000060069|CTDP1	0.047535656	2.13304e-05	AD	Control	232
ENSG00000060140|STYK1	-0.638144039	1.88949e-11	AD	Control	232
ENSG00000088256|GNA11	0.149999948	5.84527e-06	AD	Control	232
ENSG00000060566|CREB3L3	-0.398654354	2.66435e-06	AD	Control	232
ENSG00000060642|PIGV	0.185572788	1.77626e-07	AD	Control	232
ENSG00000061273|HDAC7	0.354340946	1.63912e-07	AD	Control	232
ENSG00000061794|MRPS35	0.00628286	2.95188e-05	AD	Control	232
ENSG00000026950|BTN3A1	0.458567636	2.15775e-13	AD	Control	232
ENSG00000062725|APPBP2	-0.023576797	2.45722e-05	AD	Control	232
ENSG00000063177|RPL18	0.036015681	2.45668e-05	AD	Control	232
ENSG00000063180|CA11	-0.441186594	1.62642e-08	AD	Control	232
ENSG00000063241|ISOC2	-0.110583818	1.12801e-05	AD	Control	232
ENSG00000063245|EPN1	-0.002106587	3.04113e-05	AD	Control	232
ENSG00000012124|CD22	0.521210369	3.79072e-09	AD	Control	232
ENSG00000063515|GSC2	0.383997304	3.06673e-05	AD	Control	232
ENSG00000067646|ZFY	-0.364570487	1.73508e-05	AD	Control	232
ENSG00000069998|HDHD5	-0.114879245	7.45965e-06	AD	Control	232
ENSG00000053918|KCNQ1	0.316906241	6.2252e-07	AD	Control	232
ENSG00000070985|TRPM5	0.251039525	9.92198e-06	AD	Control	232
ENSG00000071575|TRIB2	0.038691225	2.31902e-05	AD	Control	232
ENSG00000068308|OTUD5	-0.147900336	6.14642e-07	AD	Control	232
ENSG00000068394|GPKOW	-0.109673446	6.3417e-06	AD	Control	232
ENSG00000021776|AQR	0.051453233	1.4462e-05	AD	Control	232
