Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
AKR1C3,0.164,1.61E-01
AKR1E2,0.034,4.83E-01
AKR7A2,-0.095,2.07E-01
AKR7A2P1,-0.026,6.29E-01
AKR7A3,0.023,9.10E-01
AKT1,0.005,7.90E-01
AKT1S1,0.060,7.26E-01
AKT2,-0.046,1.86E-01
AKT3,-0.009,9.89E-01
AKTIP,-0.022,8.80E-01
ALAD,-0.096,2.49E-01
ALAS1,-0.014,9.75E-01
ALCAM,-0.468,6.53E-02
ALDH18A1,0.022,6.07E-01
ALDH1A1,-0.325,7.16E-02
ALDH1A2,-0.062,5.11E-01
ALDH1A3,-0.020,6.21E-01
ALDH1B1,0.023,5.71E-01
ALDH1L1,0.047,5.07E-01
ALDH1L2,0.040,7.89E-01
ALDH2,-0.075,8.13E-01
ALDH3A2,0.015,7.38E-01
ALDH3B1,-0.098,8.20E-02
ALDH4A1,-0.078,8.41E-01
ALDH5A1,-0.020,7.54E-01
ALDH6A1,-0.138,2.24E-01
ALDH7A1,-0.251,1.28E-01
ALDH7A1P1,0.139,6.28E-02
ALDH8A1,-0.081,6.36E-01
ALDH9A1,-0.085,5.50E-01
ALDOA,0.011,7.62E-01
ALDOB,0.073,2.99E-01
ALDOC,-0.043,8.12E-01
ALG1,-0.052,3.13E-01
ALG10,-0.067,6.75E-01
ALG10B,-0.110,1.89E-01
ALG11,0.005,8.68E-01
ALG12,-0.006,9.05E-01
ALG13,-0.095,1.41E-01
ALG14,-0.108,1.39E-01
ALG1L12P,0.106,6.42E-01
ALG1L6P,0.029,5.71E-01
ALG1L7P,-0.036,4.59E-01
ALG1L8P,0.016,8.97E-01
ALG1L9P,0.030,9.07E-01
ALG2,-0.044,6.26E-01
ALG3,0.036,6.41E-01
ALG5,-0.134,1.72E-01
ALG6,-0.065,2.38E-01
ALG8,-0.102,2.32E-01
ALG9,0.007,9.33E-01
ALKBH1,0.014,6.11E-01
ALKBH2,-0.111,9.08E-02
ALKBH3,-0.013,4.82E-01
ALKBH4,0.008,9.67E-01
ALKBH5,0.033,6.01E-01
ALKBH6,-0.028,7.02E-01
ALKBH7,-0.038,5.17E-01
ALKBH8,-0.054,3.02E-01
ALMS1,-0.039,2.20E-01
ALMS1-IT1,-0.139,1.70E-01
ALMS1P,0.058,5.37E-01
ALOX12-AS1,0.002,8.67E-01
ALOX12P1,0.032,2.52E-01
ALOX12P2,0.114,1.98E-01
ALOX5,-0.188,2.99E-01
ALOX5AP,-0.070,8.49E-01
ALPK1,-0.136,2.41E-01
ALPL,0.153,6.12E-01
ALS2,0.013,5.12E-01
ALS2CL,0.352,5.89E-02
ALS2CR11,-0.275,9.09E-02
ALS2CR12,0.240,3.63E-02
ALYREF,-0.106,1.31E-01
AMACR,-0.085,8.28E-01
AMBRA1,0.009,7.39E-01
AMD1,-0.095,2.59E-01
AMDHD2,0.000,8.41E-01
AMER1,0.044,2.59E-01
AMER2,-0.414,9.01E-02
AMER3,0.437,7.16E-02
AMFR,-0.061,2.08E-01
AMIGO1,0.262,1.65E-01
AMIGO2,0.060,4.65E-01
AMIGO3,0.138,1.13E-01
AMMECR1,-0.011,8.95E-01
AMMECR1L,-0.003,5.53E-01
AMMECR1LP1,0.343,9.47E-02
AMN1,-0.101,3.71E-01
AMOT,0.016,5.60E-01
AMOTL1,0.011,7.89E-01
AMOTL2,-0.256,1.06E-01
AMPD2,0.231,7.16E-02
AMPD3,-0.252,1.72E-01
AMPH,0.243,3.31E-01
AMT,0.016,9.22E-01
AMY2B,-0.054,6.84E-01
AMZ1,0.038,8.30E-01
AMZ2,-0.003,9.18E-01
AMZ2P1,-0.066,1.86E-01
ANAPC1,-0.044,3.70E-01
ANAPC10,-0.015,9.01E-01
ANAPC11,-0.009,9.69E-01
ANAPC13,-0.077,6.23E-01
ANAPC15,-0.091,3.08E-01
ANAPC16,-0.002,9.46E-01
ANAPC2,-0.004,6.66E-01
ANAPC4,-0.069,3.34E-01
ANAPC5,-0.261,5.63E-02
ANAPC7,0.021,8.11E-01
ANGEL1,-0.064,3.54E-01
ANGEL2,-0.043,5.27E-01
ANGPT1,0.028,7.29E-01
ANGPT2,0.022,8.93E-01
ANGPTL1,0.053,3.99E-01
ANGPTL2,-0.135,3.31E-01
ANGPTL4,-0.184,6.42E-01
ANK1,0.395,9.33E-02
ANK2,-0.039,7.53E-01
ANK3,-0.109,1.46E-01
ANKAR,-0.113,1.23E-01
ANKDD1A,0.032,8.27E-01
ANKFN1,-0.045,8.95E-01
ANKFY1,-0.042,4.52E-01
ANKH,0.071,1.32E-01
ANKHD1,-0.103,1.00E-01
ANKHD1-EIF4EBP3,0.136,3.72E-01
ANKIB1,-0.229,8.49E-02
ANKLE1,0.048,2.71E-01
ANKLE2,-0.009,2.62E-01
ANKMY1,-0.123,9.46E-02
ANKMY2,0.080,4.47E-01
ANKRA2,-0.153,7.91E-02
ANKRD10,-0.053,3.94E-01
ANKRD11,0.136,8.00E-02
ANKRD12,0.008,9.53E-01
ANKRD13A,-0.143,1.48E-01
ANKRD13B,0.041,8.23E-01
ANKRD13C,-0.076,1.06E-01
ANKRD13D,0.139,8.57E-02
ANKRD16,0.028,7.86E-01
ANKRD17,-0.002,7.17E-01
ANKRD18A,-0.242,4.38E-01
ANKRD18B,0.477,5.83E-02
ANKRD19P,0.237,1.92E-01
ANKRD20A1,0.202,1.96E-01
ANKRD20A16P,-0.246,1.46E-01
ANKRD20A17P,-0.239,1.21E-01
ANKRD20A18P,-0.011,9.58E-01
ANKRD20A19P,0.013,6.05E-01
ANKRD20A2,0.326,1.37E-01
ANKRD20A20P,0.016,7.13E-01
ANKRD20A3,0.016,7.54E-01
ANKRD20A4,0.416,7.00E-02
ANKRD20A5P,0.160,2.10E-01
ANKRD20A6P,-0.072,5.78E-01
ANKRD20A7P,0.128,2.06E-01
ANKRD20A8P,0.014,5.23E-01
ANKRD20A9P,-0.009,8.32E-01
ANKRD23,0.000,9.79E-01
ANKRD24,0.356,1.36E-01
ANKRD26,0.150,9.01E-02
ANKRD26P3,0.235,2.68E-01
ANKRD27,0.028,7.22E-01
ANKRD28,-0.150,8.47E-02
ANKRD29,0.110,3.94E-01
ANKRD30B,0.210,1.94E-01
ANKRD30BL,0.200,2.32E-01
ANKRD30BP1,0.029,7.07E-01
ANKRD30BP2,0.082,2.19E-01
ANKRD32,0.158,2.54E-01
ANKRD33B,0.457,9.59E-02
ANKRD34A,0.334,6.92E-02
ANKRD34C,0.136,2.33E-01
ANKRD34C-AS1,0.065,6.28E-01
ANKRD35,0.163,5.61E-02
ANKRD36,-0.026,6.22E-01
ANKRD36B,0.034,9.01E-01
ANKRD36BP1,-0.213,1.72E-01
ANKRD36BP2,0.068,4.32E-01
ANKRD36C,-0.022,6.20E-01
ANKRD36P1,-0.010,6.67E-01
ANKRD37,0.306,1.24E-01
ANKRD39,-0.049,3.48E-01
ANKRD40,-0.211,1.35E-01
ANKRD42,0.120,3.48E-01
ANKRD44,-0.179,1.68E-01
ANKRD45,0.071,1.71E-01
ANKRD46,-0.051,8.85E-01
ANKRD49,-0.055,5.02E-01
ANKRD50,-0.006,9.91E-01
ANKRD52,0.204,7.52E-02
ANKRD54,0.070,5.12E-01
ANKRD57P1,-0.065,3.90E-01
ANKRD6,0.046,3.81E-01
ANKRD60,-0.010,9.05E-01
ANKRD62,0.072,2.60E-01
ANKRD65,-0.208,1.31E-01
ANKRD9,0.117,1.17E-01
ANKS1A,0.107,1.14E-01
ANKS1B,-0.044,6.30E-01
ANKS3,0.117,3.86E-01
ANKS4B,-0.009,9.85E-01
ANKS6,0.029,8.05E-01
ANKZF1,-0.043,5.59E-01
ANLN,-0.530,1.01E-01
ANO10,0.013,7.94E-01
ANO2,-0.064,6.12E-01
ANO3,0.075,4.98E-01
ANO4,-0.109,2.56E-01
ANO5,0.119,2.37E-01
ANO6,0.040,5.27E-01
ANO8,0.080,4.52E-01
ANP32A,-0.153,1.39E-01
ANP32A-IT1,-0.013,9.01E-01
ANP32B,-0.215,2.15E-01
ANP32C,-0.095,2.64E-01
ANP32E,-0.206,1.61E-01
ANTXR1,-0.103,5.17E-01
ANTXR2,0.049,4.14E-01
ANXA1,0.101,7.17E-01
ANXA11,0.287,9.14E-02
ANXA2,-0.029,8.60E-01
ANXA2P1,-0.186,1.94E-01
ANXA3,0.055,4.77E-01
ANXA4,-0.179,6.98E-02
ANXA5,-0.102,4.89E-01
ANXA6,0.052,6.44E-01
ANXA7,-0.050,3.99E-01
ANXA9,-0.304,1.00E-01
AOAH,-0.068,5.26E-01
AOC2,0.063,2.70E-01
AP1AR,-0.057,6.66E-01
AP1B1,0.023,8.70E-01
AP1G1,-0.032,7.60E-01
AP1G2,0.257,1.28E-01
AP1M1,0.077,4.23E-01
AP1S1,0.107,3.73E-01
AP1S2,-0.246,1.08E-01
AP1S3,-0.030,6.58E-01
AP2A1,0.125,3.15E-01
AP2A2,0.156,2.20E-01
AP2B1,-0.054,9.99E-01
AP2M1,-0.117,7.96E-01
AP2S1,-0.091,8.15E-01
AP3B1,-0.173,8.57E-02
AP3B2,0.306,2.33E-01
AP3D1,0.097,2.87E-01
AP3M1,-0.022,7.42E-01
AP3M2,-0.075,9.79E-01
AP3S1,-0.043,8.97E-01
AP3S2,-0.072,6.16E-01
AP4B1,0.029,7.30E-01
AP4B1-AS1,0.015,6.61E-01
AP4E1,-0.003,7.46E-01
AP4M1,0.004,6.87E-01
AP4S1,0.037,2.27E-01
AP5B1,0.107,9.33E-02
AP5M1,-0.012,6.42E-01
AP5S1,0.024,9.81E-01
AP5Z1,0.075,8.58E-01
APAF1,-0.032,9.49E-01
APBA1,0.303,7.44E-02
APBA2,0.105,2.92E-01
APBA3,-0.039,7.80E-01
APBB1,-0.028,5.08E-01
APBB1IP,-0.207,2.86E-01
APBB2,-0.365,5.69E-02
APBB3,0.034,8.32E-01
APC,0.108,1.26E-01
APC2,0.128,5.30E-01
APCDD1,-0.071,6.33E-01
APEH,0.037,8.01E-01
APEX1,-0.105,9.47E-02
APEX2,-0.013,9.72E-01
APH1A,-0.112,1.72E-01
APH1B,-0.161,1.51E-01
API5,-0.072,7.58E-01
APIP,-0.113,4.39E-01
APITD1,0.098,2.06E-01
APLF,-0.163,1.18E-01
APLN,-0.069,4.87E-01
APLNR,-0.169,4.82E-01
APLP1,-0.394,6.22E-02
APLP2,0.097,2.94E-01
APMAP,-0.018,9.10E-01
APOA1-AS,-0.109,5.73E-01
APOA1BP,0.008,8.51E-01
APOBEC3A,-0.028,6.14E-01
APOBEC3D,0.001,9.77E-01
APOBEC4,0.139,1.14E-01
APOC1,-0.086,8.29E-01
APOC2,-0.222,7.80E-01
APOD,-0.204,3.62E-01
APOE,-0.081,8.41E-01
APOL1,-0.065,2.69E-01
APOL2,0.100,3.91E-01
APOL3,0.021,9.71E-01
APOL4,0.060,4.18E-01
APOL6,-0.021,7.52E-01
APOLD1,-0.070,9.09E-01
APOO,-0.027,7.98E-01
APOOL,0.094,9.01E-02
APOPT1,0.033,7.64E-01
APP,-0.034,5.59E-01
APPBP2,-0.080,2.22E-01
APPL1,-0.093,1.92E-01
APPL2,-0.044,7.61E-01
APRT,-0.221,1.06E-01
APTR,0.013,6.95E-01
APTX,-0.078,2.12E-01
AQP1,-0.531,1.37E-01
AQP11,-0.049,5.31E-01
AQP3,0.114,1.96E-01
AQP4,-0.160,7.10E-01
AQP4-AS1,-0.040,8.81E-01
AQP6,-0.047,4.32E-01
AQP9,0.032,8.88E-01
AQR,-0.007,7.94E-01
ARAF,-0.091,1.81E-01
ARAP1,-0.030,7.38E-01
ARAP2,-0.222,1.08E-01
ARAP3,0.049,4.69E-01
ARC,0.288,1.56E-01
ARCN1,-0.049,1.64E-01
AREL1,0.015,8.49E-01
ARF1,0.051,5.24E-01
ARF1P2,-0.088,4.32E-01
ARF3,0.080,4.56E-01
ARF4,-0.115,2.42E-01
ARF4P2,-0.020,6.38E-01
ARF5,0.038,7.25E-01
ARF6,-0.073,2.14E-01
ARFGAP1,-0.016,5.73E-01
ARFGAP2,-0.075,1.35E-01
ARFGAP3,-0.054,6.36E-01
ARFGEF1,-0.002,7.41E-01
ARFGEF2,-0.059,9.66E-01
ARFGEF3,-0.089,9.60E-02
ARFIP1,-0.076,3.12E-01
ARFIP2,0.051,5.06E-01
ARFRP1,-0.012,5.32E-01
ARG2,0.082,3.73E-01
ARGFX,-0.012,8.82E-01
ARGFXP2,0.048,5.89E-01
ARGLU1,-0.112,1.23E-01
ARHGAP1,-0.144,1.22E-01
ARHGAP10,0.081,7.78E-01
ARHGAP11A,-0.167,1.14E-01
ARHGAP12,-0.049,6.55E-01
ARHGAP15,-0.112,5.78E-01
ARHGAP17,-0.165,1.96E-01
ARHGAP18,-0.007,8.10E-01
ARHGAP19,-0.215,8.89E-02
ARHGAP20,0.071,5.52E-01
ARHGAP21,-0.095,3.43E-01
