Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
LOC729218,0.062,7.69E-01
LOC729313,0.134,5.08E-01
LOC729316,0.017,6.61E-01
LOC729317,-0.139,8.67E-01
LOC729348,0.048,3.77E-01
LOC729409,0.123,3.85E-01
LOC729451,0.143,2.16E-01
LOC729603,0.005,5.64E-01
LOC729652,0.041,4.29E-01
LOC729654,-0.038,7.48E-01
LOC729658,-0.196,2.85E-01
LOC729683,0.075,3.25E-01
LOC729732,0.103,3.25E-01
LOC729737,-0.001,8.12E-01
LOC729941,0.216,1.17E-01
LOC729970,-0.076,4.93E-01
LOC729987,0.073,1.86E-01
LOC729998,-0.085,6.96E-01
LOC730069,0.168,2.72E-01
LOC730076,0.041,5.69E-01
LOC730098,0.077,7.31E-01
LOC730101,0.041,8.93E-01
LOC730102,-0.029,4.96E-01
LOC730183,0.117,2.87E-01
LOC730257,0.087,5.30E-01
LOC730268,0.105,1.50E-01
LOC730338,0.037,2.39E-01
LOC731424,-0.021,6.28E-01
LOC732229,0.127,3.40E-01
LOC768086,-0.001,8.49E-01
LOC777650,0.024,9.88E-01
LOC79160,-0.027,2.19E-01
LOC90784,0.030,5.80E-01
LOC93622,-0.066,4.30E-01
LOH12CR1,-0.077,2.30E-01
LOH12CR2,-0.036,4.77E-01
LONP1,0.052,8.34E-01
LONP2,-0.003,7.85E-01
LONRF1,-0.015,8.82E-01
LONRF2,0.109,3.51E-01
LONRF3,0.038,3.34E-01
LOXL3,0.000,9.41E-01
LPAR1,-0.321,1.24E-01
LPAR3,0.272,6.29E-02
LPAR4,-0.025,8.23E-01
LPAR5,-0.089,4.46E-01
LPAR6,-0.102,4.88E-01
LPCAT1,0.143,8.47E-02
LPCAT2,-0.280,2.42E-01
LPCAT3,-0.056,3.51E-01
LPCAT4,0.353,1.00E-01
LPGAT1,-0.166,9.74E-02
LPIN1,0.042,1.87E-01
LPIN2,0.116,1.16E-01
LPIN3,0.004,7.48E-01
LPL,-0.148,7.99E-01
LPP,0.002,8.65E-01
LPPR1,-0.293,1.29E-01
LPPR2,0.149,1.04E-01
LPPR3,0.184,1.41E-01
LPPR4,0.179,3.27E-01
LPPR5,0.207,2.19E-01
LPXN,-0.058,2.24E-01
LRAT,-0.069,5.03E-01
LRBA,-0.039,5.20E-01
LRCH1,0.118,1.08E-01
LRCH2,-0.033,8.97E-01
LRCH3,-0.114,1.48E-01
LRCH4,-0.003,8.77E-01
LRFN1,0.390,2.52E-02
LRFN2,0.551,8.37E-02
LRFN3,0.153,1.01E-01
LRFN4,0.137,3.43E-01
LRFN5,0.376,1.68E-01
LRGUK,0.064,2.84E-01
LRIF1,0.026,9.94E-01
LRIG1,0.036,9.61E-01
LRIG2,-0.192,5.47E-02
LRIG3,-0.128,2.13E-01
LRMP,0.064,4.02E-01
LRP1,0.081,4.91E-01
LRP10,-0.075,4.20E-01
LRP11,-0.045,8.78E-01
LRP12,0.062,4.50E-01
LRP1B,0.193,1.73E-01
LRP2,-0.590,1.10E-01
LRP2BP,-0.041,8.96E-01
LRP3,0.370,8.87E-02
LRP4,0.059,5.15E-01
LRP4-AS1,-0.047,9.18E-01
LRP5,0.019,8.21E-01
LRP5L,0.069,9.62E-01
LRP6,-0.092,2.94E-01
LRP8,0.090,5.08E-01
LRPAP1,0.082,2.70E-01
LRPPRC,-0.085,4.49E-01
LRRC1,-0.378,1.18E-01
LRRC10B,0.181,1.22E-01
LRRC14,0.085,4.77E-01
LRRC16A,0.286,6.68E-02
LRRC16B,0.176,8.47E-02
LRRC2,0.086,3.70E-01
LRRC20,0.199,2.08E-01
LRRC23,0.039,6.44E-01
LRRC25,0.023,6.71E-01
LRRC27,0.099,1.98E-01
LRRC28,0.146,8.49E-02
LRRC32,-0.046,8.14E-01
LRRC34,-0.044,8.63E-01
LRRC34P2,0.015,4.90E-01
LRRC37A,-0.014,7.62E-01
LRRC37A16P,-0.142,1.09E-01
LRRC37A17P,0.021,9.49E-01
LRRC37A2,0.051,7.74E-01
LRRC37A3,0.138,3.42E-01
LRRC37A4P,0.134,4.21E-01
LRRC37A6P,-0.027,8.27E-01
LRRC37B,0.035,5.32E-01
LRRC37BP1,-0.041,6.01E-01
LRRC39,-0.038,9.54E-01
LRRC3B,0.205,9.19E-02
LRRC3C,-0.180,1.28E-01
LRRC4,0.472,6.47E-02
LRRC40,-0.039,5.96E-01
LRRC41,0.012,9.72E-01
LRRC42,0.037,7.89E-01
LRRC45,0.083,3.96E-01
LRRC47,-0.011,6.65E-01
LRRC48,0.109,9.86E-02
LRRC49,0.049,4.48E-01
LRRC4B,0.247,2.20E-01
LRRC4C,0.042,5.62E-01
LRRC55,0.027,6.46E-01
LRRC57,0.045,4.99E-01
LRRC58,-0.114,2.00E-01
LRRC59,-0.023,9.09E-01
LRRC6,0.175,1.10E-01
LRRC61,0.155,8.48E-02
LRRC63,-0.492,1.00E-01
LRRC7,0.188,2.98E-01
LRRC70,0.005,9.90E-01
LRRC73,0.165,3.39E-01
LRRC74B,-0.007,8.35E-01
LRRC75A,0.068,2.25E-01
LRRC75A-AS1,-0.120,1.30E-01
LRRC75B,0.113,2.10E-01
LRRC8A,0.043,6.00E-01
LRRC8B,-0.026,9.19E-01
LRRC8C,-0.018,9.91E-01
LRRC8D,-0.170,2.37E-01
LRRC9,0.096,1.64E-01
LRRCC1,-0.143,1.40E-01
LRRFIP1,0.180,1.63E-01
LRRFIP1P1,0.093,1.67E-01
LRRFIP2,-0.012,4.76E-01
LRRIQ1,0.087,2.02E-01
LRRK1,0.253,1.58E-01
LRRK2,0.053,3.81E-01
LRRN1,0.132,1.71E-01
LRRN2,0.368,6.06E-02
LRRN3,0.157,1.66E-01
LRRN4CL,-0.061,2.79E-01
LRRTM1,0.356,5.92E-02
LRRTM2,-0.027,7.64E-01
LRRTM3,-0.158,3.86E-01
LRRTM4,0.384,9.10E-02
LRSAM1,0.039,8.50E-01
LRTM1,0.091,1.90E-01
LRTM2,0.345,9.47E-02
LRTOMT,-0.083,2.67E-01
LRWD1,0.099,3.38E-01
LSAMP,-0.002,5.95E-01
LSAMP-AS1,0.016,9.98E-01
LSG1,0.028,9.22E-01
LSM1,-0.052,6.10E-01
LSM10,0.024,7.79E-01
LSM11,0.061,3.90E-01
LSM12,-0.043,2.47E-01
LSM12P1,0.124,1.57E-01
LSM14A,-0.081,2.84E-01
LSM14B,0.081,2.98E-01
LSM2,-0.067,3.20E-01
LSM3,-0.139,2.09E-01
LSM4,0.008,9.35E-01
LSM5,-0.102,1.37E-01
LSM6,-0.114,2.83E-01
LSM7,0.013,9.26E-01
LSM8,-0.116,1.04E-01
LSMEM1,0.173,1.45E-01
LSMEM2,-0.290,9.67E-02
LSP1,-0.071,7.11E-01
LSR,-0.090,1.39E-01
LSS,-0.147,2.99E-01
LST1,-0.082,7.29E-01
LTA4H,-0.048,8.31E-01
LTBP1,-0.008,8.71E-01
LTBP3,0.036,9.63E-01
LTBP4,0.176,4.31E-01
LTBR,-0.125,2.62E-01
LTF,-0.136,5.61E-01
LTN1,-0.079,2.00E-01
LTV1,-0.011,9.28E-01
LUC7L,-0.052,1.17E-01
LUC7L2,-0.135,9.59E-02
LUC7L3,-0.095,2.34E-01
LURAP1,-0.036,6.96E-01
LURAP1L,-0.084,5.34E-01
LURAP1L-AS1,-0.286,2.71E-01
LUZP1,0.388,7.40E-02
LUZP2,-0.065,6.32E-01
LUZP6,-0.001,6.32E-01
LXN,-0.008,6.30E-01
LY6E,0.401,1.32E-01
LY6G5B,0.039,8.70E-01
LY6H,0.441,1.35E-01
LY75,-0.076,5.44E-01
LY86,-0.022,9.99E-01
LY86-AS1,0.022,5.91E-01
LY96,-0.141,6.71E-01
LYAR,-0.024,7.93E-01
LYG1,0.058,6.01E-01
LYG2,0.093,1.37E-01
LYN,-0.077,6.84E-01
LYNX1,0.372,9.59E-02
LYPD1,0.194,2.07E-01
LYPD5,0.172,1.20E-01
LYPD6,0.078,2.18E-01
LYPD6B,0.019,6.17E-01
LYPD8,0.339,1.12E-01
LYPLA1,-0.028,9.86E-01
LYPLA1P3,-0.244,1.31E-01
LYPLA2,0.129,2.82E-01
LYPLAL1,-0.174,1.05E-01
LYRM1,-0.123,2.91E-01
LYRM2,-0.052,3.12E-01
LYRM4,0.054,4.18E-01
LYRM5,-0.272,6.11E-02
LYRM7,-0.129,5.64E-02
LYRM9,-0.184,2.81E-01
LYSMD1,-0.002,6.22E-01
LYSMD2,0.154,2.66E-01
LYSMD3,-0.110,1.61E-01
LYSMD4,0.086,9.36E-01
LYST,0.037,7.29E-01
LYVE1,0.228,1.69E-01
LYZ,-0.066,4.79E-01
LZIC,-0.175,9.59E-02
LZTFL1,0.145,2.80E-01
LZTR1,0.090,2.08E-01
LZTS1,0.390,9.32E-02
LZTS2,-0.044,6.39E-01
LZTS3,0.421,7.62E-02
M6PR,-0.033,8.68E-01
MAATS1,0.105,4.23E-01
MAB21L1,0.121,2.36E-01
MACF1,-0.014,7.51E-01
MACROD1,0.142,2.33E-01
MACROD2,-0.064,9.45E-01
MACROD2-AS1,0.053,2.79E-01
MAD1L1,-0.034,1.98E-01
MAD2L1,-0.051,7.66E-01
MAD2L1BP,0.006,9.79E-01
MAD2L1P1,0.062,6.12E-01
MAD2L2,-0.077,4.20E-01
MADD,0.147,1.48E-01
MAEA,0.104,3.27E-01
MAEL,0.086,5.32E-01
MAF,-0.002,9.61E-01
MAF1,0.045,5.19E-01
MAFB,0.048,7.81E-01
MAFF,-0.045,9.62E-01
MAFG,0.086,2.01E-01
MAFK,-0.020,5.31E-01
MAG,-0.448,1.11E-01
MAGEA10,-0.026,9.21E-01
MAGEC3,-0.209,3.73E-01
MAGED1,0.045,6.68E-01
MAGED2,0.009,8.19E-01
MAGED4,0.206,1.67E-01
MAGED4B,0.142,2.19E-01
MAGEE1,0.160,3.39E-01
MAGEE2,0.223,9.86E-02
MAGEF1,0.021,5.91E-01
MAGEH1,-0.078,3.48E-01
MAGI1,0.077,3.98E-01
MAGI2,0.038,5.18E-01
MAGI2-AS3,-0.152,2.30E-01
MAGI3,0.172,1.79E-01
MAGOH,-0.006,9.63E-01
MAGOH2P,-0.050,4.37E-01
MAGOH3P,0.014,9.32E-01
MAGOHB,-0.110,3.15E-01
MAGT1,-0.235,1.58E-01
MAK,0.054,2.42E-01
MAK16,-0.115,1.86E-01
MAL,-0.791,4.03E-02
MAL2,0.193,3.63E-01
MALAT1,0.127,2.40E-01
MALL,0.036,9.18E-01
MALSU1,-0.065,4.20E-01
MALT1,0.108,9.54E-02
MAMDC2,0.150,2.89E-01
MAMDC4,0.064,6.67E-01
MAML1,0.001,8.76E-01
MAML2,0.025,8.17E-01
MAML3,-0.046,6.36E-01
MAMLD1,0.290,5.10E-02
MAN1A1,-0.009,8.29E-01
MAN1A2,-0.007,9.39E-01
MAN1B1,-0.101,9.59E-02
MAN1B1-AS1,-0.086,2.99E-01
MAN1C1,0.157,1.55E-01
MAN2A1,-0.233,2.32E-01
MAN2A2,-0.005,5.69E-01
MAN2B1,-0.106,3.21E-01
MAN2B2,0.059,4.30E-01
MAN2C1,0.075,8.05E-01
MANBA,-0.062,7.37E-01
MANBAL,0.005,8.89E-01
MANEA,-0.160,1.09E-01
MANEA-AS1,-0.032,6.96E-01
MANEAL,0.108,3.55E-01
MANF,-0.097,8.46E-01
MANSC1,0.064,4.22E-01
MAOA,0.035,3.22E-01
MAOB,0.068,6.68E-01
MAP1A,0.241,1.59E-01
MAP1B,-0.058,8.82E-01
MAP1LC3A,0.001,9.57E-01
MAP1LC3B,-0.043,9.62E-01
MAP1LC3C,0.003,9.64E-01
MAP1S,0.235,1.91E-01
MAP2,0.240,3.19E-01
MAP2K1,-0.018,6.88E-01
MAP2K2,0.042,6.64E-01
MAP2K3,0.054,8.30E-01
MAP2K4,0.088,5.67E-01
MAP2K5,0.007,9.66E-01
MAP2K6,-0.059,6.10E-01
MAP2K7,0.007,6.11E-01
MAP3K1,-0.032,6.27E-01
MAP3K10,0.315,7.83E-02
MAP3K11,-0.120,2.76E-01
MAP3K12,0.100,2.75E-01
MAP3K13,-0.049,6.98E-01
MAP3K14,0.031,7.27E-01
MAP3K2,-0.127,2.46E-01
MAP3K3,0.025,9.07E-01
MAP3K4,0.031,6.80E-01
MAP3K5,0.058,1.21E-01
MAP3K6,0.035,9.75E-01
MAP3K7,-0.040,7.12E-01
MAP3K8,0.045,4.77E-01
MAP3K9,0.270,1.81E-01
MAP4,-0.073,2.02E-01
MAP4K2,0.159,1.12E-01
MAP4K3,-0.061,6.55E-01
MAP4K4,-0.205,1.98E-01
MAP4K5,-0.243,1.56E-01
MAP6,0.169,2.52E-01
MAP6D1,-0.384,9.88E-02
MAP7,-0.363,6.86E-02
MAP7D1,-0.004,8.65E-01
MAP7D2,0.189,4.70E-01
MAP7D3,-0.016,7.75E-01
MAP9,0.079,4.48E-01
MAPK1,0.085,2.35E-01
MAPK10,0.067,3.85E-01
MAPK11,0.423,9.60E-02
MAPK12,0.104,4.16E-01
MAPK13,0.073,1.73E-01
MAPK14,0.062,1.98E-01
MAPK15,0.083,8.87E-02
MAPK1IP1L,-0.048,6.08E-01
MAPK3,0.157,8.37E-02
MAPK4,0.053,1.85E-01
MAPK6,-0.063,5.24E-01
MAPK7,-0.025,7.06E-01
MAPK8,-0.033,9.08E-01
MAPK8IP1,-0.030,6.77E-01
MAPK8IP2,0.448,8.61E-02
MAPK8IP3,0.113,4.51E-01
MAPK8IPP,-0.021,8.50E-01
MAPK9,-0.014,8.32E-01
MAPKAP1,0.035,1.74E-01
MAPKAPK2,-0.062,6.16E-01
MAPKAPK3,-0.048,5.57E-01
MAPKAPK5,-0.037,1.42E-01
MAPKAPK5-AS1,-0.041,5.80E-01
MAPKBP1,0.158,9.02E-02
MAPRE1,-0.061,4.12E-01
MAPRE1P1,0.353,6.11E-02
MAPRE1P3,0.165,1.89E-01
MAPRE2,-0.040,9.85E-01
MAPRE3,0.205,2.10E-01
MAPT,0.134,1.04E-01
MAPT-IT1,0.095,4.67E-01
1-Mar,0.087,2.85E-01
2-Mar,0.054,2.92E-01
1-Mar,-0.228,1.37E-01
2-Mar,0.059,5.67E-01
3-Mar,-0.168,3.53E-01
4-Mar,0.176,2.22E-01
5-Mar,-0.058,5.85E-01
6-Mar,-0.055,7.77E-01
7-Mar,-0.069,2.59E-01
8-Mar,-0.073,4.00E-01
9-Mar,0.083,1.46E-01
MARCKS,-0.124,2.99E-01
MARCKSL1,-0.324,1.54E-01
MARCKSL1P1,-0.030,7.89E-01
MARCKSP1,-0.075,7.61E-01
MARK1,0.066,4.28E-01
MARK2,0.104,9.02E-02
MARK2P11,-0.016,5.42E-01
MARK2P8,-0.014,8.83E-01
MARK3,-0.003,8.80E-01
MARK4,0.125,1.60E-01
MARS,0.118,1.80E-01
MARS2,-0.005,9.13E-01
MARVELD3,-0.037,5.94E-01
MAS1,0.092,4.17E-01
MASP1,-0.144,4.52E-01
MASP2,-0.015,9.96E-01
MAST1,0.564,7.22E-02
MAST2,0.083,2.02E-01
MAST3,0.329,6.28E-02
MAST4,0.170,2.12E-01
MASTL,-0.080,2.27E-01
MAT2A,-0.203,2.00E-01
MAT2B,-0.054,8.33E-01
MATK,0.527,7.00E-02
MATN1-AS1,-0.196,1.35E-01
MATN2,-0.017,5.61E-01
MATR3,-0.046,6.75E-01
MAU2,-0.110,1.32E-01
MAVS,-0.056,5.11E-01
MAX,-0.003,9.81E-01
MAZ,0.071,2.76E-01
MB21D2,0.068,3.45E-01
MBD1,0.041,5.64E-01
MBD2,0.055,3.32E-01
MBD3,0.242,2.14E-01
MBD4,-0.080,2.32E-01
MBD5,0.046,3.80E-01
MBD6,-0.076,1.72E-01
MBIP,-0.064,7.62E-01
MBL1P,0.156,2.12E-01
MBLAC1,0.164,1.22E-01
MBLAC2,-0.118,2.79E-01
MBNL1,-0.014,8.61E-01
MBNL2,-0.114,2.28E-01
MBNL3,-0.209,1.22E-01
MBOAT1,-0.273,1.22E-01
MBOAT2,-0.151,1.85E-01
MBOAT7,0.260,8.95E-02
MBP,-0.516,7.22E-02
MBTD1,-0.057,1.69E-01
MBTPS1,0.055,2.78E-01
MBTPS2,-0.089,3.09E-01
MCAM,-0.226,2.01E-01
MCAT,0.074,6.31E-01
MCC,0.128,9.67E-02
MCCC1,-0.053,2.97E-01
MCCC2,-0.057,3.55E-01
MCEE,-0.218,6.47E-02
MCF2,0.050,5.01E-01
MCF2L,0.223,1.07E-01
MCF2L2,0.326,7.74E-02
MCFD2,0.035,1.58E-01
MCFD2P1,-0.023,6.92E-01
MCHR1,0.098,5.07E-01
MCHR2,0.235,3.07E-01
MCL1,0.013,8.26E-01
MCM2,-0.100,1.10E-01
MCM3,-0.064,1.70E-01
MCM3AP,-0.038,7.61E-02
MCM3AP-AS1,0.017,8.85E-01
MCM4,0.042,7.93E-01
MCM5,-0.181,1.69E-01
MCM6,0.004,7.74E-01
MCM7,-0.136,2.20E-01
MCM8,-0.061,6.51E-01
MCM9,-0.074,2.67E-01
MCMBP,-0.052,4.53E-01
MCMDC2,-0.006,9.57E-01
MCOLN1,0.003,9.28E-01
MCOLN3,0.043,1.30E-01
MCPH1,0.002,8.55E-01
MCRS1,-0.003,6.40E-01
MCTP1,0.188,2.67E-01
MCTP2,-0.030,8.10E-01
MCTS1,-0.072,3.39E-01
MCTS2P,0.026,7.40E-01
MCU,0.086,4.00E-01
MCUR1,0.036,4.60E-01
MDC1,-0.074,1.42E-01
MDFIC,-0.084,5.05E-01
MDGA1,0.151,6.87E-02
MDGA2,0.192,2.08E-01
MDH1,-0.105,9.50E-01
MDH1B,0.055,6.16E-01
MDH2,-0.020,7.70E-01
MDK,-0.102,2.75E-01
MDM1,-0.069,3.75E-01
MDM2,-0.083,2.30E-01
MDM4,-0.111,1.64E-01
MDN1,-0.029,3.55E-01
MDP1,-0.007,6.80E-01
ME1,0.060,3.82E-01
ME2,-0.054,2.70E-01
ME3,0.277,1.87E-01
MEA1,-0.026,9.66E-01
MEAF6,0.052,5.58E-01
MECOM,0.001,7.76E-01
MECP2,0.082,2.01E-01
MECR,-0.027,6.67E-01
MED1,-0.020,6.75E-01
MED10,-0.032,6.60E-01
MED11,-0.111,2.78E-01
MED12,-0.015,3.54E-01
MED12L,0.271,7.93E-02
MED13,-0.049,4.86E-01
MED13L,0.020,5.50E-01
MED14,-0.126,1.53E-01
MED14P1,0.014,7.16E-01
MED15,0.068,7.88E-01
MED15P9,0.011,7.48E-01
MED16,0.146,3.54E-01
MED17,0.006,8.92E-01
MED18,-0.032,5.23E-01
MED19,0.042,9.94E-01
MED20,-0.001,9.72E-01
MED21,-0.047,8.20E-01
MED22,0.038,8.24E-01
MED23,0.021,3.92E-01
MED24,0.066,2.27E-01
MED25,0.146,1.34E-01
MED26,0.002,8.97E-01
MED27,-0.058,2.80E-01
MED28,-0.059,2.64E-01
MED28P3,-0.031,8.73E-01
MED29,-0.116,1.08E-01
MED30,-0.144,1.21E-01
MED31,0.011,7.41E-01
MED4,-0.082,1.07E-01
MED6,-0.017,9.33E-01
MED7,-0.110,8.84E-02
MED8,0.033,7.85E-01
MED9,0.084,3.50E-01
MEF2A,0.005,7.24E-01
MEF2BNB,0.098,4.46E-01
MEF2C,0.133,4.25E-01
MEF2C-AS1,-0.127,5.72E-01
MEF2D,0.104,3.58E-01
MEFV,0.023,7.41E-01
MEG3,0.691,8.98E-02
MEG8,0.120,5.48E-01
MEGF10,-0.263,1.86E-01
MEGF11,-0.135,1.08E-01
MEGF8,0.220,1.29E-01
MEGF9,-0.043,8.52E-01
MEIS1,-0.475,5.67E-02
MEIS2,0.022,6.20E-01
MEIS3,0.355,2.22E-01
MEIS3P1,-0.011,7.16E-01
MEIS3P2,0.000,8.19E-01
MEMO1,-0.015,7.65E-01
MEN1,0.105,2.33E-01
MEPCE,0.050,6.96E-01
MEPE,-0.068,9.51E-01
MERTK,0.175,1.21E-01
MESDC1,0.063,2.38E-01
MESDC2,-0.135,1.26E-01
MESP1,0.066,2.36E-01
MEST,0.189,2.49E-01
MET,0.236,1.99E-01
METAP1,-0.015,6.53E-01
METAP1D,-0.018,7.44E-01
METAP2,-0.069,2.84E-01
METRN,0.071,9.99E-01
METRNL,0.016,8.93E-01
METTL1,-0.011,5.22E-01
METTL10,-0.044,5.34E-01
METTL12,-0.003,6.58E-01
METTL13,0.010,7.60E-01
METTL14,-0.073,1.23E-01
METTL15,-0.117,3.41E-01
METTL16,-0.052,2.77E-01
METTL17,-0.032,7.33E-01
METTL18,-0.082,4.18E-01
METTL20,-0.050,5.20E-01
METTL21A,0.042,4.96E-01
METTL21AP1,0.022,6.51E-01
METTL21B,0.001,9.22E-01
METTL22,-0.013,7.38E-01
METTL23,-0.115,4.38E-01
METTL24,0.039,4.52E-01
METTL25,-0.013,8.02E-01
METTL2A,-0.058,3.53E-01
METTL2B,-0.011,9.41E-01
METTL3,-0.097,1.02E-01
METTL4,0.009,7.24E-01
METTL5,-0.088,4.32E-01
METTL6,-0.051,1.31E-01
METTL7A,-0.089,9.69E-01
METTL7B,0.062,4.83E-01
METTL8,-0.080,2.55E-01
METTL9,0.029,2.59E-01
MEX3C,-0.081,3.76E-01
MEX3D,-0.060,6.05E-01
MFAP1,0.016,8.62E-01
MFAP1P1,0.120,7.23E-01
MFAP3,-0.010,5.94E-01
MFAP3L,-0.028,8.49E-01
MFAP4,0.127,6.13E-01
MFAP5,-0.094,1.19E-01
MFF,-0.025,8.76E-01
MFGE8,0.232,3.14E-01
MFHAS1,0.149,9.23E-02
MFI2,0.153,2.54E-01
MFI2-AS1,0.108,2.12E-01
MFN1,-0.171,8.69E-02
MFN2,-0.026,5.20E-01
MFNG,-0.100,4.41E-01
MFSD1,-0.076,6.51E-01
MFSD10,0.115,6.09E-01
MFSD11,0.012,6.92E-01
MFSD12,0.026,9.49E-01
MFSD1P1,-0.026,5.60E-01
MFSD2A,-0.133,1.48E-01
MFSD3,0.092,4.77E-01
MFSD4,0.307,1.02E-01
MFSD5,-0.020,8.99E-01
MFSD6,-0.044,7.26E-01
MFSD7,0.008,9.58E-01
MFSD8,-0.107,1.29E-01
MFSD9,0.063,1.92E-01
MGA,-0.040,4.83E-01
MGAT1,-0.017,9.93E-01
MGAT2,-0.057,4.96E-01
MGAT3,0.160,1.33E-01
MGAT3-AS1,0.255,5.61E-02
MGAT4A,0.008,7.26E-01
MGAT4B,0.136,6.86E-02
MGAT4C,-0.101,7.52E-01
MGAT5,-0.074,3.07E-01
MGAT5B,0.891,5.58E-02
MGC16025,-0.034,9.91E-01
MGC16275,-0.172,2.16E-01
MGC27345,-0.004,9.94E-01
MGC39584,0.031,3.76E-01
MGC57346,0.096,6.53E-02
MGC57346-CRHR1,0.188,2.63E-01
MGEA5,-0.029,9.48E-01
MGLL,0.181,1.70E-01
MGME1,-0.112,1.90E-01
MGMT,-0.074,4.49E-01
MGP,0.040,7.63E-01
MGRN1,0.108,6.83E-01
MGST1,-0.109,9.81E-01
MGST2,0.051,3.29E-01
MGST3,-0.034,9.78E-01
MIA3,0.077,1.69E-01
MIAT,0.767,7.84E-02
MIATNB,-0.191,9.67E-02
MIB1,0.008,8.30E-01
MIB2,0.202,2.86E-01
MICA,0.119,3.24E-01
MICAL1,0.101,4.18E-01
MICAL2,0.356,1.81E-01
MICAL3,0.064,5.38E-01
MICALL1,-0.154,2.51E-01
MICALL2,0.184,2.80E-01
MICU1,0.080,2.74E-01
MICU2,-0.069,1.56E-01
MICU3,0.004,6.65E-01
MID1,-0.032,9.43E-01
MID1IP1,-0.132,5.06E-01
MID2,0.008,6.01E-01
MIDN,-0.072,6.26E-01
MIEF1,-0.007,7.39E-01
MIEF2,0.032,7.12E-01
MIEN1,0.000,6.62E-01
MIER1,-0.068,3.14E-01
MIER2,0.064,5.13E-01
MIER3,-0.084,1.61E-01
MIF,0.094,7.86E-01
MIF4GD,-0.116,1.87E-01
MIIP,-0.020,6.17E-01
MILR1,-0.043,9.12E-01
MINA,-0.105,2.98E-01
MINK1,0.064,5.00E-01
MINOS1,-0.033,7.61E-01
MINOS1-NBL1,0.017,4.08E-01
MINOS1P1,0.014,7.24E-01
MINOS1P3,0.025,9.35E-01
MINPP1,-0.120,1.63E-01
MIOS,0.016,5.40E-01
MIPEP,-0.027,6.31E-01
MIPEPP3,-0.052,4.25E-01
MIPOL1,0.068,2.74E-01
MIR100HG,-0.004,7.52E-01
MIR124-2HG,0.522,1.10E-01
MIR1299,0.082,3.16E-01
MIR137HG,0.365,1.16E-01
MIR143HG,0.026,4.52E-01
MIR155HG,-0.042,7.60E-01
MIR181A1HG,-0.233,8.69E-02
MIR210HG,-0.022,8.41E-01
MIR22HG,0.014,9.64E-01
MIR31HG,0.121,1.59E-01
MIR3648-1,0.256,2.96E-01
MIR3648-2,0.256,2.96E-01
MIR4435-1HG,0.083,4.82E-01
MIR4440,0.381,1.46E-01
MIR4441,-0.032,9.66E-01
MIR4458HG,-0.157,1.15E-01
MIR4697HG,0.579,4.88E-02
MIR4737,-0.127,6.10E-01
MIR497HG,0.096,2.88E-01
MIR5047,-0.129,6.98E-01
MIR600HG,0.164,5.85E-01
MIR612,0.025,7.07E-01
MIR7-3HG,0.252,2.06E-01
MIR762HG,-0.012,9.87E-01
MIR8075,-0.121,4.78E-01
MIR99AHG,0.042,4.68E-01
MIRLET7BHG,-0.076,2.58E-01
MIRLET7DHG,-0.098,1.39E-01
MIS12,-0.258,6.22E-02
MIS18A,-0.022,5.27E-01
MIS18BP1,-0.017,9.68E-01
MITD1,-0.037,6.05E-01
MITF,-0.136,2.12E-01
MKKS,-0.067,9.80E-01
MKL1,0.281,5.89E-02
MKL2,0.368,1.33E-01
MKLN1,-0.040,9.73E-01
MKLN1-AS,-0.001,8.85E-01
MKNK1,0.172,7.80E-02
MKNK2,0.141,4.61E-01
MKRN1,-0.055,7.61E-01
MKRN2,0.008,9.49E-01
MKRN2OS,0.087,2.72E-01
MKRN3,-0.314,9.71E-02
MKRN5P,0.052,5.19E-01
MKRN6P,-0.025,7.90E-01
MKS1,-0.050,2.96E-01
MKX,0.135,2.47E-01
MLANA,-0.033,4.91E-01
MLC1,-0.008,9.97E-01
MLEC,0.040,2.99E-01
MLF1,0.069,4.05E-01
MLF2,0.043,5.48E-01
MLH1,-0.047,2.56E-01
MLH3,-0.112,9.89E-02
MLIP,0.146,2.85E-01
MLKL,-0.020,5.65E-01
MLLT1,0.209,5.92E-02
MLLT10,0.072,1.76E-01
MLLT10P1,-0.076,7.11E-01
MLLT11,0.109,5.09E-01
MLLT3,0.144,9.04E-02
MLLT4,-0.097,1.61E-01
MLLT6,0.072,2.21E-01
MLST8,0.167,1.26E-01
MLX,-0.019,8.60E-01
MLXIP,0.033,9.39E-01
MLXIPL,0.261,8.50E-02
MLYCD,-0.144,1.12E-01
MMAA,-0.019,8.03E-01
MMAB,-0.165,1.05E-01
MMACHC,-0.136,1.30E-01
MMADHC,-0.066,3.84E-01
MMD,0.006,5.68E-01
MMD2,0.127,5.12E-01
MMGT1,-0.089,5.23E-01
MMP14,-0.100,4.61E-01
MMP16,0.131,3.48E-01
MMP17,0.343,1.46E-01
MMP2,-0.034,7.02E-01
MMP24,0.318,1.18E-01
MMP24-AS1,0.001,9.82E-01
MMP28,0.030,8.01E-01
MMRN2,0.092,9.10E-01
MMS19,0.051,2.74E-01
MMS22L,-0.064,2.83E-01
MNAT1,-0.001,7.33E-01
MNDA,0.025,9.48E-01
MNS1,0.046,5.68E-01
MNT,0.183,8.91E-02
MOAP1,-0.046,8.50E-01
MOB1A,-0.087,5.33E-01
MOB1B,-0.090,5.21E-01
