gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ACSF2|ENSG00000167107	-0.004	0.902	106	Control	AD
ACSF3|ENSG00000176715	0.126	0.191	106	Control	AD
ACSL1|ENSG00000151726	0.042	0.744	106	Control	AD
ACSL3-AS1|ENSG00000234193	-0.055	0.697	106	Control	AD
ACSL4|ENSG00000068366	-0.101	0.412	106	Control	AD
ACSL5|ENSG00000197142	-0.094	0.555	106	Control	AD
ACSL6-AS1|ENSG00000223548	-0.096	0.441	106	Control	AD
ACSM5|ENSG00000183549	-0.004	0.911	106	Control	AD
ACSS1|ENSG00000154930	-0.009	0.723	106	Control	AD
ACSS2|ENSG00000131069	0.063	0.264	106	Control	AD
ACSS3|ENSG00000111058	-0.111	0.75	106	Control	AD
ACTA2-AS1|ENSG00000180139	-0.132	0.639	106	Control	AD
POTEF|ENSG00000196604	0.011	0.823	106	Control	AD
	0.017	0.783	106	Control	AD
ACTBP4|ENSG00000286676	0.032	0.558	106	Control	AD
ACTBP7|ENSG00000185607	0.061	0.635	106	Control	AD
ACTG1|ENSG00000184009	-0.029	0.549	106	Control	AD
ACTG1P12|ENSG00000226642	-0.035	0.506	106	Control	AD
ACTG1P17|ENSG00000259315	-0.086	0.464	106	Control	AD
ACTG1P18|ENSG00000218475	-0.074	0.88	106	Control	AD
ACTG1P20|ENSG00000241547	-0.075	0.315	106	Control	AD
ACTG1P3|ENSG00000215388	0.07	0.546	106	Control	AD
ACTG1P4|ENSG00000236085	-0.065	0.657	106	Control	AD
ACTL6A|ENSG00000136518	0.046	0.744	106	Control	AD
ACTL6B|ENSG00000077080	-0.093	0.654	106	Control	AD
ACTN1-DT|ENSG00000259062	0.025	0.847	106	Control	AD
ACTN2|ENSG00000077522	-0.03	0.474	106	Control	AD
ACTN4|ENSG00000130402	0.124	0.282	106	Control	AD
ACTR10|ENSG00000131966	-0.101	0.239	106	Control	AD
ACTR1A|ENSG00000138107	-0.006	0.931	106	Control	AD
ACTR1B|ENSG00000115073	-0.05	0.54	106	Control	AD
ACTR2|ENSG00000138071	-0.202	0.207	106	Control	AD
ACTR3-AS1|ENSG00000228857	-0.049	0.477	106	Control	AD
ACTR3B|ENSG00000133627	-0.04	0.584	106	Control	AD
ACTR3C|ENSG00000106526	-0.009	0.805	106	Control	AD
ACTR5|ENSG00000101442	0.044	0.61	106	Control	AD
ACTR6|ENSG00000075089	-0.103	0.441	106	Control	AD
ACTR8|ENSG00000113812	-0.014	0.821	106	Control	AD
ACVR1|ENSG00000115170	-0.035	0.856	106	Control	AD
ACVR1B|ENSG00000135503	-0.033	0.852	106	Control	AD
ACVR1C|ENSG00000123612	-0.063	0.875	106	Control	AD
ACVR2A|ENSG00000121989	-0.068	0.382	106	Control	AD
ACVR2B-AS1|ENSG00000229589	-0.033	0.882	106	Control	AD
ACVRL1|ENSG00000139567	0.114	0.688	106	Control	AD
ACY3|ENSG00000132744	0.178	0.253	106	Control	AD
ACYP1|ENSG00000119640	-0.302	0.235	106	Control	AD
ACYP2|ENSG00000170634	-0.016	0.811	106	Control	AD
ADA|ENSG00000196839	0.138	0.634	106	Control	AD
ADAL|ENSG00000168803	-0.116	0.205	106	Control	AD
ADAM10|ENSG00000137845	0.014	0.84	106	Control	AD
ADAM11|ENSG00000073670	0.041	0.99	106	Control	AD
	0.08	0.697	106	Control	AD
ADAM17|ENSG00000151694	-0.041	0.403	106	Control	AD
ADAM19|ENSG00000135074	0.031	0.839	106	Control	AD
ADAM1A|ENSG00000229186	-0.036	0.854	106	Control	AD
ADAM20|ENSG00000134007	-0.102	0.577	106	Control	AD
ADAM20P1|ENSG00000259158	-0.131	0.253	106	Control	AD
ADAM21|ENSG00000139985	-0.09	0.806	106	Control	AD
ADAM22|ENSG00000008277	-0.109	0.705	106	Control	AD
ADAM23|ENSG00000114948	-0.155	0.426	106	Control	AD
ADAM7-AS1|ENSG00000253535	-0.028	0.879	106	Control	AD
ADAM32|ENSG00000275594	-0.066	0.277	106	Control	AD
ADAM33|ENSG00000149451	0.071	0.545	106	Control	AD
ADAM9|ENSG00000282230	-0.057	0.407	106	Control	AD
ADAMTS1|ENSG00000154734	-0.074	0.634	106	Control	AD
ADAMTS10|ENSG00000142303	0.157	0.271	106	Control	AD
ADAMTS13|ENSG00000281244	0.093	0.521	106	Control	AD
ADAMTS14|ENSG00000138316	0.065	0.82	106	Control	AD
ADAMTS16-DT|ENSG00000250579	0.055	0.952	106	Control	AD
ADAMTS18|ENSG00000140873	-0.078	0.951	106	Control	AD
ADAMTS19-AS1|ENSG00000249421	0.05	0.542	106	Control	AD
ADAMTS2|ENSG00000087116	0.132	0.185	106	Control	AD
ADAMTS3|ENSG00000156140	-0.167	0.175	106	Control	AD
ADAMTS4|ENSG00000158859	0.094	0.601	106	Control	AD
ADAMTS6|ENSG00000049192	-0.076	0.234	106	Control	AD
ADAMTS8|ENSG00000134917	0.045	0.894	106	Control	AD
ADAMTS9-AS2|ENSG00000241684	-0.128	0.761	106	Control	AD
ADAMTSL2|ENSG00000197859	0.153	0.27	106	Control	AD
ADAMTSL3|ENSG00000291606	0.119	0.198	106	Control	AD
ADAP1|ENSG00000105963	0.198	0.252	106	Control	AD
ADAP2|ENSG00000184060	0.066	0.68	106	Control	AD
ADAR|ENSG00000160710	-0.017	0.932	106	Control	AD
ADARB1|ENSG00000197381	-0.052	0.794	106	Control	AD
ADARB2-AS1|ENSG00000205696	-0.016	0.838	106	Control	AD
ADAT1|ENSG00000065457	-0.004	0.803	106	Control	AD
ADAT2|ENSG00000189007	-0.036	0.279	106	Control	AD
ADCK1|ENSG00000063761	-0.034	0.775	106	Control	AD
ADCK2|ENSG00000133597	0.064	0.637	106	Control	AD
COQ8A|ENSG00000163050	0.064	0.437	106	Control	AD
COQ8B|ENSG00000123815	0.16	0.253	106	Control	AD
ADCK5|ENSG00000173137	0.154	0.294	106	Control	AD
ADCY1|ENSG00000164742	-0.003	0.99	106	Control	AD
ADCY10P1|ENSG00000161912	-0.006	0.983	106	Control	AD
ADCY2|ENSG00000078295	-0.076	0.425	106	Control	AD
ADCY8|ENSG00000155897	0.07	0.495	106	Control	AD
ADCY5|ENSG00000173175	0.114	0.201	106	Control	AD
ADCY6-DT|ENSG00000257660	0.048	0.608	106	Control	AD
ADCY7|ENSG00000121281	0.058	0.739	106	Control	AD
ADCY9|ENSG00000162104	0.089	0.291	106	Control	AD
ADCYAP1|ENSG00000141433	-0.282	0.155	106	Control	AD
ADCYAP1R1|ENSG00000078549	0.064	0.504	106	Control	AD
ADD1|ENSG00000087274	-0.02	0.946	106	Control	AD
ADD2|ENSG00000075340	-0.196	0.259	106	Control	AD
ADD3-AS1|ENSG00000203876	-0.022	0.972	106	Control	AD
ADGRA1-AS1|ENSG00000256925	0.099	0.658	106	Control	AD
ADGRA2|ENSG00000020181	0.106	0.305	106	Control	AD
ADGRA3|ENSG00000152990	-0.014	0.964	106	Control	AD
ADGRB1|ENSG00000181790	0.192	0.449	106	Control	AD
ADGRB2|ENSG00000121753	0.167	0.445	106	Control	AD
ADGRB3-DT|ENSG00000230910	-0.096	0.14	106	Control	AD
ADGRD1-AS1|ENSG00000256151	0.07	0.726	106	Control	AD
ADGRE2|ENSG00000127507	-0.015	0.993	106	Control	AD
ADGRE5|ENSG00000123146	0.104	0.485	106	Control	AD
ADGRF5-AS1|ENSG00000225730	-0.022	0.759	106	Control	AD
ADGRF5P1|ENSG00000227582	-0.217	0.926	106	Control	AD
ADGRG1|ENSG00000205336	0.156	0.293	106	Control	AD
ADGRL1-AS1|ENSG00000288348	0.246	0.193	106	Control	AD
