gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
TLR3	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TLR4	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
TLR5	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
TLR6	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TLR7	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
TLR8	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
TLR9	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TM2D3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TM4SF1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
TM4SF18	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	missing	3	0
TM4SF19-DYNLT2B	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TM7SF2	missing	missing	downregulated	missing	downregulated	downregulated	missing	missing	downregulated	0	4
TM9SF5P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMBIM1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TMBIM6	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMC1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMC3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMC4	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMC6	upregulated	upregulated	missing	missing	missing	missing	downregulated	upregulated	missing	3	1
TMC8	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TMCC1P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
TMCC2-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
TMCC3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMCO3	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMCO4	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
TMED3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMED5	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMED7-TICAM2	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
TMEFF1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
