gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
EFCAB15P	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EFCAB2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
EFCC1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EFEMP1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
EFEMP2	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
EFHC2	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
EFHD1	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	upregulated	4	0
EFHD2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
EFNA1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
EFNA3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EFNA4	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
EFNA5	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EFNB1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
EFNB2	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
EFNB3	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
EFR3B	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
EGF	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
EGFEM1P	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EGFL8	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
EGFLAM	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
EGFR	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
EGILA	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
EGR1	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
EGR3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EGR4	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
EHD2	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
EHD3	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
EHMT1	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	2	0
EHMT2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
EID1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EID2	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
EID2B	downregulated	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	4
EIF1AD	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
EIF1B-AS1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EIF2B2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
EIF2B3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EIF2B4	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
EIF2S1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
EIF3EP3	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
EIF3K	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EIF4A1P10	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
EIF4A2P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
EIF4E1B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EIF4E2	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
EIF4EBP1	missing	missing	missing	missing	upregulated	missing	missing	upregulated	upregulated	3	0
EIF4EBP2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
EIF4H	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
EIF4HP2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
EIF6	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
ELANE	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ELAPOR1	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ELAPOR2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ELAVL2	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ELAVL3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ELAVL4	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ELF1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ELF3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ELF4	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ELFN1	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
ELFN2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
ELK1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ELK3	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ELK4	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ELL3	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ELMO2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ELMOD1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ELMOD3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ELN	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ELOVL4	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ELOVL5	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
ELOVL7	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ELP4	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
EMBP1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EMC1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
EMC2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
EMC4	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
EMC9	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
EMCN	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
EMILIN1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	2	0
EMILIN2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
EML3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
EML6	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
EMP1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
EMP3	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	upregulated	upregulated	6	0
EMX2	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
EMX2OS	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
EN2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENAH	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ENC1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ENDOG	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
ENDOV	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENG	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENGASE	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENKUR	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENO1P3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENO2	downregulated	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	4
ENO3	missing	missing	missing	upregulated	missing	missing	missing	upregulated	missing	2	0
ENOPH1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENOSF1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENPP1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENPP2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENPP5	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
ENPP6	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSA	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSAP2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000093100	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000124593	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000159239	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
ENSG00000165121	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
ENSG00000170089	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000183562	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000186076	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000196656	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000203472	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000203620	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000203644	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000204003	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000204556	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ENSG00000204850	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000204894	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000205959	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000206028	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000206249	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000213144	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
ENSG00000213150	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000213204	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000213279	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000213642	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000215146	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000215156	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ENSG00000216360	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000216809	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000217078	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000218175	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ENSG00000218313	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000219410	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000219529	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000219992	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
ENSG00000222043	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000223356	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000223602	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000223642	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000223841	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000223930	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000224076	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000224138	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000224493	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000224647	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000224713	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000224950	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225170	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000225279	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225282	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225384	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000225606	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225660	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000225721	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225807	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000225813	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000225911	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000225963	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000226143	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000226329	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000226455	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000226622	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000226636	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000226668	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000226870	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000227080	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000227141	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000227388	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000227512	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000227514	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000227683	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000227705	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000227719	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000227722	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000227755	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000227958	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000228084	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000228113	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228141	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000228170	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000228204	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228335	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000228408	missing	missing	upregulated	missing	missing	missing	downregulated	missing	upregulated	2	1
ENSG00000228477	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000228510	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ENSG00000228620	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000228634	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228692	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228748	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228830	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228863	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000228897	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000229116	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000229233	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000229255	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000229407	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000229492	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ENSG00000229505	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000229618	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000229668	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000230163	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000230233	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000230393	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000230454	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000230729	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000230733	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000230739	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000230790	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000230828	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000230882	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
ENSG00000231010	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000231092	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000231114	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000231563	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000231713	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000231741	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000231827	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000231979	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000232006	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000232056	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000232063	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000232599	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000232682	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000233139	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ENSG00000233264	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000233363	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000233586	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000233665	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000233783	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000233820	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000233875	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000234156	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000234175	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000234338	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000234353	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000234360	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000234451	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000234460	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000234477	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000234521	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000234537	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000234638	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000234683	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000234773	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000234937	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000234961	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000235008	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000235121	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000235186	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000235381	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000235609	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
ENSG00000235742	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000235772	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000235837	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000235852	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000236095	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000236352	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000236498	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000236643	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000237356	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000237798	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000237927	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000237993	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000238085	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000238186	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000238358	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000239486	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000239793	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
ENSG00000239969	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000240207	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000240401	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000240419	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000240813	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000241114	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000241180	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000241231	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000241592	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000242539	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
ENSG00000242588	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000242795	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000243423	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000243696	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000244337	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000244510	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
ENSG00000244560	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000244604	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000245025	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000246477	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000247049	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000247925	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000248100	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000248115	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000248138	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000248285	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000248452	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000248585	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000248734	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000248766	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000248839	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000249006	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000249068	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000249207	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000249562	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000249577	upregulated	missing	missing	missing	missing	upregulated	missing	upregulated	missing	3	0
ENSG00000249621	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000249684	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000249779	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000249780	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000249849	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000249863	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000250069	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000250140	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ENSG00000250431	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000250602	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000250615	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000250644	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000250770	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000250771	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ENSG00000250934	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
ENSG00000250979	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	0	2
ENSG00000251095	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000251184	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ENSG00000251188	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
ENSG00000251250	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
ENSG00000251458	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000251516	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
ENSG00000251536	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ENSG00000253326	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ENSG00000253361	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ENSG00000253362	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
