gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
PPIAL4H,ENSG00000270339,PPIAL4H,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SCYGR1,ENSG00000284629,SCYGR1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HBA2,ENSG00000188536,HBA2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ACAA2P1,ENSG00000233585,ACAA2P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GOLGA6L24,ENSG00000237850,GOLGA6L24,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CCL25,ENSG00000131142,CCL25,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HOATZ,ENSG00000183644,HOATZ,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PENK,ENSG00000181195,PENK,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL21P90,ENSG00000227805,RPL21P90,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CX3CR1,ENSG00000168329,CX3CR1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CSAG3,ENSG00000268916,CSAG3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ZFP57,ENSG00000234669,ZFP57,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FXYD4,ENSG00000150201,FXYD4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
VAX1,ENSG00000148704,VAX1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NPAS4,ENSG00000174576,NPAS4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TAS2R39,ENSG00000236398,TAS2R39,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GGT8P,ENSG00000236969,GGT8P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL13AP2,ENSG00000244053,RPL13AP2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PAIP2B,ENSG00000124374,PAIP2B,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TRPV5,ENSG00000127412,TRPV5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MSLN,ENSG00000102854,MSLN,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HBA1,ENSG00000206172,HBA1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CEMP1,ENSG00000205923,CEMP1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL28P1,ENSG00000213174,RPL28P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MS4A8,ENSG00000166959,MS4A8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GSTA1,ENSG00000243955,GSTA1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FAM25G,ENSG00000189090,FAM25G,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CYCSP23,ENSG00000253495,CYCSP23,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CALML3,ENSG00000178363,CALML3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LDB3,ENSG00000122367,LDB3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PIP,ENSG00000159763,PIP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTCO3P12,ENSG00000198744,MTCO3P12,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HOXD3,ENSG00000128652,HOXD3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CSN1S1,ENSG00000126545,CSN1S1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ANXA2P3,ENSG00000216740,ANXA2P3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
BSPH1,ENSG00000188334,BSPH1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NKX2-8,ENSG00000136327,NKX2-8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CA9,ENSG00000107159,CA9,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000253362,ENSG00000253362,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MAPK15,ENSG00000274205,MAPK15,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CNOT3,ENSG00000276082,CNOT3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GOLGA8VP,ENSG00000259236,GOLGA8VP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000285868,ENSG00000285868,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SRMS,ENSG00000125508,SRMS,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CMTM5,ENSG00000166091,CMTM5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
APOC4,ENSG00000267467,APOC4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NBEAP3,ENSG00000223875,NBEAP3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
BCAS1,ENSG00000064787,BCAS1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RAET1L,ENSG00000155918,RAET1L,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TSPAN8,ENSG00000127324,TSPAN8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CARNS1,ENSG00000172508,CARNS1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ACTG1P17,ENSG00000259315,ACTG1P17,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MOG,ENSG00000232641,MOG,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT5,ENSG00000186081,KRT5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NDUFB4P10,ENSG00000232880,NDUFB4P10,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LLPHP3,ENSG00000233868,LLPHP3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
VIP,ENSG00000146469,VIP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TAC1,ENSG00000006128,TAC1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
C5orf52,ENSG00000187658,C5orf52,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PLSCR5,ENSG00000231213,PLSCR5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
VSIG10L2,ENSG00000283703,VSIG10L2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GRIN3B,ENSG00000116032,GRIN3B,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000276845,ENSG00000276845,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTRNR2L8,,MTRNR2L8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
COL11A2,ENSG00000230930,COL11A2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MSLNL,ENSG00000162006,MSLNL,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ERP29P1,ENSG00000233347,ERP29P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PTK6,ENSG00000101213,PTK6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PDIA2,ENSG00000185615,PDIA2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OR9A2,ENSG00000179468,OR9A2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RALBP1P1,ENSG00000239880,RALBP1P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
DMRTA2,ENSG00000142700,DMRTA2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000235186,ENSG00000235186,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KEL,ENSG00000276615,KEL,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PPP1R14A,ENSG00000167641,PPP1R14A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ZNF602P,ENSG00000219392,ZNF602P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SLC32A1,ENSG00000101438,SLC32A1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
AHSP,ENSG00000169877,AHSP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ANKRD18DP,ENSG00000291192,ANKRD18DP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SEPTIN4,ENSG00000108387,SEPTIN4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CDHR5,ENSG00000273572,CDHR5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TP53TG5,ENSG00000124251,TP53TG5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CERCAM,ENSG00000167123,CERCAM,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OR7E47P,ENSG00000257542,OR7E47P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
IL36G,ENSG00000136688,IL36G,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GATA1,ENSG00000102145,GATA1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ST8SIA2,ENSG00000140557,ST8SIA2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
DNM1P47,ENSG00000259660,DNM1P47,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CATSPERD,ENSG00000174898,CATSPERD,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HBB,ENSG00000244734,HBB,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
IFNA6,ENSG00000120235,IFNA6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL32P5,ENSG00000236325,RPL32P5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CCL1,ENSG00000108702,CCL1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000234521,ENSG00000234521,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CYP4F33P,ENSG00000273036,CYP4F33P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENOSF1,ENSG00000132199,ENOSF1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GPR149,ENSG00000174948,GPR149,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TMEM139,ENSG00000178826,TMEM139,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FFAR1,ENSG00000126266,FFAR1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT8P13,ENSG00000241416,KRT8P13,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
P2RY12,ENSG00000169313,P2RY12,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GAD2,ENSG00000136750,GAD2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
IGFN1,ENSG00000163395,IGFN1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TREH,ENSG00000118094,TREH,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
C4orf54,ENSG00000248713,C4orf54,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CIMAP1B,ENSG00000177989,CIMAP1B,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CTSV,ENSG00000136943,CTSV,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
COX3,ENSG00000198938,COX3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ATP12A,ENSG00000075673,ATP12A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GGT4P,ENSG00000280208,GGT4P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GGT4P,ENSG00000281616,GGT4P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CHRDL2,ENSG00000054938,CHRDL2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PHGR1,ENSG00000233041,PHGR1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KCNMB3,ENSG00000171121,KCNMB3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
VCX3B,ENSG00000205642,VCX3B,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LST1,ENSG00000234514,LST1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
BTBD16,ENSG00000138152,BTBD16,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
DUOXA2,ENSG00000140274,DUOXA2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000262248,ENSG00000262248,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GRP,ENSG00000134443,GRP,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTRNR2L6,ENSG00000282017,MTRNR2L6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000268884,ENSG00000268884,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CARM1P1,ENSG00000227835,CARM1P1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LHX9,ENSG00000143355,LHX9,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MEP1A,ENSG00000112818,MEP1A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FLT3,ENSG00000122025,FLT3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
C8orf90,ENSG00000226490,C8orf90,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
FREM3,ENSG00000183090,FREM3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RPL31P34,ENSG00000231359,RPL31P34,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000224647,ENSG00000224647,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GNG8,ENSG00000167414,GNG8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NDUFB4P11,ENSG00000259374,NDUFB4P11,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CLEC4GP1,ENSG00000268297,CLEC4GP1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000235742,ENSG00000235742,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HNRNPKP5,ENSG00000250662,HNRNPKP5,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LRRC71,ENSG00000160838,LRRC71,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT8P7,ENSG00000230716,KRT8P7,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT17P6,ENSG00000231645,KRT17P6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MED28P8,ENSG00000242598,MED28P8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000278683,ENSG00000278683,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
H2BC9,ENSG00000275713,H2BC9,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TMC4,ENSG00000167608,TMC4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000269242,ENSG00000269242,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
KRT8P23,ENSG00000259565,KRT8P23,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GLUD1P6,ENSG00000265630,GLUD1P6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000250979,ENSG00000250979,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LORICRIN,ENSG00000203782,LORICRIN,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
DNAAF6,ENSG00000080572,DNAAF6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
COL9A3,ENSG00000092758,COL9A3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ADCYAP1,ENSG00000141433,ADCYAP1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GPIHBP1,ENSG00000277494,GPIHBP1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GAD1,ENSG00000128683,GAD1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SPON2,ENSG00000159674,SPON2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SRD5A2,ENSG00000277893,SRD5A2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ATP6,ENSG00000198899,ATP6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ART2P,ENSG00000238048,ART2P,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CCNB2,ENSG00000157456,CCNB2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
EGR4,ENSG00000135625,EGR4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
RGS8,ENSG00000135824,RGS8,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
OVOS2,ENSG00000177359,OVOS2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HHATL,ENSG00000010282,HHATL,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PRLHR,ENSG00000119973,PRLHR,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CCL4L2,ENSG00000293547,CCL4L2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
COX2,ENSG00000198712,COX2,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
HMGB1P17,ENSG00000217482,HMGB1P17,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NPBWR1,ENSG00000288611,NPBWR1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TNNI3,ENSG00000129991,TNNI3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
GAPDHP76,ENSG00000249840,GAPDHP76,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000229492,ENSG00000229492,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ARL5AP3,ENSG00000228431,ARL5AP3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTRNR2L1,,MTRNR2L1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NKX6-3,ENSG00000165066,NKX6-3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MAGEC3,ENSG00000165509,MAGEC3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LINC03043,ENSG00000275356,LINC03043,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
C19orf18,ENSG00000177025,C19orf18,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SERTM1,ENSG00000180440,SERTM1,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
LILRB4,ENSG00000278279,LILRB4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TERT,ENSG00000164362,TERT,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PSG6,ENSG00000170848,PSG6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MUC6,ENSG00000184956,MUC6,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000284636,ENSG00000284636,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CFAP95,ENSG00000204711,CFAP95,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
PPIAP77,ENSG00000249092,PPIAP77,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ND3,ENSG00000198840,ND3,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTURN,ENSG00000180354,MTURN,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ENSG00000226668,ENSG00000226668,,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
NOTCH4,ENSG00000206312,NOTCH4,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
MTCO1P12,ENSG00000237973,MTCO1P12,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CFAP73,ENSG00000186710,CFAP73,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
CES4A,ENSG00000172824,CES4A,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
ADAMTS20,ENSG00000173157,ADAMTS20,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
TMEM125,ENSG00000179178,TMEM125,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
SSX7,ENSG00000187754,SSX7,False,Temporal Lobe,Marques-Coelho_MAYO,2.3
