gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
MAD2L1-DT,ENSG00000250938,MAD2L1-DT,False,Frontal Lobe,Panitch_et_al,1.8
TTC19,ENSG00000011295,TTC19,False,Frontal Lobe,Panitch_et_al,1.8
ICA1L,ENSG00000163596,ICA1L,False,Frontal Lobe,Panitch_et_al,1.8
NMU,ENSG00000109255,NMU,False,Frontal Lobe,Panitch_et_al,1.8
SLC25A40,ENSG00000075303,SLC25A40,False,Frontal Lobe,Panitch_et_al,1.8
BDNF-AS,ENSG00000245573,BDNF-AS,False,Frontal Lobe,Panitch_et_al,1.8
CDH9,ENSG00000113100,CDH9,False,Frontal Lobe,Panitch_et_al,1.8
LINC01476,ENSG00000265313,LINC01476,False,Frontal Lobe,Panitch_et_al,1.8
DHX57,ENSG00000163214,DHX57,False,Frontal Lobe,Panitch_et_al,1.8
LINC01007,ENSG00000233123,LINC01007,False,Frontal Lobe,Panitch_et_al,1.8
HS6ST2-AS1,ENSG00000235849,HS6ST2-AS1,False,Frontal Lobe,Panitch_et_al,1.8
KDM7A-DT,ENSG00000260231,KDM7A-DT,False,Frontal Lobe,Panitch_et_al,1.8
CELF6,ENSG00000140488,CELF6,False,Frontal Lobe,Panitch_et_al,1.8
NCALD,ENSG00000104490,NCALD,False,Frontal Lobe,Panitch_et_al,1.8
TBCEL-TECTA,ENSG00000285509,TBCEL-TECTA,False,Frontal Lobe,Panitch_et_al,1.8
HAPLN1,ENSG00000145681,HAPLN1,False,Frontal Lobe,Panitch_et_al,1.8
GRIPAP1,ENSG00000068400,GRIPAP1,False,Frontal Lobe,Panitch_et_al,1.8
CD200,ENSG00000091972,CD200,False,Frontal Lobe,Panitch_et_al,1.8
SLC32A1,ENSG00000101438,SLC32A1,False,Frontal Lobe,Panitch_et_al,1.8
IL1RL2,ENSG00000115598,IL1RL2,False,Frontal Lobe,Panitch_et_al,1.8
B3GALNT1,ENSG00000169255,B3GALNT1,False,Frontal Lobe,Panitch_et_al,1.8
MTR,ENSG00000116984,MTR,False,Frontal Lobe,Panitch_et_al,1.8
TRIM45,ENSG00000134253,TRIM45,False,Frontal Lobe,Panitch_et_al,1.8
HDAC9-AS1,ENSG00000226522,HDAC9-AS1,False,Frontal Lobe,Panitch_et_al,1.8
ZCCHC12,ENSG00000174460,ZCCHC12,False,Frontal Lobe,Panitch_et_al,1.8
TRUB1,ENSG00000165832,TRUB1,False,Frontal Lobe,Panitch_et_al,1.8
IMMT,ENSG00000132305,IMMT,False,Frontal Lobe,Panitch_et_al,1.8
COA1,ENSG00000106603,COA1,False,Frontal Lobe,Panitch_et_al,1.8
COX18,ENSG00000163626,COX18,False,Frontal Lobe,Panitch_et_al,1.8
C17orf58,ENSG00000186665,C17orf58,False,Frontal Lobe,Panitch_et_al,1.8
ACADSB,ENSG00000196177,ACADSB,False,Frontal Lobe,Panitch_et_al,1.8
RINT1,ENSG00000135249,RINT1,False,Frontal Lobe,Panitch_et_al,1.8
SERTM1,ENSG00000180440,SERTM1,False,Frontal Lobe,Panitch_et_al,1.8
FHIP1B,ENSG00000051009,FHIP1B,False,Frontal Lobe,Panitch_et_al,1.8
STXBP5-AS1,ENSG00000233452,STXBP5-AS1,False,Frontal Lobe,Panitch_et_al,1.8
TBP,ENSG00000112592,TBP,False,Frontal Lobe,Panitch_et_al,1.8
B9D1,ENSG00000108641,B9D1,False,Frontal Lobe,Panitch_et_al,1.8
ANXA2P3,ENSG00000216740,ANXA2P3,False,Frontal Lobe,Panitch_et_al,1.8
ICA1-AS1,ENSG00000244239,ICA1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
NDUFA10,ENSG00000130414,NDUFA10,False,Frontal Lobe,Panitch_et_al,1.8
MRPS25,ENSG00000131368,MRPS25,False,Frontal Lobe,Panitch_et_al,1.8
UBLCP1,ENSG00000164332,UBLCP1,False,Frontal Lobe,Panitch_et_al,1.8
ARMCX5-GPRASP2,ENSG00000271147,ARMCX5-GPRASP2,False,Frontal Lobe,Panitch_et_al,1.8
CFAP221,ENSG00000163075,CFAP221,False,Frontal Lobe,Panitch_et_al,1.8
FRMPD2,ENSG00000170324,FRMPD2,False,Frontal Lobe,Panitch_et_al,1.8
DNAJC10,ENSG00000077232,DNAJC10,False,Frontal Lobe,Panitch_et_al,1.8
FBXO9,ENSG00000112146,FBXO9,False,Frontal Lobe,Panitch_et_al,1.8
RCAN2-DT,ENSG00000236466,RCAN2-DT,False,Frontal Lobe,Panitch_et_al,1.8
MBTPS2,ENSG00000012174,MBTPS2,False,Frontal Lobe,Panitch_et_al,1.8
SLC10A4,ENSG00000145248,SLC10A4,False,Frontal Lobe,Panitch_et_al,1.8
TDRKH-AS1,ENSG00000203288,TDRKH-AS1,False,Frontal Lobe,Panitch_et_al,1.8
C3orf80,ENSG00000180044,C3orf80,False,Frontal Lobe,Panitch_et_al,1.8
PMS1,ENSG00000064933,PMS1,False,Frontal Lobe,Panitch_et_al,1.8
ZBBX,ENSG00000169064,ZBBX,False,Frontal Lobe,Panitch_et_al,1.8
RTCA-AS1,ENSG00000224616,RTCA-AS1,False,Frontal Lobe,Panitch_et_al,1.8
NRSN1,ENSG00000152954,NRSN1,False,Frontal Lobe,Panitch_et_al,1.8
ACTR10,ENSG00000131966,ACTR10,False,Frontal Lobe,Panitch_et_al,1.8
GABARAPL1-AS1,ENSG00000255958,GABARAPL1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
TRAPPC6B,ENSG00000182400,TRAPPC6B,False,Frontal Lobe,Panitch_et_al,1.8
DNM1L,ENSG00000087470,DNM1L,False,Frontal Lobe,Panitch_et_al,1.8
PLAG1,ENSG00000181690,PLAG1,False,Frontal Lobe,Panitch_et_al,1.8
DMXL2,ENSG00000104093,DMXL2,False,Frontal Lobe,Panitch_et_al,1.8
ADRA1D,ENSG00000171873,ADRA1D,False,Frontal Lobe,Panitch_et_al,1.8
NDUFAB1,ENSG00000004779,NDUFAB1,False,Frontal Lobe,Panitch_et_al,1.8
HACE1,ENSG00000085382,HACE1,False,Frontal Lobe,Panitch_et_al,1.8
BCAS2,ENSG00000116752,BCAS2,False,Frontal Lobe,Panitch_et_al,1.8
DPP6,ENSG00000130226,DPP6,False,Frontal Lobe,Panitch_et_al,1.8
TLN2,ENSG00000171914,TLN2,False,Frontal Lobe,Panitch_et_al,1.8
TFCP2,ENSG00000135457,TFCP2,False,Frontal Lobe,Panitch_et_al,1.8
IGSF3,ENSG00000143061,IGSF3,False,Frontal Lobe,Panitch_et_al,1.8
HTR7P1,ENSG00000183935,HTR7P1,False,Frontal Lobe,Panitch_et_al,1.8
DDHD1-DT,ENSG00000258731,DDHD1-DT,False,Frontal Lobe,Panitch_et_al,1.8
MRPS9-AS1,ENSG00000231851,MRPS9-AS1,False,Frontal Lobe,Panitch_et_al,1.8
CACNA2D1-AS1,ENSG00000223770,CACNA2D1-AS1,False,Frontal Lobe,Panitch_et_al,1.8
TRIM9,ENSG00000100505,TRIM9,False,Frontal Lobe,Panitch_et_al,1.8
RASGRF1,ENSG00000058335,RASGRF1,False,Frontal Lobe,Panitch_et_al,1.8
CPAMD8,ENSG00000160111,CPAMD8,False,Frontal Lobe,Panitch_et_al,1.8
ZNF25-DT,ENSG00000226447,ZNF25-DT,False,Frontal Lobe,Panitch_et_al,1.8
DOP1A,ENSG00000083097,DOP1A,False,Frontal Lobe,Panitch_et_al,1.8
NDUFB5,ENSG00000136521,NDUFB5,False,Frontal Lobe,Panitch_et_al,1.8
TSNAX-DISC1,ENSG00000270106,TSNAX-DISC1,False,Frontal Lobe,Panitch_et_al,1.8
PLXNC1,ENSG00000136040,PLXNC1,False,Frontal Lobe,Panitch_et_al,1.8
RBM3,ENSG00000102317,RBM3,False,Frontal Lobe,Panitch_et_al,1.8
FAM174A-DT,ENSG00000247877,FAM174A-DT,False,Frontal Lobe,Panitch_et_al,1.8
