gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
LRFN5-DT,,LRFN5-DT,False,Hippocampus,van_Rooij_et_al,1.8
KCNQ3,ENSG00000184156,KCNQ3,False,Hippocampus,van_Rooij_et_al,1.8
EPHA6,ENSG00000080224,EPHA6,False,Hippocampus,van_Rooij_et_al,1.8
ST6GALNAC5,ENSG00000117069,ST6GALNAC5,False,Hippocampus,van_Rooij_et_al,1.8
STX1A,ENSG00000106089,STX1A,False,Hippocampus,van_Rooij_et_al,1.8
AGBL4-IT1,ENSG00000225623,AGBL4-IT1,False,Hippocampus,van_Rooij_et_al,1.8
DLGAP2-AS1,ENSG00000282001,DLGAP2-AS1,False,Hippocampus,van_Rooij_et_al,1.8
NRXN1-DT,ENSG00000231918,NRXN1-DT,False,Hippocampus,van_Rooij_et_al,1.8
MAL2-AS1,ENSG00000253972,MAL2-AS1,False,Hippocampus,van_Rooij_et_al,1.8
AP3B2,ENSG00000103723,AP3B2,False,Hippocampus,van_Rooij_et_al,1.8
BSN-DT,ENSG00000226913,BSN-DT,False,Hippocampus,van_Rooij_et_al,1.8
GNG3,ENSG00000162188,GNG3,False,Hippocampus,van_Rooij_et_al,1.8
NRGN,ENSG00000154146,NRGN,False,Hippocampus,van_Rooij_et_al,1.8
ACOT4,ENSG00000177465,ACOT4,False,Hippocampus,van_Rooij_et_al,1.8
GRIN2A,ENSG00000183454,GRIN2A,False,Hippocampus,van_Rooij_et_al,1.8
PTPN5,ENSG00000110786,PTPN5,False,Hippocampus,van_Rooij_et_al,1.8
SYN3-AS1,ENSG00000236054,SYN3-AS1,False,Hippocampus,van_Rooij_et_al,1.8
UCMA,ENSG00000165623,UCMA,False,Hippocampus,van_Rooij_et_al,1.8
CPLX2,ENSG00000145920,CPLX2,False,Hippocampus,van_Rooij_et_al,1.8
NDRG4,ENSG00000103034,NDRG4,False,Hippocampus,van_Rooij_et_al,1.8
PTPRR,ENSG00000153233,PTPRR,False,Hippocampus,van_Rooij_et_al,1.8
CAMK4,ENSG00000152495,CAMK4,False,Hippocampus,van_Rooij_et_al,1.8
PRKCE-AS1,ENSG00000228481,PRKCE-AS1,False,Hippocampus,van_Rooij_et_al,1.8
ATP6V1G2-DDX39B,ENSG00000254870,ATP6V1G2-DDX39B,False,Hippocampus,van_Rooij_et_al,1.8
CHRM1,ENSG00000168539,CHRM1,False,Hippocampus,van_Rooij_et_al,1.8
INPP5J,ENSG00000185133,INPP5J,False,Hippocampus,van_Rooij_et_al,1.8
NCALD,ENSG00000104490,NCALD,False,Hippocampus,van_Rooij_et_al,1.8
ENC1,ENSG00000171617,ENC1,False,Hippocampus,van_Rooij_et_al,1.8
SNCG,ENSG00000173267,SNCG,False,Hippocampus,van_Rooij_et_al,1.8
NOS1AP,ENSG00000198929,NOS1AP,False,Hippocampus,van_Rooij_et_al,1.8
ADAM23,ENSG00000114948,ADAM23,False,Hippocampus,van_Rooij_et_al,1.8
PTK2B,ENSG00000120899,PTK2B,False,Hippocampus,van_Rooij_et_al,1.8
CPLX1,ENSG00000168993,CPLX1,False,Hippocampus,van_Rooij_et_al,1.8
PNMA8B,ENSG00000204851,PNMA8B,False,Hippocampus,van_Rooij_et_al,1.8
RGS7,ENSG00000182901,RGS7,False,Hippocampus,van_Rooij_et_al,1.8
STXBP1,ENSG00000136854,STXBP1,False,Hippocampus,van_Rooij_et_al,1.8
TUBA4A,ENSG00000127824,TUBA4A,False,Hippocampus,van_Rooij_et_al,1.8
KCNC1,ENSG00000129159,KCNC1,False,Hippocampus,van_Rooij_et_al,1.8
CHRM2,ENSG00000181072,CHRM2,False,Hippocampus,van_Rooij_et_al,1.8
STUM,ENSG00000203685,STUM,False,Hippocampus,van_Rooij_et_al,1.8
TAFA1,ENSG00000183662,TAFA1,False,Hippocampus,van_Rooij_et_al,1.8
STX1B,ENSG00000099365,STX1B,False,Hippocampus,van_Rooij_et_al,1.8
CPNE6,ENSG00000100884,CPNE6,False,Hippocampus,van_Rooij_et_al,1.8
METAP2,ENSG00000111142,METAP2,False,Hippocampus,van_Rooij_et_al,1.8
RTN4RL1,ENSG00000185924,RTN4RL1,False,Hippocampus,van_Rooij_et_al,1.8
SV2A,ENSG00000159164,SV2A,False,Hippocampus,van_Rooij_et_al,1.8
