gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ANO3,ENSG00000134343,ANO3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ENSG00000251250,ENSG00000251250,,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CTXN1,ENSG00000178531,CTXN1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SYP,ENSG00000102003,SYP,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
HBQ1,ENSG00000086506,HBQ1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KLHL14,ENSG00000197705,KLHL14,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PCDH8,ENSG00000136099,PCDH8,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CHGB,ENSG00000089199,CHGB,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
BHLHE22,ENSG00000180828,BHLHE22,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
EPHA5,ENSG00000145242,EPHA5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
DRD5,ENSG00000169676,DRD5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ARL4D,ENSG00000175906,ARL4D,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ENSG00000267561,ENSG00000267561,,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NRN1,ENSG00000124785,NRN1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ENSG00000267630,ENSG00000267630,,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C1QL3,ENSG00000165985,C1QL3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RXFP1,ENSG00000171509,RXFP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SYTL5,ENSG00000147041,SYTL5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NUGGC,ENSG00000189233,NUGGC,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CAP2,ENSG00000112186,CAP2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KLK7,ENSG00000169035,KLK7,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
LOC730098,ENSG00000187186,LOC730098,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ST6GALNAC5,ENSG00000117069,ST6GALNAC5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ZDHHC23,ENSG00000184307,ZDHHC23,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KCNB2,ENSG00000182674,KCNB2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RHEBL1,ENSG00000167550,RHEBL1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SPEF1,ENSG00000101222,SPEF1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SV2B,ENSG00000185518,SV2B,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PTPRQ,ENSG00000139304,PTPRQ,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RPH3A,ENSG00000089169,RPH3A,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
DACH2,ENSG00000126733,DACH2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NPPA,ENSG00000175206,NPPA,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
GAP43,ENSG00000172020,GAP43,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ADAMTS3,ENSG00000156140,ADAMTS3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
HAS1,ENSG00000105509,HAS1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PRMT8,ENSG00000111218,PRMT8,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
GDA,ENSG00000119125,GDA,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
MAL2,ENSG00000147676,MAL2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CCDC184,ENSG00000177875,CCDC184,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C2orf80,ENSG00000188674,C2orf80,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PLPPR4,ENSG00000117600,PLPPR4,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KCNF1,ENSG00000162975,KCNF1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RAB3B,ENSG00000169213,RAB3B,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
IL1RAPL2,ENSG00000189108,IL1RAPL2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
LY6H,ENSG00000176956,LY6H,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PCDH20,ENSG00000280165,PCDH20,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CALM3,ENSG00000160014,CALM3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PPP1R14C,ENSG00000198729,PPP1R14C,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
GABRA5,ENSG00000186297,GABRA5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
COL24A1,ENSG00000171502,COL24A1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RBP4,ENSG00000138207,RBP4,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
WNT1,ENSG00000125084,WNT1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CORT,ENSG00000241563,CORT,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
MOXD1,ENSG00000079931,MOXD1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
LYRM9,ENSG00000232859,LYRM9,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
BMERB1,ENSG00000166780,BMERB1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TUBB2A,ENSG00000137267,TUBB2A,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
EID2,ENSG00000176396,EID2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C15orf61,ENSG00000189227,C15orf61,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SYT5,ENSG00000129990,SYT5,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
OLFM1,ENSG00000130558,OLFM1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
MAS1,ENSG00000130368,MAS1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RBFOX2,ENSG00000277564,RBFOX2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
MEIS3,ENSG00000105419,MEIS3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SCG3,ENSG00000104112,SCG3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TMEM271,ENSG00000273238,TMEM271,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ST6GAL2,ENSG00000144057,ST6GAL2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SPON2,ENSG00000159674,SPON2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TRPA1,ENSG00000104321,TRPA1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
ATP6V1C1,ENSG00000155097,ATP6V1C1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
FKBP1B,ENSG00000119782,FKBP1B,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CAMK4,ENSG00000152495,CAMK4,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KCNV1,ENSG00000164794,KCNV1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RAB3A,ENSG00000105649,RAB3A,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C1orf115,ENSG00000162817,C1orf115,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TUBB3,ENSG00000258947,TUBB3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NNAT,ENSG00000053438,NNAT,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
C11orf87,ENSG00000185742,C11orf87,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
RGS7,ENSG00000182901,RGS7,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
STXBP5L,ENSG00000145087,STXBP5L,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
VWC2,ENSG00000188730,VWC2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NELL1,ENSG00000165973,NELL1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
KCNT2,ENSG00000162687,KCNT2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CALY,ENSG00000130643,CALY,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NDUFAB1,ENSG00000004779,NDUFAB1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CYP4X1,ENSG00000186377,CYP4X1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
IPCEF1,ENSG00000074706,IPCEF1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SYT1,ENSG00000067715,SYT1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PPEF1,ENSG00000086717,PPEF1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
CMAS,ENSG00000111726,CMAS,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
PWWP2AP1,ENSG00000226683,PWWP2AP1,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
SLC8A2,ENSG00000118160,SLC8A2,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
TTC9B,ENSG00000174521,TTC9B,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
BEX3,ENSG00000166681,BEX3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
NDST3,ENSG00000164100,NDST3,False,Temporal Lobe,Marques-Coelho_MSSB_BA22,2.3
