gene_name	Annese_et_al	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Marques-Coelho_MSSB_BA44	Li_et_al	Magistry_et_al	Das_et_al	Panitch_et_al	Luo_et_al	van_Rooij_et_al	Fischer_et_al	Marques-Coelho_MAYO	Guennewig_et_al	King_et_al	Marques-Coelho_MSSB_BA10	Marques-Coelho_ROSMAP	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
CFAP43	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	2
CFAP45	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	1	2
CFAP46	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
CFAP47	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	4	0
CFAP52	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP53	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
CFAP54	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	downregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	3	1
CFAP57	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
CFAP65	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
CFAP69	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP69P1	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CFAP70	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	upregulated	1	1
CFAP73	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
CFAP74	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP77	downregulated	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	2
CFAP92	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CFAP95	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
CFAP96	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CFB	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CFC1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
CFH	downregulated	upregulated	missing	upregulated	missing	missing	missing	downregulated	missing	missing	downregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	3	3
CFHR5	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CFI	upregulated	upregulated	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	8	0
CFL1	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	upregulated	missing	missing	missing	missing	1	2
CFL2	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CFLAR	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
CFLAR-AS1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	1
CFP	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
CGAS	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	4	0
CGB7	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	downregulated	1	2
CGN	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CGNL1	missing	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	missing	upregulated	upregulated	upregulated	missing	missing	upregulated	missing	missing	upregulated	8	0
CGREF1	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	upregulated	missing	missing	missing	downregulated	1	6
CH25H	upregulated	upregulated	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	3	0
CHAC1	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CHADL	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	2	1
CHAF1B	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
CHCHD10	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	3
CHCHD2	missing	missing	missing	downregulated	missing	missing	missing	downregulated	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	4
CHCHD2P9	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
CHCHD5	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	0	1
CHCHD6	downregulated	downregulated	missing	downregulated	missing	missing	missing	missing	downregulated	missing	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	downregulated	0	8
CHCHD7	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
CHD1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	2	0
CHD1-DT	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CHD3	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
CHD4	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
CHD5	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
CHD7	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	downregulated	missing	missing	missing	upregulated	2	1
CHD9NB	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CHDH	missing	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	upregulated	missing	missing	missing	missing	missing	upregulated	5	0
CHEK1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
CHEK2	downregulated	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	downregulated	missing	missing	missing	missing	missing	missing	upregulated	upregulated	4	2
CHFR-DT	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CHGA	missing	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	4
CHGB	downregulated	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	missing	downregulated	0	8
CHI3L1	missing	upregulated	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	3	0
CHI3L2	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	3	0
CHIC1	missing	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CHID1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
CHIT1	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	1	0
CHKB	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	2
CHKB-CPT1B	missing	missing	missing	missing	upregulated	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	4	0
CHKB-DT	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	2	0
CHL1	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
