Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
ANKRD27,-0.005,9.81E-01,,,
ANKRD28,-0.051,4.07E-01,,,
ANKRD29,-0.010,9.90E-01,,,
ANKRD30B,-0.047,5.83E-01,,,
ANKRD30BL,-0.031,7.02E-01,,,
ANKRD30BP1,-0.034,7.38E-01,,,
ANKRD30BP2,-0.057,5.34E-01,,,
ANKRD32,-0.119,2.53E-01,,,
ANKRD33B,-0.003,8.92E-01,,,
ANKRD34A,0.033,6.62E-01,,,
ANKRD34C,-0.012,8.79E-01,,,
ANKRD34C-AS1,0.021,9.05E-01,,,
ANKRD35,0.046,6.61E-01,,,
ANKRD36,-0.056,4.98E-01,,,
ANKRD36B,0.056,6.71E-01,,,
ANKRD36BP1,0.046,7.30E-01,,,
ANKRD36BP2,-0.087,4.15E-01,,,
ANKRD36C,-0.014,6.92E-01,,,
ANKRD36P1,-0.084,5.35E-01,,,
ANKRD37,0.075,6.06E-01,,,
ANKRD39,0.110,6.76E-01,,,
ANKRD40,0.151,2.45E-01,,,
ANKRD42,-0.074,4.58E-01,,,
ANKRD44,-0.025,9.38E-01,,,
ANKRD45,0.002,7.84E-01,,,
ANKRD46,-0.105,4.17E-01,,,
ANKRD49,-0.044,7.96E-01,,,
ANKRD50,-0.041,5.52E-01,,,
ANKRD52,0.102,2.81E-01,,,
ANKRD54,0.052,8.39E-01,,,
ANKRD57P1,0.078,9.82E-01,,,
ANKRD6,-0.038,5.46E-01,,,
ANKRD60,-0.072,5.59E-01,,,
ANKRD62,0.035,5.68E-01,,,
ANKRD65,0.074,7.66E-01,,,
ANKRD9,0.148,1.98E-01,,,
ANKS1A,0.031,6.01E-01,,,
ANKS1B,-0.103,3.49E-01,,,
ANKS3,0.106,4.41E-01,,,
ANKS4B,-0.036,7.38E-01,,,
ANKS6,0.095,2.01E-01,,,
ANKZF1,0.013,9.48E-01,,,
ANLN,0.329,1.87E-01,,,
ANO10,-0.046,2.21E-01,,,
ANO2,-0.011,8.16E-01,,,
ANO3,-0.267,2.64E-01,,,
ANO4,-0.003,9.75E-01,,,
ANO5,-0.137,3.10E-01,,,
ANO6,0.018,8.36E-01,,,
ANO8,0.098,4.30E-01,,,
ANP32A,0.004,9.00E-01,,,
ANP32A-IT1,0.032,6.35E-01,,,
ANP32B,0.126,5.83E-01,,,
ANP32C,0.056,9.60E-01,,,
ANP32E,-0.161,2.68E-01,,,
ANTXR1,0.025,7.78E-01,,,
ANTXR2,-0.013,8.10E-01,,,
ANXA1,0.071,9.80E-01,,,
ANXA11,0.076,5.11E-01,,,
ANXA2,-0.046,8.37E-01,,,
ANXA2P1,0.066,4.57E-01,,,
ANXA3,-0.101,6.39E-01,,,
ANXA4,-0.027,8.57E-01,,,
ANXA5,0.056,7.68E-01,,,
ANXA6,-0.020,8.41E-01,,,
ANXA7,-0.083,2.51E-01,,,
ANXA9,0.046,4.84E-01,,,
AOAH,-0.043,6.10E-01,,,
AOC2,0.059,5.43E-01,,,
AP1AR,-0.056,7.55E-01,,,
AP1B1,0.080,5.79E-01,,,
AP1G1,-0.081,3.47E-01,,,
AP1G2,-0.089,6.10E-01,,,
AP1M1,0.036,9.59E-01,,,
AP1S1,-0.064,7.24E-01,,,
AP1S2,-0.084,3.74E-01,,,
AP1S3,-0.012,8.70E-01,,,
AP2A1,0.156,3.36E-01,,,
AP2A2,0.083,4.86E-01,,,
AP2B1,-0.065,6.20E-01,,,
