Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
MRRF,-0.028,8.97E-01,,,
MRS2,-0.047,7.56E-01,,,
MRS2P2,-0.042,5.43E-01,,,
MRTO4,-0.004,5.70E-01,,,
MRVI1,0.013,9.05E-01,,,
MS4A10,-0.021,6.91E-01,,,
MS4A4A,-0.088,7.12E-01,,,
MS4A4E,0.294,2.17E-01,,,
MS4A6A,0.058,8.60E-01,,,
MS4A7,0.093,6.84E-01,,,
MSANTD1,0.059,7.44E-01,,,
MSANTD2,-0.014,9.82E-01,,,
MSANTD3,0.006,8.15E-01,,,
MSANTD3-TMEFF1,-0.056,6.78E-01,,,
MSANTD4,-0.080,4.08E-01,,,
MSC,0.079,8.91E-01,,,
MSH2,-0.059,5.50E-01,,,
MSH3,-0.041,2.72E-01,,,
MSH6,0.030,7.81E-01,,,
MSI1,0.106,6.08E-01,,,
MSI2,0.066,7.78E-01,,,
MSL1,-0.016,8.57E-01,,,
MSL2,-0.007,8.89E-01,,,
MSL3,-0.007,9.60E-01,,,
MSLNL,0.006,9.83E-01,,,
MSMO1,-0.023,8.86E-01,,,
MSN,-0.007,8.78E-01,,,
MSR1,-0.068,8.15E-01,,,
MSRA,-0.020,7.45E-01,,,
MSRB1,0.030,8.99E-01,,,
MSRB2,-0.042,9.01E-01,,,
MSRB3,0.077,4.98E-01,,,
MSS51,-0.062,5.30E-01,,,
MST1,0.072,6.97E-01,,,
MSTO1,0.074,5.34E-01,,,
MSX1,0.140,5.99E-01,,,
MT1A,0.030,9.11E-01,,,
MT1E,0.006,9.14E-01,,,
MT1F,0.101,8.20E-01,,,
MT1G,0.192,7.57E-01,,,
MT1H,0.108,9.30E-01,,,
MT1L,0.039,9.95E-01,,,
MT1M,-0.018,9.16E-01,,,
MT1X,0.001,9.72E-01,,,
MT2A,0.146,6.33E-01,,,
MT3,0.009,8.72E-01,,,
MTA1,0.133,2.51E-01,,,
MTA2,0.040,9.07E-01,,,
MTA3,-0.017,8.69E-01,,,
MTAP,-0.026,8.04E-01,,,
MTBP,-0.095,2.90E-01,,,
MTCH1,-0.004,9.88E-01,,,
MTCH2,-0.087,3.19E-01,,,
MTCL1,0.071,3.82E-01,,,
MTCO1P1,-0.036,7.11E-01,,,
MTCO1P2,-0.097,6.63E-01,,,
MTDH,-0.023,7.84E-01,,,
MTERF1,-0.041,8.37E-01,,,
MTERF2,-0.041,8.50E-01,,,
MTERF3,-0.022,9.42E-01,,,
MTERF4,0.026,7.10E-01,,,
MTF1,0.050,5.05E-01,,,
MTF2,-0.094,3.65E-01,,,
MTFMT,-0.011,8.65E-01,,,
MTFP1,0.017,9.81E-01,,,
MTFR1,-0.032,8.67E-01,,,
MTFR1L,0.001,7.82E-01,,,
MTG1,0.093,5.06E-01,,,
MTG2,0.022,9.12E-01,,,
MTHFD1,-0.032,7.56E-01,,,
MTHFD1L,0.030,8.67E-01,,,
MTHFD2,-0.065,7.52E-01,,,
MTHFD2L,-0.102,4.68E-01,,,
MTHFR,0.094,2.52E-01,,,
MTHFS,0.025,9.72E-01,,,
MTHFSD,0.070,3.51E-01,,,
MTIF2,0.011,9.18E-01,,,
MTIF3,-0.011,8.47E-01,,,
MTM1,-0.091,2.67E-01,,,
MTMR1,-0.013,9.15E-01,,,
MTMR10,0.119,1.85E-01,,,
MTMR11,-0.001,7.01E-01,,,
MTMR12,-0.022,9.24E-01,,,
MTMR14,0.024,9.83E-01,,,
MTMR2,-0.021,9.90E-01,,,
MTMR3,0.029,5.89E-01,,,
MTMR4,-0.015,9.55E-01,,,
MTMR6,-0.086,4.33E-01,,,
MTMR7,-0.081,3.70E-01,,,
MTMR9,-0.069,3.54E-01,,,
MTMR9LP,0.095,4.33E-01,,,
MTND1P20,0.008,8.81E-01,,,
MTND1P21,-0.004,9.68E-01,,,
MTND1P34,-0.093,2.44E-01,,,
MTND1P8,0.010,8.56E-01,,,
MTND2P12,0.017,9.50E-01,,,
MTND2P15,0.033,4.31E-01,,,
MTND2P28,0.326,5.76E-01,,,
MTND2P29,-0.038,9.26E-01,,,
MTND3P6,-0.008,9.09E-01,,,
MTND4P16,-0.009,8.47E-01,,,
MTND4P19,-0.038,8.15E-01,,,
MTND5P16,-0.069,9.55E-01,,,
MTND5P2,-0.005,9.27E-01,,,
MTND6P21,-0.079,5.89E-01,,,
MTO1,-0.003,8.62E-01,,,
MTOR,0.009,8.38E-01,,,
MTPAP,-0.075,3.98E-01,,,
MTPN,-0.080,3.82E-01,,,
MTR,-0.057,5.37E-01,,,
MTRF1,0.024,6.79E-01,,,
MTRF1L,-0.046,8.59E-01,,,
MTRNR2L4,-0.046,8.50E-01,,,
MTRNR2L5,0.003,9.86E-01,,,
MTRNR2L9,-0.019,9.89E-01,,,
MTRR,0.039,4.86E-01,,,
MTSS1,0.047,2.41E-01,,,
MTSS1L,0.301,1.72E-01,,,
MTURN,0.106,3.32E-01,,,
MTUS1,0.036,5.51E-01,,,
MTUS2,-0.045,9.01E-01,,,
MTX1,0.006,6.95E-01,,,
MTX1P1,0.000,9.90E-01,,,
MTX2,-0.016,8.12E-01,,,
MTX3,-0.096,3.36E-01,,,
MUC20,-0.007,9.81E-01,,,
MUL1,-0.015,9.83E-01,,,
MUM1,0.027,8.84E-01,,,
MUM1L1,-0.056,7.64E-01,,,
MURC,0.012,9.97E-01,,,
MUS81,0.085,3.79E-01,,,
MUSTN1,0.116,6.42E-01,,,
MUT,-0.103,2.46E-01,,,
MUTYH,0.102,4.84E-01,,,
MVB12A,0.162,2.39E-01,,,
MVB12B,0.193,1.40E-01,,,
MVD,0.124,6.19E-01,,,
MVK,0.140,4.18E-01,,,
MVP,0.099,7.39E-01,,,
MX1,0.071,7.43E-01,,,
MXD1,-0.010,6.52E-01,,,
MXD4,0.196,1.85E-01,,,
MXI1,0.029,6.30E-01,,,
MXRA7,-0.129,3.08E-01,,,
MXRA8,0.060,9.92E-01,,,
MYADM,0.072,4.75E-01,,,
MYBBP1A,0.091,6.79E-01,,,
MYBL1,-0.034,7.55E-01,,,
MYBPC1,-0.055,9.45E-01,,,
MYC,0.025,9.90E-01,,,
MYCBP,-0.063,8.93E-01,,,
MYCBP2,-0.078,4.84E-01,,,
MYCN,0.075,5.06E-01,,,
MYCT1,-0.021,9.84E-01,,,
MYD88,0.052,7.11E-01,,,
MYDGF,0.034,7.68E-01,,,
MYEF2,-0.089,4.36E-01,,,
MYEOV2,-0.037,9.32E-01,,,
MYH10,-0.073,3.76E-01,,,
MYH11,-0.130,6.58E-01,,,
MYH14,0.169,1.98E-01,,,
MYH15,-0.040,7.55E-01,,,
MYH7B,0.141,3.39E-01,,,
MYH9,0.160,2.67E-01,,,
MYL12A,-0.049,6.20E-01,,,
MYL12B,-0.036,5.10E-01,,,
MYL3,0.047,9.29E-01,,,
MYL5,-0.055,5.35E-01,,,
MYL6,-0.026,8.31E-01,,,
MYL6B,0.017,9.83E-01,,,
MYL6P4,-0.070,7.61E-01,,,
MYL9,-0.002,9.00E-01,,,
MYLIP,-0.015,9.30E-01,,,
MYLK,-0.026,9.84E-01,,,
MYLK-AS1,0.064,6.58E-01,,,
MYLK2,-0.033,6.30E-01,,,
MYLK3,-0.047,5.40E-01,,,
MYNN,-0.103,1.55E-01,,,
MYO10,0.095,3.37E-01,,,
MYO15B,0.132,3.54E-01,,,
MYO16,-0.150,1.67E-01,,,
MYO18A,0.144,1.75E-01,,,
MYO19,0.025,9.72E-01,,,
MYO1B,-0.086,3.62E-01,,,
MYO1C,0.104,4.79E-01,,,
MYO1D,0.120,2.69E-01,,,
MYO1E,0.121,4.12E-01,,,
MYO1F,0.073,6.17E-01,,,
MYO5A,-0.083,6.57E-01,,,
MYO5B,-0.064,5.39E-01,,,
MYO5C,-0.048,6.48E-01,,,
MYO6,-0.023,6.90E-01,,,
MYO7A,0.061,5.79E-01,,,
MYO9A,-0.044,7.44E-01,,,
MYO9B,0.172,2.01E-01,,,
MYOF,0.047,9.41E-01,,,
MYOM1,-0.015,9.93E-01,,,
MYOM2,0.017,9.82E-01,,,
MYOT,0.149,3.08E-01,,,
MYPOP,0.056,3.59E-01,,,
MYRF,0.275,1.67E-01,,,
MYRIP,-0.031,6.73E-01,,,
MYSM1,-0.064,3.88E-01,,,
MYT1,-0.028,7.51E-01,,,
MYT1L,-0.130,3.44E-01,,,
MYT1L-AS1,0.008,9.77E-01,,,
MZF1,0.154,2.73E-01,,,
MZT1,-0.205,2.26E-01,,,
MZT2A,0.180,5.83E-01,,,
MZT2B,0.217,4.64E-01,,,
N4BP1,-0.018,9.45E-01,,,
N4BP2,-0.093,5.79E-01,,,
N4BP2L1,-0.121,2.46E-01,,,
N4BP2L2,-0.056,3.24E-01,,,
N4BP2L2-IT2,-0.026,9.06E-01,,,
N4BP3,0.019,8.54E-01,,,
N6AMT1,-0.007,9.19E-01,,,
N6AMT2,0.009,9.52E-01,,,
NAA10,0.057,7.33E-01,,,
NAA15,0.007,9.14E-01,,,
NAA16,-0.009,8.23E-01,,,
NAA20,-0.045,5.85E-01,,,
NAA25,-0.074,3.70E-01,,,
NAA30,-0.069,5.90E-01,,,
NAA35,-0.051,3.44E-01,,,
NAA38,0.114,6.48E-01,,,
NAA40,0.024,9.22E-01,,,
NAA50,-0.041,7.68E-01,,,
NAA60,0.122,2.36E-01,,,
NAAA,-0.022,9.50E-01,,,
NAALAD2,0.035,8.24E-01,,,
NAALADL2,-0.036,8.21E-01,,,
NAB1,-0.033,6.17E-01,,,
NAB2,0.050,9.33E-01,,,
NABP1,-0.035,7.70E-01,,,
NABP2,-0.036,5.72E-01,,,
NACA,-0.020,7.49E-01,,,
NACAD,0.216,2.05E-01,,,
NACC1,0.149,2.79E-01,,,
NACC2,0.256,1.51E-01,,,
NADK,0.059,7.20E-01,,,
NADK2,-0.088,4.14E-01,,,
NADSYN1,0.084,4.72E-01,,,
NAE1,-0.052,4.48E-01,,,
NAF1,-0.002,8.74E-01,,,
NAGA,0.017,9.75E-01,,,
NAGK,0.064,4.28E-01,,,
NAGLU,0.183,2.01E-01,,,
NAGPA,0.070,8.49E-01,,,
NAGPA-AS1,0.021,9.94E-01,,,
NAIF1,-0.014,8.05E-01,,,
NAIP,-0.030,9.55E-01,,,
NALCN,-0.087,2.45E-01,,,
NAMPT,-0.165,2.53E-01,,,
NAMPTP1,-0.104,8.11E-01,,,
NANOGP4,0.142,2.08E-01,,,
NANOGP5,0.024,9.94E-01,,,
NANOS1,0.007,9.58E-01,,,
NANOS3,0.187,2.40E-01,,,
NANS,0.027,8.80E-01,,,
NAP1L1,-0.007,9.32E-01,,,
NAP1L2,-0.194,3.34E-01,,,
NAP1L3,-0.238,2.07E-01,,,
NAP1L4,-0.016,9.90E-01,,,
NAP1L5,-0.288,2.25E-01,,,
NAPA,-0.026,5.63E-01,,,
NAPB,-0.265,2.49E-01,,,
NAPEPLD,-0.044,9.07E-01,,,
NAPG,-0.071,5.76E-01,,,
NAPRT,0.182,3.56E-01,,,
NAPSB,0.019,9.94E-01,,,
NARF,-0.020,6.85E-01,,,
NARFL,0.163,3.89E-01,,,
NARS,-0.068,4.66E-01,,,
NARS2,-0.046,7.69E-01,,,
NASP,0.075,3.70E-01,,,
NAT10,-0.019,8.09E-01,,,
NAT14,0.061,8.86E-01,,,
NAT6,0.070,7.02E-01,,,
NAT8,0.041,8.31E-01,,,
NAT8L,0.122,5.47E-01,,,
NAT9,0.029,9.71E-01,,,
NATD1,0.081,3.13E-01,,,
NAV1,0.043,5.16E-01,,,
NAV2,0.109,5.03E-01,,,
NAV2-AS5,-0.011,9.06E-01,,,
NAV3,-0.042,4.59E-01,,,
NBAS,-0.017,9.29E-01,,,
NBEA,-0.098,2.99E-01,,,
NBEAL1,-0.010,9.94E-01,,,
NBEAL2,0.101,3.55E-01,,,
NBEAP1,0.079,9.51E-01,,,
NBEAP4,-0.089,4.87E-01,,,
NBL1,0.078,6.59E-01,,,
NBN,-0.078,2.12E-01,,,
NBPF1,0.091,8.05E-01,,,
NBPF10,0.049,7.48E-01,,,
NBPF11,-0.006,8.52E-01,,,
NBPF12,0.067,6.74E-01,,,
NBPF14,0.024,8.01E-01,,,
NBPF15,0.001,8.59E-01,,,
NBPF17P,-0.036,9.67E-01,,,
NBPF19,-0.010,9.57E-01,,,
NBPF20,-0.008,8.32E-01,,,
NBPF21P,-0.015,9.97E-01,,,
NBPF25P,0.088,7.68E-01,,,
NBPF26,0.017,8.93E-01,,,
NBPF2P,-0.029,9.56E-01,,,
NBPF3,-0.067,2.79E-01,,,
NBPF8,0.012,5.27E-01,,,
NBPF9,-0.004,9.13E-01,,,
NBR1,-0.035,7.16E-01,,,
NBR2,0.030,7.60E-01,,,
NCALD,-0.221,2.68E-01,,,
NCAM1,0.037,4.24E-01,,,
NCAM2,-0.011,9.42E-01,,,
NCAN,0.159,2.39E-01,,,
NCAPD2,0.042,8.01E-01,,,
NCAPD3,0.055,3.28E-01,,,
NCAPG2,-0.059,2.55E-01,,,
NCAPH2,0.113,4.86E-01,,,
NCBP1,-0.028,8.88E-01,,,
NCBP2,-0.073,3.62E-01,,,
NCBP2-AS2,0.009,6.85E-01,,,
NCDN,0.086,4.93E-01,,,
NCEH1,-0.085,9.70E-01,,,
NCF1,0.014,9.06E-01,,,
NCF2,0.067,7.59E-01,,,
NCF4,0.052,9.00E-01,,,
NCK1,-0.038,4.36E-01,,,
NCK1-AS1,0.000,8.63E-01,,,
NCK2,0.035,7.06E-01,,,
NCKAP1,-0.063,5.59E-01,,,
NCKAP1L,0.087,6.31E-01,,,
NCKAP5,0.127,2.91E-01,,,
NCKAP5L,0.190,1.55E-01,,,
NCKIPSD,0.045,7.73E-01,,,
NCL,0.027,8.89E-01,,,
NCLN,0.160,4.76E-01,,,
NCLP1,-0.001,9.28E-01,,,
NCOA1,-0.033,8.81E-01,,,
NCOA2,-0.036,5.64E-01,,,
NCOA3,-0.028,7.63E-01,,,
NCOA4,-0.011,9.59E-01,,,
NCOA5,0.073,5.84E-01,,,
NCOA6,0.088,3.70E-01,,,
NCOA7,-0.043,8.21E-01,,,
NCOR1,-0.013,9.47E-01,,,
NCOR1P2,-0.001,9.49E-01,,,
NCOR1P3,-0.012,9.86E-01,,,
NCOR2,0.233,2.68E-01,,,
NCR3LG1,-0.102,4.83E-01,,,
NCRUPAR,-0.020,9.79E-01,,,
NCS1,0.036,7.61E-01,,,
NCSTN,0.001,9.37E-01,,,
ND1,0.083,8.29E-01,,,
ND2,0.084,7.98E-01,,,
ND3,0.055,9.93E-01,,,
ND4,0.067,8.89E-01,,,
ND4L,0.082,8.71E-01,,,
ND5,0.069,9.20E-01,,,
ND6,0.105,8.86E-01,,,
NDC1,-0.093,1.55E-01,,,
NDE1,0.230,1.72E-01,,,
NDEL1,-0.027,8.05E-01,,,
NDFIP1,-0.157,2.68E-01,,,
NDFIP2,-0.120,3.38E-01,,,
NDN,0.021,8.33E-01,,,
NDNF,-0.085,6.02E-01,,,
NDNL2,0.010,9.84E-01,,,
NDOR1,0.193,1.85E-01,,,
NDP,0.022,6.91E-01,,,
NDRG1,0.091,5.11E-01,,,
NDRG2,-0.108,4.61E-01,,,
NDRG3,-0.028,9.93E-01,,,
NDRG4,-0.030,7.96E-01,,,
NDST1,0.121,2.46E-01,,,
NDST2,0.081,2.72E-01,,,
NDST3,-0.180,1.71E-01,,,
NDUFA1,-0.048,7.82E-01,,,
NDUFA10,-0.061,2.98E-01,,,
NDUFA11,0.127,5.54E-01,,,
NDUFA12,-0.021,8.66E-01,,,
NDUFA13,0.056,6.33E-01,,,
NDUFA2,0.016,9.77E-01,,,
NDUFA3,0.148,2.24E-01,,,
NDUFA3P1,-0.006,9.35E-01,,,
NDUFA4,-0.033,8.82E-01,,,
NDUFA4L2,0.099,7.59E-01,,,
NDUFA5,-0.153,2.32E-01,,,
NDUFA5P3,-0.010,8.62E-01,,,
NDUFA6,-0.026,8.17E-01,,,
NDUFA6-AS1,0.024,5.48E-01,,,
NDUFA7,-0.043,6.11E-01,,,
NDUFA8,0.013,7.94E-01,,,
NDUFA9,-0.032,8.40E-01,,,
NDUFA9P1,0.001,8.01E-01,,,
NDUFAB1,0.006,9.97E-01,,,
NDUFAF1,-0.077,3.88E-01,,,
NDUFAF2,0.024,9.64E-01,,,
NDUFAF3,0.027,8.35E-01,,,
NDUFAF4,-0.048,8.51E-01,,,
NDUFAF4P1,-0.070,4.97E-01,,,
NDUFAF4P3,-0.001,9.73E-01,,,
NDUFAF4P4,-0.060,9.00E-01,,,
NDUFAF5,-0.023,8.32E-01,,,
NDUFAF6,0.003,9.99E-01,,,
NDUFAF7,-0.070,4.22E-01,,,
NDUFB1,-0.079,7.21E-01,,,
NDUFB10,0.063,6.42E-01,,,
NDUFB11,0.075,5.00E-01,,,
NDUFB2,0.015,9.59E-01,,,
NDUFB3,-0.020,9.23E-01,,,
NDUFB4,-0.006,9.90E-01,,,
NDUFB4P2,-0.135,5.60E-01,,,
NDUFB5,-0.108,3.33E-01,,,
NDUFB6,-0.063,3.28E-01,,,
NDUFB7,0.233,3.28E-01,,,
NDUFB8,0.019,9.82E-01,,,
NDUFB8P1,0.093,3.93E-01,,,
NDUFB8P3,-0.034,7.55E-01,,,
NDUFB9,0.011,9.85E-01,,,
NDUFC1,0.022,8.86E-01,,,
NDUFC2,-0.006,8.06E-01,,,
NDUFS1,-0.055,6.75E-01,,,
NDUFS2,-0.010,9.93E-01,,,
NDUFS3,0.005,9.90E-01,,,
NDUFS4,-0.057,3.17E-01,,,
NDUFS5,-0.023,6.35E-01,,,
NDUFS5P1,-0.019,9.28E-01,,,
NDUFS6,0.063,8.21E-01,,,
NDUFS7,0.408,2.55E-01,,,
NDUFS8,0.211,3.32E-01,,,
NDUFV1,0.023,8.83E-01,,,
NDUFV2,0.000,8.43E-01,,,
NDUFV3,0.023,7.93E-01,,,
NEAT1,0.110,6.34E-01,,,
NEBL,-0.083,4.53E-01,,,
NECAB1,-0.210,3.22E-01,,,
NECAB2,-0.076,5.86E-01,,,
NECAB3,0.186,3.02E-01,,,
NECAP1,-0.058,7.96E-01,,,
NECAP1P1,0.015,8.24E-01,,,
NECAP2,0.076,6.90E-01,,,
NEDD1,0.010,9.33E-01,,,
NEDD4,-0.018,8.25E-01,,,
NEDD4L,-0.154,2.51E-01,,,
NEDD8,-0.058,4.31E-01,,,
NEDD8-MDP1,-0.061,8.21E-01,,,
NEDD9,-0.038,8.50E-01,,,
NEFH,0.098,7.18E-01,,,
NEFL,-0.154,5.78E-01,,,
NEFM,-0.149,7.70E-01,,,
NEGR1,-0.177,3.38E-01,,,
NEIL1,0.058,7.06E-01,,,
NEIL2,-0.006,8.79E-01,,,
NEK1,-0.044,6.10E-01,,,
NEK10,-0.146,2.08E-01,,,
NEK11,-0.072,3.23E-01,,,
NEK2,-0.056,4.76E-01,,,
NEK3,0.032,9.72E-01,,,
NEK4,-0.015,9.43E-01,,,
NEK5,0.050,6.41E-01,,,
NEK6,0.114,5.22E-01,,,
NEK7,0.040,8.65E-01,,,
NEK8,0.014,8.49E-01,,,
NEK9,-0.002,8.63E-01,,,
NELFA,0.191,1.64E-01,,,
NELFB,0.101,6.03E-01,,,
NELFCD,0.007,8.92E-01,,,
NELFE,0.111,6.79E-01,,,
NELL1,-0.114,3.67E-01,,,
NELL2,-0.218,3.35E-01,,,
NEMF,-0.021,8.75E-01,,,
NENF,0.018,9.79E-01,,,
NEO1,0.033,4.94E-01,,,
NES,0.114,6.33E-01,,,
NET1,0.038,8.60E-01,,,
NETO1,-0.172,2.67E-01,,,
NETO2,-0.073,5.29E-01,,,
NEU1,-0.040,8.22E-01,,,
NEU3,-0.072,3.82E-01,,,
NEURL1,0.068,7.61E-01,,,
NEURL1B,-0.040,9.50E-01,,,
NEURL2,0.127,3.86E-01,,,
NEURL4,0.058,4.86E-01,,,
NEUROD1,-0.116,6.33E-01,,,
NEUROD2,0.124,2.99E-01,,,
NEUROD6,-0.154,2.72E-01,,,
NEXN,-0.041,7.60E-01,,,
NEXN-AS1,-0.059,9.32E-01,,,
NF1,-0.056,3.40E-01,,,
NF2,0.050,2.34E-01,,,
NFASC,0.132,2.36E-01,,,
NFAT5,0.022,8.66E-01,,,
NFATC1,0.140,3.63E-01,,,
NFATC2,0.102,3.09E-01,,,
NFATC2IP,-0.078,2.17E-01,,,
NFATC3,0.047,4.85E-01,,,
NFATC4,0.082,4.49E-01,,,
NFE2L1,0.010,8.01E-01,,,
NFE2L2,-0.020,9.66E-01,,,
NFE2L3,-0.004,7.70E-01,,,
NFE2L3P2,0.016,6.35E-01,,,
NFIA,0.047,7.33E-01,,,
NFIB,-0.031,9.70E-01,,,
NFIC,0.268,1.55E-01,,,
NFIL3,-0.002,9.04E-01,,,
NFIX,0.151,2.34E-01,,,
NFKB1,0.007,9.78E-01,,,
NFKB2,0.081,7.23E-01,,,
NFKBIA,0.048,5.11E-01,,,
NFKBIB,0.073,4.34E-01,,,
NFKBID,0.029,8.59E-01,,,
NFKBIE,0.020,9.91E-01,,,
NFKBIL1,0.070,8.59E-01,,,
NFKBIZ,-0.073,6.30E-01,,,
NFRKB,0.048,8.61E-01,,,
NFS1,-0.033,6.85E-01,,,
NFU1,-0.041,6.24E-01,,,
NFX1,-0.031,6.46E-01,,,
NFXL1,-0.046,5.22E-01,,,
NFYA,0.002,9.76E-01,,,
NFYB,-0.093,3.23E-01,,,
NFYC,0.038,7.62E-01,,,
NFYC-AS1,0.019,8.69E-01,,,
NGB,0.076,3.23E-01,,,
NGDN,-0.029,5.55E-01,,,
NGEF,-0.033,7.38E-01,,,
NGFR,0.111,2.79E-01,,,
NGFRAP1,-0.024,7.86E-01,,,
NGLY1,0.025,4.93E-01,,,
NGRN,-0.053,7.35E-01,,,
NHEJ1,0.116,1.85E-01,,,
NHLH2,0.041,7.88E-01,,,
NHLRC1,0.001,8.63E-01,,,
NHLRC2,-0.086,3.62E-01,,,
NHLRC3,-0.118,2.53E-01,,,
NHP2,0.029,9.59E-01,,,
NHP2L1,-0.028,7.72E-01,,,
NHP2P1,0.072,4.32E-01,,,
NHS,0.022,8.99E-01,,,
NHSL1,0.179,3.02E-01,,,
NHSL2,-0.090,4.95E-01,,,
NICN1,-0.004,9.28E-01,,,
NID1,-0.069,7.09E-01,,,
NID2,-0.022,5.32E-01,,,
NIF3L1,0.006,8.51E-01,,,
NIFK,-0.005,4.10E-01,,,
NIFK-AS1,0.032,8.89E-01,,,
NIFKP4,-0.116,3.67E-01,,,
NIFKP5,-0.014,9.52E-01,,,
NIM1K,-0.006,6.87E-01,,,
NIN,-0.001,8.71E-01,,,
NINJ1,0.203,1.40E-01,,,
NINJ2,0.233,3.02E-01,,,
NINL,0.041,4.66E-01,,,
NIP7,0.019,7.81E-01,,,
NIP7P3,0.049,6.91E-01,,,
NIPA1,0.045,5.58E-01,,,
NIPA2,-0.043,6.24E-01,,,
NIPAL2,-0.149,5.09E-01,,,
NIPAL3,0.045,3.46E-01,,,
NIPAL4,0.127,3.54E-01,,,
NIPBL,0.018,6.76E-01,,,
NIPBL-AS1,-0.060,4.70E-01,,,
NIPSNAP1,-0.095,3.77E-01,,,
NIPSNAP3A,-0.048,6.30E-01,,,
NIPSNAP3B,-0.086,4.65E-01,,,
NISCH,0.089,2.94E-01,,,
NIT1,-0.020,6.86E-01,,,
NIT2,-0.045,3.82E-01,,,
NKAIN1,0.086,4.49E-01,,,
NKAIN2,-0.002,9.90E-01,,,
NKAIN3,-0.176,2.39E-01,,,
NKAIN4,0.110,9.47E-01,,,
NKAP,0.010,9.41E-01,,,
NKAPL,-0.054,9.87E-01,,,
NKAPP1,-0.046,7.55E-01,,,
NKD1,0.165,2.20E-01,,,
NKIRAS1,-0.041,8.27E-01,,,
NKIRAS2,0.023,9.75E-01,,,
NKRF,-0.100,4.45E-01,,,
NKTR,-0.040,6.94E-01,,,
NKX2-2,0.115,3.42E-01,,,
NKX6-2,0.390,2.01E-01,,,
NLE1,-0.003,7.02E-01,,,
NLGN1,-0.067,4.87E-01,,,
NLGN1-AS1,-0.051,9.98E-01,,,
NLGN2,0.190,2.01E-01,,,
NLGN3,0.019,8.89E-01,,,
NLGN4X,-0.067,4.87E-01,,,
NLGN4Y,-0.328,7.81E-01,,,
NLK,-0.097,4.03E-01,,,
NLN,-0.068,4.93E-01,,,
NLRC3,0.026,7.98E-01,,,
NLRC5,0.107,5.59E-01,,,
NLRP1,0.051,6.21E-01,,,
NLRP12,-0.007,7.50E-01,,,
NLRP2,0.024,9.42E-01,,,
NLRP3,0.014,9.66E-01,,,
NLRX1,0.089,2.53E-01,,,
NMB,0.102,9.90E-01,,,
NMD3,-0.089,2.81E-01,,,
NME1,-0.047,5.77E-01,,,
NME1-NME2,0.162,6.17E-01,,,
NME2,-0.030,6.85E-01,,,
NME3,0.231,3.85E-01,,,
NME4,0.147,2.26E-01,,,
NME5,-0.113,3.16E-01,,,
NME6,0.016,7.88E-01,,,
NME7,-0.065,4.90E-01,,,
NME9,-0.034,8.65E-01,,,
NMI,0.011,9.41E-01,,,
NMNAT1,0.018,7.21E-01,,,
NMNAT2,-0.233,2.17E-01,,,
NMNAT3,0.051,6.17E-01,,,
NMRAL1,0.076,7.59E-01,,,
NMRK1,0.011,9.03E-01,,,
NMT1,-0.016,9.84E-01,,,
NMT2,-0.076,2.72E-01,,,
NMUR2,0.094,3.82E-01,,,
NNAT,0.076,9.85E-01,,,
NNMT,-0.038,6.57E-01,,,
NNT,-0.072,4.63E-01,,,
NNT-AS1,-0.068,8.04E-01,,,
NOA1,0.032,8.40E-01,,,
NOB1,0.092,4.33E-01,,,
NOC2L,0.061,6.44E-01,,,
NOC3L,0.009,9.89E-01,,,
NOC4L,0.144,4.34E-01,,,
NOD1,0.048,7.63E-01,,,
NOL10,0.041,9.04E-01,,,
NOL11,-0.010,8.09E-01,,,
NOL12,0.058,4.78E-01,,,
NOL3,0.045,5.53E-01,,,
NOL4,-0.144,1.87E-01,,,
NOL4L,0.087,4.65E-01,,,
NOL6,0.052,7.46E-01,,,
NOL7,-0.002,9.96E-01,,,
NOL8,-0.008,9.99E-01,,,
NOL9,0.006,9.96E-01,,,
NOLC1,-0.045,5.96E-01,,,
NOM1,0.009,9.88E-01,,,
NOMO1,-0.029,8.02E-01,,,
NOMO2,-0.011,9.28E-01,,,
NOMO3,0.080,9.23E-01,,,
NONO,-0.025,5.90E-01,,,
NONOP2,-0.042,7.30E-01,,,
NOP10,-0.017,8.51E-01,,,
NOP14,0.019,9.81E-01,,,
NOP14-AS1,0.047,8.52E-01,,,
NOP16,0.022,9.45E-01,,,
NOP2,0.099,3.41E-01,,,
NOP56,0.000,5.34E-01,,,
NOP56P2,-0.040,8.72E-01,,,
NOP58,-0.124,2.81E-01,,,
NOP9,-0.013,7.95E-01,,,
NOS1,0.014,9.49E-01,,,
NOS1AP,-0.046,8.19E-01,,,
NOS2,0.007,9.41E-01,,,
NOS3,0.027,8.30E-01,,,
NOSIP,0.180,2.08E-01,,,
NOSTRIN,-0.075,2.72E-01,,,
NOTCH1,0.242,2.47E-01,,,
NOTCH2,0.091,5.26E-01,,,
NOTCH2NL,-0.070,6.81E-01,,,
NOTCH3,0.289,3.17E-01,,,
NOTCH4,0.055,7.85E-01,,,
NOV,-0.085,3.18E-01,,,
NOVA1,-0.144,2.17E-01,,,
NOVA2,0.204,2.40E-01,,,
NOX4,-0.154,1.47E-01,,,
NOXA1,0.164,6.61E-01,,,
NPAP1,-0.016,9.31E-01,,,
NPAP1P8,0.095,3.13E-01,,,
NPAS1,0.129,4.80E-01,,,
NPAS2,0.036,9.93E-01,,,
