gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000155016,CYP2U1,0.456341705,4.755173586,5.017678346,2.33E-05,0.001446032,2.455103393,0.090946783,4,39
ENSG00000172476,RAB40A,-0.630555559,1.318487751,-5.016181698,2.33E-05,0.001446032,2.68702518,0.12570429,X,39
ENSG00000103449,SALL1,0.713263113,4.931854738,5.015644917,2.35E-05,0.001453665,2.451345186,0.142207657,16,39
ENSG00000102109,PCSK1N,-0.76449322,7.05993103,-5.011206936,2.38E-05,0.001466563,2.450047363,0.152556705,X,39
ENSG00000115825,PRKD3,0.295041182,5.338111907,5.006009878,2.40E-05,0.001471929,2.47235161,0.058937395,2,39
ENSG00000164188,RANBP3L,0.609153502,6.664831138,5.006062393,2.41E-05,0.001472136,2.422254493,0.121683162,5,39
ENSG00000196139,AKR1C3,0.754938607,3.503105338,5.006039638,2.41E-05,0.001472136,2.555098871,0.150805559,10,39
ENSG00000196932,TMEM26,1.283309416,0.464620698,4.998588309,2.47E-05,0.00149784,2.615927154,0.256734369,10,39
ENSG00000162889,MAPKAPK2,0.899000035,4.796085623,4.989825953,2.53E-05,0.001529608,2.386230396,0.180166612,1,39
ENSG00000168172,HOOK3,-0.234478093,7.39802498,-4.981020967,2.57E-05,0.001551012,2.392642384,0.047074304,8,39
ENSG00000185495,AC138393.1,-0.753851038,2.762640935,-4.981638795,2.58E-05,0.001553642,2.499971199,0.151325913,1,39
ENSG00000177888,ZBTB41,0.303928181,6.722425495,4.977927038,2.59E-05,0.001553642,2.350551943,0.06105517,1,39
ENSG00000269699,ZIM2,-0.881448638,2.808493275,-4.979029251,2.60E-05,0.001554672,2.505010167,0.177032227,19,39
ENSG00000174348,PODN,0.798878565,2.487246125,4.977421064,2.62E-05,0.001556293,2.564893837,0.160500499,1,39
ENSG00000103034,NDRG4,-0.444120158,8.503869817,-4.969085311,2.66E-05,0.00156924,2.428046413,0.089376642,16,39
ENSG00000197457,STMN3,-0.48261612,7.760184544,-4.969990794,2.66E-05,0.00156924,2.369181262,0.097106039,20,39
ENSG00000127252,HRASLS,-0.81441879,1.515289658,-4.970151499,2.66E-05,0.00156924,2.560228629,0.163861965,3,39
ENSG00000064961,HMG20B,0.62444413,4.07021775,4.967954413,2.69E-05,0.001576296,2.38952064,0.125694416,19,39
ENSG00000179832,MROH1,-0.529140231,6.006778814,-4.963899946,2.71E-05,0.001587849,2.358928366,0.106597683,8,39
ENSG00000169169,CPT1C,-0.549942984,4.750316091,-4.953690272,2.79E-05,0.001621385,2.307065862,0.111016829,19,39
ENSG00000165238,WNK2,-0.490910381,6.873068234,-4.952791289,2.80E-05,0.001621385,2.291170159,0.099117922,9,39
ENSG00000172935,MRGPRF,1.519585649,1.117672579,4.953034268,2.80E-05,0.001621385,2.509992663,0.306798937,11,39
ENSG00000130309,COLGALT1,0.407924643,4.549524637,4.935778752,2.92E-05,0.001683909,2.271445013,0.08264646,19,39
ENSG00000221946,FXYD7,-0.660142988,3.222285582,-4.936960376,2.93E-05,0.001684603,2.401527882,0.133714459,19,39
ENSG00000162367,TAL1,0.730430455,2.796992159,4.928180314,3.00E-05,0.001720728,2.407663298,0.148215043,1,39
ENSG00000131650,KREMEN2,-0.734985558,0.899841869,-4.922803181,3.03E-05,0.001728849,2.443502046,0.149302243,16,39
ENSG00000049323,LTBP1,0.607354474,4.537153585,4.923218854,3.04E-05,0.001733244,2.233979285,0.123365321,2,39
ENSG00000188517,COL25A1,-0.839337887,1.936854781,-4.920586999,3.07E-05,0.001740299,2.403172593,0.17057678,4,39
ENSG00000188783,PRELP,0.835536544,4.464678762,4.917774389,3.09E-05,0.001748284,2.237949354,0.169901357,1,39
ENSG00000141639,MAPK4,0.786490568,7.043831097,4.9135275,3.13E-05,0.001761885,2.187390764,0.160066382,18,39
ENSG00000198113,TOR4A,0.752354386,2.170572045,4.912663874,3.13E-05,0.001761885,2.382167745,0.153145911,9,39
ENSG00000268750,AC010522.1,-0.994622876,0.066664512,-4.90517355,3.19E-05,0.001781221,2.355715226,0.20277017,19,39
ENSG00000146147,MLIP,-0.586574966,5.069307562,-4.906435798,3.19E-05,0.001781221,2.195561753,0.119552154,6,39
ENSG00000138028,CGREF1,-0.593536365,4.196749519,-4.904339692,3.21E-05,0.001784533,2.216773556,0.121022686,2,39
ENSG00000058799,YIPF1,0.408205772,3.225432857,4.900074909,3.22E-05,0.001784533,2.306271727,0.083306027,1,39
ENSG00000177045,SIX5,0.938962432,2.097682971,4.902314515,3.23E-05,0.001784533,2.358403487,0.191534515,19,39
ENSG00000000460,C1orf112,0.405395428,1.908470908,4.890600993,3.31E-05,0.001820182,2.352423857,0.082892763,1,39
ENSG00000187695,NA,-0.747487111,0.36172874,-4.890486757,3.31E-05,0.001820182,2.326265025,0.152845135,NA,39
ENSG00000151366,NDUFC2,-0.373461961,5.614874216,-4.889162756,3.32E-05,0.001821138,2.096916142,0.076385668,11,39
ENSG00000214922,HLA-F-AS1,0.926212237,0.610223834,4.887695519,3.35E-05,0.001822037,2.335957926,0.189498759,6,39
ENSG00000125352,RNF113A,-0.373571266,2.209600029,-4.886724748,3.35E-05,0.001822037,2.324186171,0.076446144,X,39
ENSG00000139625,MAP3K12,-0.368950377,5.390682423,-4.88163461,3.40E-05,0.001842364,2.095819935,0.075579269,12,39
ENSG00000253304,TMEM200B,1.028507714,0.492785535,4.880640639,3.43E-05,0.001852655,2.319021544,0.210732113,1,39
ENSG00000137693,YAP1,0.895126141,6.114342127,4.879851146,3.44E-05,0.001852655,2.05353942,0.183433083,11,39
ENSG00000123200,ZC3H13,-0.423787637,7.057055936,-4.876259087,3.45E-05,0.001853901,2.091265214,0.086908351,13,39
ENSG00000151702,FLI1,0.95417049,3.53547603,4.875822547,3.47E-05,0.001861993,2.183314712,0.195694261,11,39
ENSG00000176928,GCNT4,-0.508058392,3.524234703,-4.871383431,3.49E-05,0.001866627,2.227165927,0.104294478,5,39
ENSG00000119630,PGF,0.883999018,1.21380643,4.871769061,3.51E-05,0.001870076,2.307869539,0.181453391,14,39
ENSG00000150907,FOXO1,0.699907641,5.150843009,4.87080357,3.52E-05,0.001870861,2.049664803,0.143694491,13,39
ENSG00000153404,PLEKHG4B,1.360038175,0.472270136,4.869547448,3.54E-05,0.00187168,2.255039627,0.279294573,5,39
