Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
ABHD4,0.41,6.2,1.5E-03,4.5E-03,1,0.03
ABHD5,0.44,4.1,3.8E-03,1.0E-02,1,0.03
ABHD6,-0.13,6.0,3.0E-01,4.0E-01,0,0.00
ABHD8,-0.38,5.9,8.8E-03,2.1E-02,0,0.02
ABI1,-0.27,6.3,6.9E-03,1.7E-02,0,0.02
ABI2,-0.45,7.4,1.7E-06,1.2E-05,0,0.07
ABI3,0.48,3.9,4.6E-03,1.2E-02,1,0.03
ABI3BP,0.92,4.3,2.3E-03,6.5E-03,1,0.07
ABL1,0.24,7.4,1.3E-02,2.9E-02,1,0.01
ABL2,-0.05,5.7,6.1E-01,7.0E-01,0,0.00
ABLIM1,0.18,8.1,1.2E-01,1.9E-01,1,0.00
ABLIM2,-0.81,5.1,2.5E-10,4.8E-09,0,0.22
ABLIM3,-0.07,6.1,5.3E-01,6.3E-01,0,0.00
ABR,-0.42,9.1,1.2E-06,8.5E-06,0,0.07
ABRACL,-0.83,3.3,1.0E-07,9.5E-07,0,0.17
ABT1,0.05,4.3,6.9E-01,7.6E-01,1,0.00
ABTB1,0.19,6.4,5.5E-02,1.0E-01,1,0.01
ABTB2,0.40,5.2,3.8E-02,7.3E-02,1,0.02
AC002472.13,0.74,-0.2,9.0E-02,1.5E-01,1,0.02
AC004381.6,-0.92,1.2,5.0E-04,1.8E-03,0,0.08
AC005003.1,-0.76,1.5,1.5E-03,4.6E-03,0,0.06
AC006547.14,-0.50,-0.1,1.8E-01,2.6E-01,0,0.01
AC006946.15,-0.97,0.7,3.4E-04,1.2E-03,0,0.09
AC007375.1,-1.03,0.0,7.5E-04,2.5E-03,0,0.09
AC007390.5,-0.64,5.1,3.0E-11,7.5E-10,0,0.20
AC008060.7,0.71,1.5,2.0E-01,2.9E-01,1,0.01
AC009403.2,0.36,1.0,7.5E-02,1.3E-01,1,0.01
AC010536.1,-0.27,0.1,3.2E-01,4.2E-01,0,0.00
AC016722.2,-1.01,-0.2,2.7E-03,7.7E-03,0,0.07
AC016757.3,0.26,2.6,1.4E-01,2.2E-01,1,0.01
AC018755.1,0.06,1.5,8.2E-01,8.7E-01,1,0.00
AC019206.1,-0.72,-0.6,1.2E-01,2.0E-01,0,0.02
AC020907.1,0.86,1.1,3.3E-03,9.1E-03,1,0.06
AC021860.1,0.88,-0.4,3.3E-02,6.5E-02,1,0.03
AC027307.3,-0.60,0.3,8.8E-03,2.1E-02,0,0.03
AC027763.2,0.10,2.9,5.2E-01,6.1E-01,1,0.00
AC069547.1,-0.73,-0.2,4.5E-02,8.5E-02,0,0.03
AC073343.1,-1.19,1.6,5.2E-07,4.2E-06,0,0.21
AC079354.1,-0.04,1.8,8.7E-01,9.0E-01,0,0.00
AC096677.1,0.84,0.4,1.1E-02,2.6E-02,1,0.04
AC104809.3,0.32,-0.3,5.8E-01,6.7E-01,1,0.00
AC105020.1,1.08,-0.2,1.7E-03,5.0E-03,1,0.08
AC110619.2,-0.18,1.0,4.4E-01,5.5E-01,0,0.00
AC110771.1,-0.41,-0.3,2.2E-01,3.1E-01,0,0.01
AC117395.1,0.56,1.1,1.7E-02,3.6E-02,1,0.03
AC124890.1,0.06,-0.6,1.0E+00,1.0E+00,1,0.00
AC127496.1,0.72,0.6,8.0E-03,1.9E-02,1,0.04
AC131097.4,-0.21,1.0,4.5E-01,5.5E-01,0,0.00
AC132192.1,0.96,-0.2,1.2E-02,2.6E-02,1,0.05
AC135178.1,0.66,2.1,7.8E-05,3.5E-04,1,0.08
AC137932.1,0.11,-0.2,7.6E-01,8.2E-01,1,0.00
AC139100.2,0.30,1.8,3.8E-01,4.8E-01,1,0.00
AC226150.4,-0.44,0.0,1.0E-01,1.7E-01,0,0.01
ACAA1,-0.21,6.0,2.0E-02,4.3E-02,0,0.01
ACAA2,0.03,5.9,7.9E-01,8.4E-01,1,0.00
ACACA,-0.20,6.9,5.5E-02,9.9E-02,0,0.01
ACACB,0.38,6.0,3.3E-03,9.1E-03,1,0.03
ACAD10,-0.36,4.3,3.2E-03,8.9E-03,0,0.02
ACAD8,-0.32,5.0,6.5E-04,2.2E-03,0,0.03
ACAD9,-0.50,4.9,5.4E-06,3.4E-05,0,0.07
ACADL,0.26,2.1,2.5E-01,3.5E-01,1,0.00
ACADM,-0.10,5.7,2.5E-01,3.4E-01,0,0.00
ACADS,-0.31,4.5,1.1E-01,1.8E-01,0,0.01
ACADSB,-0.60,5.0,2.7E-06,1.8E-05,0,0.10
ACADVL,0.29,8.0,8.1E-03,2.0E-02,1,0.02
ACAN,2.17,3.9,4.2E-06,2.7E-05,1,0.33
ACAP1,0.33,3.2,3.9E-02,7.4E-02,1,0.01
ACAP2,0.14,5.2,2.0E-01,2.9E-01,1,0.00
ACAP3,-0.07,7.1,5.6E-01,6.5E-01,0,0.00
ACAT1,-0.19,6.0,4.4E-02,8.2E-02,0,0.01
ACAT2,-0.46,5.0,1.2E-04,5.2E-04,0,0.05
ACBD3,0.12,4.9,2.0E-01,2.9E-01,1,0.00
ACBD4,-0.07,4.4,5.5E-01,6.5E-01,0,0.00
ACBD5,0.31,6.8,4.6E-04,1.6E-03,1,0.03
ACBD6,-0.34,4.4,3.9E-03,1.0E-02,0,0.02
ACBD7,-1.08,4.5,1.4E-06,1.0E-05,0,0.18
ACCS,-0.31,2.3,1.7E-01,2.6E-01,0,0.01
ACD,-0.05,4.5,5.7E-01,6.7E-01,0,0.00
ACE,-1.09,2.0,3.2E-08,3.5E-07,0,0.23
ACER2,0.79,3.2,7.5E-04,2.5E-03,1,0.07
ACER3,0.45,6.2,1.7E-04,6.8E-04,1,0.05
ACHE,-0.80,4.1,3.8E-07,3.2E-06,0,0.15
ACIN1,0.39,7.1,1.1E-05,6.1E-05,1,0.05
ACKR2,-0.19,0.6,4.4E-01,5.4E-01,0,0.00
ACKR3,0.35,4.6,3.3E-02,6.4E-02,1,0.01
ACLY,-0.27,6.9,5.0E-03,1.3E-02,0,0.02
ACN9,-0.10,3.1,4.7E-01,5.7E-01,0,0.00
ACO1,-0.01,5.5,9.5E-01,9.7E-01,0,0.00
ACO2,-0.72,7.8,1.8E-12,7.0E-11,0,0.24
ACOT1,-0.74,2.1,4.4E-03,1.2E-02,0,0.05
ACOT11,-0.28,2.7,1.5E-01,2.3E-01,0,0.01
ACOT13,-0.39,5.0,4.1E-06,2.6E-05,0,0.06
ACOT2,-0.33,3.4,3.7E-02,7.1E-02,0,0.01
ACOT4,-1.55,1.3,9.2E-15,8.1E-13,0,0.52
ACOT7,-1.34,6.5,1.9E-16,3.6E-14,0,0.45
ACOT8,-0.29,5.2,3.5E-03,9.6E-03,0,0.02
ACOX1,-0.25,6.1,1.1E-03,3.4E-03,0,0.02
ACOX2,0.32,3.1,7.5E-02,1.3E-01,1,0.01
ACOX3,-0.14,3.8,2.5E-01,3.5E-01,0,0.00
ACP1,-0.43,5.8,1.9E-06,1.4E-05,0,0.07
ACP2,-0.96,5.0,1.8E-08,2.1E-07,0,0.21
ACP5,0.80,2.1,8.6E-03,2.1E-02,1,0.04
ACP6,0.14,3.4,4.7E-01,5.7E-01,1,0.00
ACPL2,0.10,4.4,4.5E-01,5.5E-01,1,0.00
ACPP,0.37,-0.2,4.2E-01,5.2E-01,1,0.00
ACRBP,0.04,0.7,9.1E-01,9.4E-01,1,0.00
ACSBG1,-0.90,6.1,2.6E-05,1.3E-04,0,0.12
ACSF2,-0.02,4.5,8.7E-01,9.1E-01,0,0.00
ACSF3,-0.13,4.3,2.3E-01,3.2E-01,0,0.00
ACSL1,0.45,7.1,1.2E-04,5.3E-04,1,0.05
ACSL3,-0.44,6.9,2.6E-08,2.9E-07,0,0.10
ACSL5,0.67,5.6,3.5E-04,1.3E-03,1,0.06
ACSL6,-1.34,6.0,5.4E-19,3.8E-16,0,0.45
ACSM5,-0.26,3.5,2.0E-01,2.9E-01,0,0.00
ACSS1,-0.15,7.1,2.5E-01,3.5E-01,0,0.00
ACSS2,-0.05,5.5,5.3E-01,6.3E-01,0,0.00
ACSS3,0.22,5.1,2.6E-01,3.5E-01,1,0.00
ACTA1,0.17,0.4,6.3E-01,7.2E-01,1,0.00
ACTA2,1.65,7.5,2.8E-03,7.9E-03,1,0.12
ACTB,-0.40,11.3,2.4E-03,6.9E-03,0,0.03
ACTC1,1.39,2.8,2.5E-02,5.1E-02,1,0.06
ACTG1,-0.62,10.2,4.0E-09,5.6E-08,0,0.15
ACTG2,1.21,4.3,7.7E-02,1.3E-01,1,0.04
ACTL6A,0.68,4.7,7.0E-11,1.6E-09,1,0.20
ACTL6B,-1.59,4.4,1.2E-09,2.0E-08,0,0.41
ACTN1,0.51,7.2,2.6E-02,5.4E-02,1,0.02
ACTN2,-1.03,4.9,4.1E-10,7.5E-09,0,0.28
ACTN4,0.62,8.6,1.4E-05,7.5E-05,1,0.08
ACTR10,-0.72,5.8,1.8E-12,6.9E-11,0,0.24
ACTR1A,-0.39,8.0,9.8E-08,9.4E-07,0,0.08
ACTR1B,-0.35,6.9,1.8E-03,5.3E-03,0,0.03
ACTR2,-0.31,7.4,1.8E-03,5.3E-03,0,0.02
ACTR3,-0.03,7.0,7.5E-01,8.1E-01,0,0.00
ACTR3B,-1.06,4.9,5.0E-10,9.0E-09,0,0.28
