Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
KIAA2018,0.21,4.8,1.0E-01,1.7E-01,1,0.01
KIAA2026,0.44,6.0,1.1E-04,4.8E-04,1,0.05
KIDINS220,0.14,7.7,2.6E-01,3.6E-01,1,0.00
KIF11,-0.35,0.8,1.3E-01,2.1E-01,0,0.01
KIF12,-1.66,0.9,2.4E-07,2.1E-06,0,0.31
KIF13A,0.46,6.7,2.3E-04,8.9E-04,1,0.05
KIF13B,0.23,7.1,1.2E-01,1.9E-01,1,0.01
KIF15,0.32,1.1,6.1E-02,1.1E-01,1,0.01
KIF16B,0.17,4.7,1.1E-01,1.8E-01,1,0.00
KIF17,-1.04,3.7,2.7E-15,3.0E-13,0,0.35
KIF18B,0.34,-0.2,3.6E-01,4.6E-01,1,0.00
KIF19,0.23,5.7,4.0E-01,5.1E-01,1,0.00
KIF1A,-0.25,10.5,2.8E-02,5.7E-02,0,0.01
KIF1B,-0.02,9.4,8.7E-01,9.1E-01,0,0.00
KIF1C,1.12,10.3,1.2E-11,3.5E-10,1,0.35
KIF20B,-0.33,1.4,1.4E-01,2.1E-01,0,0.01
KIF21A,-0.37,6.7,3.5E-03,9.5E-03,0,0.02
KIF21B,-0.85,6.4,4.0E-09,5.6E-08,0,0.21
KIF22,-0.50,4.7,1.2E-06,8.9E-06,0,0.08
KIF23,0.50,-0.2,1.8E-01,2.6E-01,1,0.01
KIF24,-0.55,1.4,8.1E-02,1.4E-01,0,0.02
KIF25,-0.06,1.4,8.8E-01,9.2E-01,0,0.00
KIF26A,0.85,2.9,6.3E-05,2.9E-04,1,0.10
KIF26B,-0.15,4.3,3.1E-01,4.1E-01,0,0.00
KIF27,0.82,2.2,1.8E-06,1.2E-05,1,0.13
KIF2A,-0.06,6.1,5.5E-01,6.4E-01,0,0.00
KIF2C,-0.29,0.0,1.9E-01,2.8E-01,0,0.01
KIF3A,-0.71,6.3,5.6E-10,9.9E-09,0,0.19
KIF3B,-0.10,7.2,3.0E-01,4.0E-01,0,0.00
KIF3C,-0.69,7.6,2.7E-06,1.8E-05,0,0.11
KIF5A,0.50,11.3,1.2E-02,2.7E-02,1,0.03
KIF5B,0.60,8.7,9.2E-07,6.9E-06,1,0.10
KIF5C,0.14,9.6,3.1E-01,4.1E-01,1,0.00
KIF6,0.17,4.3,2.6E-01,3.5E-01,1,0.00
KIF7,0.24,3.4,9.0E-02,1.5E-01,1,0.01
KIF9,-0.13,2.8,4.3E-01,5.3E-01,0,0.00
KIFAP3,-0.99,6.6,4.0E-18,1.8E-15,0,0.33
KIFC1,0.80,-0.2,9.1E-03,2.2E-02,1,0.04
KIFC2,-0.86,6.1,5.0E-11,1.2E-09,0,0.26
KIFC3,0.29,6.0,5.6E-04,1.9E-03,1,0.03
KIN,-0.08,3.4,4.6E-01,5.6E-01,0,0.00
KIRREL,0.95,4.6,1.3E-04,5.4E-04,1,0.10
KIRREL2,-1.12,0.5,1.8E-04,7.3E-04,0,0.12
KIRREL3,-0.06,5.7,5.6E-01,6.5E-01,0,0.00
KIT,-0.84,5.7,2.9E-04,1.1E-03,0,0.08
KITLG,0.68,4.4,9.5E-04,3.1E-03,1,0.06
KL,-0.19,2.5,3.7E-01,4.7E-01,0,0.00
KLB,-0.59,-0.1,5.3E-02,9.6E-02,0,0.02
KLC1,-0.56,6.7,3.5E-08,3.7E-07,0,0.12
KLC2,-0.68,6.7,1.4E-08,1.7E-07,0,0.15
KLC4,0.05,5.5,6.1E-01,7.0E-01,1,0.00
KLF10,0.33,4.3,2.6E-02,5.2E-02,1,0.01
KLF11,0.64,3.7,4.0E-04,1.5E-03,1,0.06
KLF12,0.05,4.6,7.5E-01,8.2E-01,1,0.00
KLF13,0.09,8.1,3.7E-01,4.7E-01,1,0.00
KLF15,0.81,6.4,8.1E-07,6.2E-06,1,0.14
KLF16,-0.33,5.5,1.3E-02,2.9E-02,0,0.02
KLF2,1.12,4.8,9.7E-06,5.6E-05,1,0.16
KLF3,0.52,6.0,9.9E-06,5.7E-05,1,0.07
KLF4,0.83,4.2,6.7E-04,2.3E-03,1,0.07
KLF5,0.59,1.4,1.3E-02,3.0E-02,1,0.03
KLF6,0.82,6.2,5.8E-13,2.7E-11,1,0.27
KLF7,0.42,5.5,3.6E-04,1.3E-03,1,0.04
KLF9,0.27,6.7,2.9E-02,5.8E-02,1,0.01
KLHDC1,-0.03,2.2,8.3E-01,8.8E-01,0,0.00
KLHDC10,-0.21,6.2,7.8E-03,1.9E-02,0,0.01
KLHDC2,-0.19,5.7,4.3E-02,8.1E-02,0,0.01
KLHDC3,-0.38,7.8,2.5E-05,1.3E-04,0,0.05
KLHDC4,-0.39,3.9,1.5E-03,4.5E-03,0,0.03
KLHDC8A,-0.93,3.6,9.5E-07,7.2E-06,0,0.16
KLHDC8B,0.28,4.9,7.2E-03,1.8E-02,1,0.02
KLHDC9,-0.52,3.8,1.8E-04,7.1E-04,0,0.05
KLHL1,-0.84,0.3,2.1E-02,4.3E-02,0,0.04
KLHL11,-0.29,2.3,1.3E-01,2.0E-01,0,0.01
KLHL12,-0.21,5.5,2.7E-02,5.6E-02,0,0.01
KLHL14,-0.83,-0.6,4.6E-02,8.6E-02,0,0.03
KLHL17,0.82,3.3,1.0E-08,1.3E-07,1,0.19
KLHL18,-0.09,4.6,3.3E-01,4.3E-01,0,0.00
KLHL2,-0.01,7.2,9.4E-01,9.6E-01,0,0.00
KLHL20,-0.04,4.4,7.0E-01,7.7E-01,0,0.00
KLHL21,0.57,7.2,1.1E-05,6.3E-05,1,0.08
KLHL22,-0.57,5.4,6.2E-11,1.5E-09,0,0.17
KLHL23,-0.11,4.8,2.7E-01,3.7E-01,0,0.00
KLHL24,0.42,6.2,2.4E-04,9.3E-04,1,0.04
KLHL25,0.13,4.2,4.2E-01,5.2E-01,1,0.00
KLHL26,-0.37,5.0,9.7E-04,3.1E-03,0,0.03
KLHL28,-0.01,3.7,9.4E-01,9.6E-01,0,0.00
KLHL29,-0.63,4.0,3.0E-04,1.1E-03,0,0.06
KLHL3,0.07,5.0,4.8E-01,5.8E-01,1,0.00
KLHL30,1.93,0.6,4.1E-04,1.5E-03,1,0.18
KLHL32,0.42,6.3,1.9E-03,5.7E-03,1,0.03
KLHL35,-1.18,1.9,4.3E-10,7.9E-09,0,0.32
KLHL36,0.19,6.0,6.5E-02,1.1E-01,1,0.01
KLHL38,1.37,-0.4,9.2E-02,1.5E-01,1,0.04
KLHL42,-0.31,5.8,2.9E-04,1.1E-03,0,0.03
KLHL5,0.63,6.7,2.7E-08,3.0E-07,1,0.14
KLHL6,1.08,2.6,1.7E-09,2.6E-08,1,0.27
KLHL7,-0.36,5.0,3.8E-04,1.4E-03,0,0.03
KLHL8,0.39,4.5,2.5E-03,7.1E-03,1,0.03
KLHL9,-0.13,5.2,1.6E-01,2.5E-01,0,0.00
KLK10,-1.01,-0.2,4.7E-03,1.2E-02,0,0.06
KLK14,0.98,-0.2,1.0E-02,2.4E-02,1,0.05
KLK5,-1.80,0.5,9.5E-08,9.1E-07,0,0.36
KLK6,0.04,7.0,8.6E-01,9.0E-01,1,0.00
KLK7,-2.07,3.7,8.4E-12,2.6E-10,0,0.66
KLKB1,1.19,1.4,8.2E-06,4.9E-05,1,0.17
KLLN,-0.84,0.3,2.1E-02,4.5E-02,0,0.04
KLRB1,0.58,-0.8,4.3E-01,5.3E-01,1,0.01
KLRC2,0.30,0.2,6.7E-01,7.5E-01,1,0.00
KLRG1,0.37,1.6,1.4E-01,2.1E-01,1,0.01
KMT2A,0.47,7.1,1.9E-04,7.6E-04,1,0.05
KMT2C,0.60,7.1,6.1E-06,3.7E-05,1,0.09
KMT2D,0.44,7.0,7.0E-04,2.4E-03,1,0.04
KMT2E,0.50,6.9,5.1E-07,4.1E-06,1,0.09
KNCN,-1.41,0.6,3.4E-05,1.7E-04,0,0.18
KNDC1,-0.87,6.6,5.6E-11,1.3E-09,0,0.26
KNOP1,-0.16,3.8,2.6E-01,3.5E-01,0,0.00
KNSTRN,-0.46,3.3,8.8E-03,2.1E-02,0,0.03
KNTC1,-0.16,2.0,4.0E-01,5.0E-01,0,0.00
KPNA1,-0.05,5.7,5.2E-01,6.2E-01,0,0.00
KPNA2,-0.61,5.2,3.4E-10,6.3E-09,0,0.17
KPNA3,-0.11,5.5,3.0E-01,4.0E-01,0,0.00
KPNA4,0.02,6.5,8.7E-01,9.1E-01,1,0.00
KPNA5,0.05,4.2,5.8E-01,6.7E-01,1,0.00
KPNA6,-0.11,6.4,1.5E-01,2.3E-01,0,0.00
KPNB1,-0.08,7.5,2.5E-01,3.5E-01,0,0.00
KPTN,0.38,4.0,2.3E-03,6.5E-03,1,0.03
KRAS,-0.45,5.1,1.2E-05,6.6E-05,0,0.06
KRBA1,-0.43,4.4,3.9E-04,1.4E-03,0,0.04
KRBA2,0.53,0.1,9.9E-02,1.6E-01,1,0.01
KRBOX1,-0.83,1.0,4.1E-04,1.5E-03,0,0.08
KRCC1,0.63,5.1,2.1E-07,1.9E-06,1,0.12
KREMEN1,-0.18,6.0,9.7E-02,1.6E-01,0,0.00
KREMEN2,-1.60,1.2,1.1E-09,1.8E-08,0,0.41
KRI1,0.37,5.1,7.3E-04,2.5E-03,1,0.03
KRIT1,0.22,5.0,2.0E-02,4.3E-02,1,0.01
KRR1,0.15,3.9,2.3E-01,3.2E-01,1,0.00
KRT10,0.16,4.3,2.3E-01,3.2E-01,1,0.00
KRT15,1.51,-0.2,1.5E-02,3.4E-02,1,0.07
KRT16,2.97,0.9,2.1E-02,4.4E-02,1,0.13
KRT18,0.65,1.8,5.3E-02,9.7E-02,1,0.02
KRT19,1.12,1.8,7.1E-04,2.4E-03,1,0.10
KRT222,-1.41,3.5,3.9E-12,1.4E-10,0,0.46
KRT8,-0.22,-0.4,6.3E-01,7.2E-01,0,0.00
KRT81,-1.10,-0.4,1.9E-02,4.1E-02,0,0.05
KRT86,-1.28,-0.2,2.9E-04,1.1E-03,0,0.13
KRTCAP2,-0.06,2.6,6.4E-01,7.2E-01,0,0.00
KRTCAP3,0.61,-0.2,1.5E-01,2.3E-01,1,0.01
KSR1,-0.05,6.1,6.8E-01,7.6E-01,0,0.00
KSR2,-1.38,4.2,1.3E-08,1.6E-07,0,0.31
KTI12,-0.39,2.6,3.6E-03,9.8E-03,0,0.03
KTN1,0.57,8.5,1.3E-08,1.6E-07,1,0.13
KXD1,-0.03,6.1,7.6E-01,8.2E-01,0,0.00
KY,-0.35,1.9,4.4E-02,8.2E-02,0,0.01
KYNU,0.41,0.9,6.4E-02,1.1E-01,1,0.01
L2HGDH,-0.64,2.4,2.7E-06,1.8E-05,0,0.10
L3HYPDH,0.39,3.2,1.3E-02,2.9E-02,1,0.02
L3MBTL1,-0.32,4.0,6.0E-03,1.5E-02,0,0.02
L3MBTL2,-0.27,5.5,4.8E-03,1.2E-02,0,0.02
L3MBTL3,0.05,3.2,6.5E-01,7.3E-01,1,0.00
L3MBTL4,0.31,3.6,1.1E-02,2.6E-02,1,0.02
LACC1,0.14,4.9,4.1E-01,5.1E-01,1,0.00
LACE1,-0.18,2.7,2.0E-01,2.9E-01,0,0.00
LACTB,0.37,3.5,2.9E-03,8.0E-03,1,0.03
LACTB2,-0.09,2.9,4.5E-01,5.5E-01,0,0.00
LAIR1,0.29,4.5,1.5E-01,2.3E-01,1,0.01
LAMA1,0.29,3.2,1.1E-01,1.8E-01,1,0.01
LAMA2,0.34,5.6,3.6E-02,7.0E-02,1,0.01
LAMA3,1.01,4.1,3.8E-06,2.5E-05,1,0.16
LAMA4,0.28,5.2,3.8E-02,7.4E-02,1,0.01
LAMA5,1.21,6.6,4.0E-11,9.7E-10,1,0.36
LAMB1,-0.42,4.4,1.1E-01,1.7E-01,0,0.01
LAMB2,0.98,7.5,1.4E-09,2.2E-08,1,0.25
LAMB3,-0.31,2.4,2.1E-01,3.0E-01,0,0.01
LAMC1,0.73,6.3,1.6E-04,6.6E-04,1,0.08
LAMC3,0.34,4.4,1.2E-01,2.0E-01,1,0.01
LAMP1,0.23,8.2,1.4E-02,3.1E-02,1,0.01
LAMP5,-2.12,5.5,1.3E-15,1.7E-13,0,0.71
LAMTOR1,-0.03,7.0,7.1E-01,7.8E-01,0,0.00
LAMTOR2,-0.29,5.1,6.7E-03,1.7E-02,0,0.02
LAMTOR3,-0.21,5.3,1.1E-02,2.6E-02,0,0.01
LAMTOR4,-0.05,6.7,7.0E-01,7.7E-01,0,0.00
LAMTOR5,-0.13,6.1,1.6E-01,2.4E-01,0,0.00
LANCL1,-0.26,8.1,6.1E-02,1.1E-01,0,0.01
LANCL2,-0.84,6.0,4.2E-15,4.2E-13,0,0.28
LAP3,-0.04,6.3,7.3E-01,8.0E-01,0,0.00
LAPTM4A,0.29,7.3,3.7E-03,1.0E-02,1,0.02
LAPTM4B,-0.17,5.7,7.3E-02,1.3E-01,0,0.01
LAPTM5,0.09,7.2,6.0E-01,6.9E-01,1,0.00
LARGE,-0.93,6.0,1.9E-11,5.2E-10,0,0.29
LARP1,-0.14,8.1,1.4E-01,2.1E-01,0,0.00
LARP1B,0.03,3.9,7.2E-01,7.9E-01,1,0.00
LARP4,0.47,5.1,5.7E-04,2.0E-03,1,0.04
LARP4B,-0.16,5.6,2.1E-02,4.4E-02,0,0.01
LARP6,0.25,7.2,3.4E-02,6.6E-02,1,0.01
LARP7,0.30,5.5,1.4E-03,4.4E-03,1,0.02
LARS,-0.08,6.7,2.5E-01,3.4E-01,0,0.00
LARS2,-0.39,5.5,1.8E-04,7.1E-04,0,0.04
LASP1,-0.05,7.3,5.3E-01,6.2E-01,0,0.00
LAT2,0.35,5.0,5.2E-02,9.5E-02,1,0.01
LATS1,0.40,4.8,1.0E-03,3.3E-03,1,0.03
LATS2,0.79,4.8,1.4E-05,7.8E-05,1,0.11
LAYN,0.23,5.1,1.2E-01,1.9E-01,1,0.01
LBH,0.30,2.8,3.3E-01,4.3E-01,1,0.00
LBR,0.57,5.0,1.9E-08,2.2E-07,1,0.13
LCA5,0.46,4.4,2.2E-04,8.7E-04,1,0.05
LCA5L,0.08,0.6,8.3E-01,8.8E-01,1,0.00
LCAT,0.65,4.2,2.9E-07,2.5E-06,1,0.12
LCK,1.31,0.3,1.4E-03,4.4E-03,1,0.10
LCLAT1,-0.53,2.7,1.1E-03,3.5E-03,0,0.04
LCMT1,-0.68,5.2,9.5E-12,2.9E-10,0,0.22
LCMT2,-0.36,3.2,3.7E-03,1.0E-02,0,0.02
LCN1,-0.51,0.1,2.8E-01,3.8E-01,0,0.01
LCN10,2.29,0.8,2.3E-07,2.0E-06,1,0.44
LCN12,0.38,2.8,1.7E-01,2.6E-01,1,0.01
LCN15,-0.04,0.2,9.3E-01,9.5E-01,0,0.00
LCN6,1.96,1.8,4.7E-06,3.0E-05,1,0.30
LCNL1,0.77,4.2,1.9E-04,7.4E-04,1,0.08
LCOR,0.49,3.8,7.7E-04,2.6E-03,1,0.04
LCORL,0.58,3.1,3.3E-04,1.2E-03,1,0.06
LCP1,0.60,5.8,3.9E-04,1.4E-03,1,0.06
LCP2,0.27,3.9,9.3E-02,1.5E-01,1,0.01
LCTL,0.15,0.8,5.8E-01,6.7E-01,1,0.00
LDB1,0.00,5.8,9.9E-01,1.0E+00,0,0.00
LDB2,-1.29,5.1,3.2E-13,1.6E-11,0,0.43
LDB3,-0.46,5.3,7.1E-02,1.2E-01,0,0.01
LDHA,-0.14,8.1,2.9E-01,3.9E-01,0,0.00
LDHB,-0.36,9.3,1.5E-05,8.0E-05,0,0.05
LDHD,-0.67,4.7,3.2E-03,8.7E-03,0,0.05
LDLR,0.80,5.9,9.4E-05,4.1E-04,1,0.09
LDLRAD2,0.45,0.1,2.9E-01,3.8E-01,1,0.01
LDLRAD3,0.71,5.8,1.1E-06,8.0E-06,1,0.12
LDLRAD4,-0.06,6.6,5.1E-01,6.1E-01,0,0.00
LDLRAP1,0.47,5.8,2.6E-03,7.4E-03,1,0.03
LDOC1L,-0.09,6.5,2.6E-01,3.5E-01,0,0.00
LEAP2,1.21,0.7,1.0E-06,7.6E-06,1,0.21
LECT1,0.12,1.6,6.3E-01,7.1E-01,1,0.00
LEF1,1.17,4.6,2.2E-12,8.1E-11,1,0.39
LEFTY1,0.14,-0.2,7.4E-01,8.1E-01,1,0.00
LEKR1,-0.79,-0.6,5.5E-02,1.0E-01,0,0.03
LEMD2,0.34,5.7,2.3E-04,9.1E-04,1,0.03
LEMD3,-0.07,4.7,4.8E-01,5.8E-01,0,0.00
LENG1,0.07,3.4,6.4E-01,7.3E-01,1,0.00
LENG8,0.56,7.0,9.0E-06,5.3E-05,1,0.08
LENG9,-0.35,1.1,6.1E-02,1.1E-01,0,0.01
LEO1,-0.32,4.4,1.2E-03,3.8E-03,0,0.03
LEPR,0.83,4.5,1.3E-04,5.6E-04,1,0.09
LEPRE1,0.35,3.9,1.0E-02,2.4E-02,1,0.02
LEPREL1,1.36,4.2,1.4E-12,5.5E-11,1,0.45
LEPREL4,0.17,4.0,1.6E-01,2.4E-01,1,0.00
LEPROT,0.03,6.2,8.2E-01,8.7E-01,1,0.00
LEPROTL1,-0.23,5.5,3.2E-03,8.9E-03,0,0.02
LETM1,-0.18,5.9,3.1E-02,6.2E-02,0,0.01
LETM2,-0.28,2.4,6.3E-02,1.1E-01,0,0.01
LETMD1,-0.62,5.6,2.6E-08,2.9E-07,0,0.13
LFNG,-0.38,4.6,4.1E-02,7.8E-02,0,0.01
LGALS1,0.26,7.7,5.0E-02,9.2E-02,1,0.01
LGALS3,0.20,6.3,2.0E-01,2.8E-01,1,0.00
LGALS3BP,0.11,7.5,3.2E-01,4.2E-01,1,0.00
LGALS4,0.18,-0.7,6.6E-01,7.4E-01,1,0.00
LGALS8,-0.34,5.3,1.0E-03,3.3E-03,0,0.03
LGALS9,0.50,5.0,1.8E-03,5.4E-03,1,0.04
LGALSL,-0.35,4.1,2.4E-03,6.9E-03,0,0.03
LGI1,-0.71,5.7,5.5E-06,3.4E-05,0,0.11
LGI2,0.17,3.4,4.2E-01,5.2E-01,1,0.00
LGI3,-0.26,7.8,6.2E-02,1.1E-01,0,0.01
LGI4,-0.12,6.9,4.0E-01,5.0E-01,0,0.00
LGMN,-0.48,5.3,8.5E-07,6.5E-06,0,0.08
LGR4,-0.01,4.9,9.2E-01,9.5E-01,0,0.00
LGR5,0.66,4.3,1.2E-03,3.8E-03,1,0.05
LGR6,0.86,2.1,2.5E-03,7.0E-03,1,0.06
LHFP,0.34,6.5,4.7E-03,1.2E-02,1,0.02
LHFPL2,0.38,5.9,1.9E-03,5.7E-03,1,0.03
LHFPL3,-0.18,4.9,3.1E-01,4.1E-01,0,0.00
LHFPL4,-1.44,2.4,4.4E-12,1.5E-10,0,0.47
LHFPL5,-1.38,0.5,1.0E-04,4.3E-04,0,0.16
LHPP,0.23,7.9,9.9E-02,1.6E-01,1,0.01
LHX2,-0.43,5.9,1.2E-02,2.7E-02,0,0.02
LHX4,0.45,0.2,1.2E-01,1.9E-01,1,0.01
LHX6,-0.35,3.8,8.0E-02,1.4E-01,0,0.01
LHX9,1.48,0.2,4.9E-04,1.7E-03,1,0.14
LIAS,-0.39,3.2,1.6E-03,4.9E-03,0,0.03
LIF,-0.19,1.5,7.3E-01,8.0E-01,0,0.00
LIFR,0.65,7.4,7.0E-06,4.2E-05,1,0.10
LIG1,-0.14,3.8,1.9E-01,2.7E-01,0,0.00
LIG3,0.03,4.3,8.0E-01,8.6E-01,1,0.00
LIG4,-0.14,4.4,1.8E-01,2.6E-01,0,0.00
LILRA1,0.01,1.6,9.9E-01,9.9E-01,1,0.00
LILRA2,0.70,3.0,2.7E-04,1.0E-03,1,0.07
LILRA4,0.43,2.7,2.2E-01,3.1E-01,1,0.01
LILRA5,0.75,0.5,6.0E-02,1.1E-01,1,0.02
LILRA6,0.94,0.4,1.4E-02,3.0E-02,1,0.05
LILRB1,0.31,3.0,1.4E-01,2.2E-01,1,0.01
LILRB2,0.13,1.5,6.2E-01,7.1E-01,1,0.00
LILRB3,0.39,0.3,3.4E-01,4.4E-01,1,0.00
LILRB4,0.00,4.0,9.8E-01,9.9E-01,0,0.00
LILRB5,0.65,1.3,2.6E-02,5.3E-02,1,0.03
LIMA1,0.25,5.1,7.0E-02,1.2E-01,1,0.01
LIMCH1,0.31,8.3,6.7E-03,1.7E-02,1,0.02
LIMD1,0.51,4.2,1.1E-05,6.4E-05,1,0.07
LIMD2,-0.69,4.4,3.6E-05,1.8E-04,0,0.09
LIME1,0.81,2.3,2.5E-04,9.6E-04,1,0.08
LIMK1,-1.11,6.7,3.6E-12,1.3E-10,0,0.37
LIMK2,0.09,6.4,5.7E-01,6.7E-01,1,0.00
LIMS1,0.38,4.3,6.3E-04,2.2E-03,1,0.03
LIMS2,0.48,6.6,5.2E-03,1.3E-02,1,0.03
LIN37,-0.26,2.1,1.1E-01,1.7E-01,0,0.01
LIN52,-0.22,4.0,2.3E-02,4.7E-02,0,0.01
LIN54,-0.13,4.1,2.7E-01,3.7E-01,0,0.00
LIN7A,-0.53,4.1,1.1E-04,4.6E-04,0,0.06
LIN7B,-0.76,4.2,7.6E-08,7.5E-07,0,0.16
LIN7C,0.08,4.6,3.5E-01,4.5E-01,1,0.00
LIN9,0.73,1.9,2.9E-05,1.5E-04,1,0.09
LINC00998,-0.16,4.5,1.5E-01,2.3E-01,0,0.00
LINC00999,0.26,0.2,5.1E-01,6.1E-01,1,0.00
LINGO1,-1.06,6.9,1.6E-11,4.4E-10,0,0.33
LINGO2,-1.94,1.0,6.9E-08,6.9E-07,0,0.40
LINGO3,-0.65,1.2,1.5E-03,4.4E-03,0,0.05
LINS,0.17,3.1,1.6E-01,2.5E-01,1,0.00
LIPA,0.39,7.5,2.8E-03,7.9E-03,1,0.03
LIPC,-1.35,0.2,5.9E-09,7.9E-08,0,0.32
LIPE,-0.14,5.9,3.8E-01,4.8E-01,0,0.00
LIPG,0.26,2.4,5.0E-01,6.0E-01,1,0.00
LIPH,-0.47,0.3,1.4E-01,2.2E-01,0,0.01
LIPT1,0.30,2.0,2.9E-02,5.8E-02,1,0.01
LIPT2,-0.35,0.1,1.5E-01,2.3E-01,0,0.01
LITAF,0.13,7.0,2.3E-01,3.2E-01,1,0.00
LIX1,-0.12,6.0,4.4E-01,5.4E-01,0,0.00
LIX1L,0.43,5.5,2.9E-04,1.1E-03,1,0.04
LLGL1,0.03,7.7,8.1E-01,8.7E-01,1,0.00
LLGL2,0.70,4.2,1.3E-04,5.5E-04,1,0.08
LLPH,0.11,3.1,3.7E-01,4.7E-01,1,0.00
LMAN1,0.38,6.1,4.6E-05,2.2E-04,1,0.05
LMAN2,0.04,6.3,6.5E-01,7.3E-01,1,0.00
LMAN2L,0.28,4.9,5.8E-02,1.0E-01,1,0.01
LMBR1,-0.11,5.7,1.6E-01,2.4E-01,0,0.00
LMBR1L,0.13,4.7,1.1E-01,1.8E-01,1,0.00
LMBRD1,0.10,6.7,2.4E-01,3.4E-01,1,0.00
LMBRD2,-0.69,5.2,3.9E-08,4.1E-07,0,0.15
LMCD1,0.24,4.0,1.8E-01,2.7E-01,1,0.00
LMF1,-0.27,4.6,8.2E-02,1.4E-01,0,0.01
LMF2,0.10,5.6,3.1E-01,4.1E-01,1,0.00
LMLN,-0.36,3.7,4.2E-03,1.1E-02,0,0.02
LMNA,0.36,6.8,1.2E-02,2.7E-02,1,0.02
LMNB1,0.12,2.3,5.7E-01,6.6E-01,1,0.00
LMNB2,0.21,5.6,1.5E-02,3.4E-02,1,0.01
LMO1,-0.76,0.8,2.0E-02,4.2E-02,0,0.04
LMO2,0.19,6.1,1.1E-01,1.8E-01,1,0.00
LMO3,-0.78,6.8,2.7E-11,6.9E-10,0,0.24
LMO4,-0.70,7.3,3.5E-09,5.0E-08,0,0.17
LMO7,-1.32,4.9,6.1E-10,1.1E-08,0,0.35
LMOD1,2.02,6.9,9.2E-05,4.0E-04,1,0.23
LMOD3,-0.09,0.0,8.1E-01,8.7E-01,0,0.00
LMTK2,-0.60,6.1,3.8E-06,2.5E-05,0,0.09
LMTK3,-0.79,6.0,3.4E-09,4.9E-08,0,0.19
LMX1A,0.45,-0.6,6.4E-01,7.3E-01,1,0.00
LNP1,-0.58,3.0,2.1E-05,1.1E-04,0,0.08
LNPEP,0.17,5.2,2.1E-01,3.0E-01,1,0.00
LNX1,-1.78,3.5,2.4E-14,1.8E-12,0,0.59
LNX2,0.34,2.9,3.1E-02,6.2E-02,1,0.01
LOH12CR1,-0.27,3.2,3.4E-02,6.7E-02,0,0.01
LOH12CR2,-0.19,2.9,2.5E-01,3.5E-01,0,0.00
LONP1,-0.23,6.6,1.1E-02,2.5E-02,0,0.01
LONP2,-0.31,6.5,2.5E-05,1.3E-04,0,0.04
LONRF1,-0.31,4.8,7.8E-04,2.6E-03,0,0.03
LONRF2,-1.33,6.7,1.3E-18,6.6E-16,0,0.44
LOX,0.50,1.9,2.3E-01,3.2E-01,1,0.01
LOXHD1,-1.60,-0.7,1.3E-04,5.3E-04,0,0.17
LOXL1,0.54,1.6,1.1E-01,1.8E-01,1,0.01
LOXL2,0.94,2.9,6.3E-08,6.3E-07,1,0.19
LOXL3,0.39,3.6,4.2E-03,1.1E-02,1,0.03
LOXL4,0.91,1.3,4.7E-03,1.2E-02,1,0.06
LPAR1,0.60,8.8,3.4E-05,1.7E-04,1,0.08
LPAR2,0.00,1.9,9.5E-01,9.6E-01,0,0.00
LPAR3,-0.73,2.7,6.6E-03,1.6E-02,0,0.04
LPAR5,0.02,3.7,9.6E-01,9.7E-01,1,0.00
LPAR6,0.50,3.9,1.0E-03,3.2E-03,1,0.04
LPCAT1,-0.22,6.1,7.5E-03,1.8E-02,0,0.01
LPCAT2,0.14,4.9,3.7E-01,4.7E-01,1,0.00
LPCAT3,0.32,4.4,1.3E-02,2.9E-02,1,0.02
LPCAT4,-0.95,5.7,3.1E-11,7.8E-10,0,0.29
LPGAT1,-0.22,6.3,1.9E-02,4.1E-02,0,0.01
LPHN1,-0.38,7.0,8.8E-04,2.9E-03,0,0.03
LPHN2,0.18,5.1,2.1E-01,2.9E-01,1,0.00
LPHN3,-0.43,6.3,1.9E-05,1.0E-04,0,0.06
LPIN1,-0.07,6.3,3.9E-01,4.9E-01,0,0.00
LPIN2,-0.29,6.6,4.4E-03,1.2E-02,0,0.02
LPIN3,0.86,3.2,5.0E-04,1.7E-03,1,0.08
LPL,0.15,5.8,3.9E-01,4.9E-01,1,0.00
LPO,-2.57,0.2,7.0E-10,1.2E-08,0,0.68
LPP,1.45,6.8,3.2E-05,1.6E-04,1,0.18
LPPR1,-0.39,5.0,1.0E-02,2.4E-02,0,0.02
LPPR3,-1.04,3.7,4.5E-05,2.2E-04,0,0.13
LPPR4,-1.73,6.0,3.4E-15,3.7E-13,0,0.58
LPPR5,-1.15,3.4,9.8E-09,1.2E-07,0,0.26
LPXN,0.23,3.5,8.3E-02,1.4E-01,1,0.01
LRAT,0.61,2.9,1.2E-02,2.7E-02,1,0.03
LRBA,0.10,4.7,5.0E-01,6.0E-01,1,0.00
LRCH1,0.87,4.4,6.1E-10,1.1E-08,1,0.23
LRCH3,0.38,5.0,1.3E-06,9.5E-06,1,0.06
LRCH4,0.68,5.7,6.4E-10,1.1E-08,1,0.18
LRFN1,-0.93,3.5,9.3E-08,8.9E-07,0,0.19
LRFN2,-1.71,2.4,2.1E-13,1.1E-11,0,0.57
LRFN3,-0.29,4.0,2.2E-02,4.6E-02,0,0.01
LRFN4,-0.20,4.1,1.5E-01,2.3E-01,0,0.00
LRFN5,-1.58,3.9,1.0E-12,4.3E-11,0,0.53
LRG1,0.85,1.5,3.0E-02,6.0E-02,1,0.03
