gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000050730|TNIP3	-0.012530053	2.8174e-05	AD	Control	233
ENSG00000052723|SIKE1	-0.145787624	1.10686e-06	AD	Control	233
ENSG00000038295|TLL1	-0.194916691	9.7026e-07	AD	Control	233
ENSG00000053438|NNAT	-0.045347027	2.32924e-05	AD	Control	233
ENSG00000054803|CBLN4	-0.323563681	1.23129e-06	AD	Control	233
ENSG00000013297|CLDN11	0.021364011	2.75897e-05	AD	Control	233
ENSG00000054965|FAM168A	0.063979055	3.65656e-06	AD	Control	233
ENSG00000054967|RELT	-0.050893218	1.77002e-05	AD	Control	233
ENSG00000004897|CDC27	-0.170574291	2.09336e-06	AD	Control	233
ENSG00000057294|PKP2	0.058652512	2.06476e-05	AD	Control	233
ENSG00000196083|IL1RAP	-0.063665727	1.16986e-05	AD	Control	233
ENSG00000058799|YIPF1	-0.102193577	6.45847e-06	AD	Control	233
ENSG00000133597|ADCK2	-0.085623548	1.06276e-05	AD	Control	233
ENSG00000040933|INPP4A	-0.026702236	1.95072e-05	AD	Control	233
ENSG00000059804|SLC2A3	-0.023004809	2.58681e-05	AD	Control	233
ENSG00000136960|ENPP2	0.112401965	1.19304e-05	AD	Control	233
ENSG00000060069|CTDP1	0.023653131	2.36688e-05	AD	Control	233
ENSG00000060140|STYK1	-0.205704699	1.80703e-06	AD	Control	233
ENSG00000088256|GNA11	0.086734242	1.08465e-05	AD	Control	233
ENSG00000060566|CREB3L3	-0.201853187	3.06673e-05	AD	Control	233
ENSG00000060642|PIGV	0.074583587	6.13156e-06	AD	Control	233
ENSG00000061273|HDAC7	0.243353661	1.37361e-06	AD	Control	233
ENSG00000061794|MRPS35	-0.220411377	3.77076e-07	AD	Control	233
ENSG00000026950|BTN3A1	0.111415934	4.8933e-06	AD	Control	233
ENSG00000062725|APPBP2	-0.158845511	1.03948e-06	AD	Control	233
ENSG00000063177|RPL18	-0.081909678	7.6246e-06	AD	Control	233
ENSG00000063180|CA11	-0.066664283	1.84392e-05	AD	Control	233
ENSG00000063241|ISOC2	-0.064070634	1.20399e-05	AD	Control	233
ENSG00000063245|EPN1	0.208671029	2.68377e-06	AD	Control	233
ENSG00000012124|CD22	0.158122319	8.04759e-06	AD	Control	233
ENSG00000063515|GSC2	-0.765043377	3.06673e-05	AD	Control	233
ENSG00000067646|ZFY	-0.766071641	3.95236e-06	AD	Control	233
ENSG00000069998|HDHD5	-0.087550118	2.8964e-06	AD	Control	233
ENSG00000053918|KCNQ1	0.095624089	1.79997e-05	AD	Control	233
ENSG00000070985|TRPM5	-0.328153612	3.06673e-05	AD	Control	233
ENSG00000071575|TRIB2	-0.041138452	2.13459e-05	AD	Control	233
ENSG00000068308|OTUD5	-0.024011768	2.2774e-05	AD	Control	233
ENSG00000068394|GPKOW	-0.043747352	1.69193e-05	AD	Control	233
ENSG00000021776|AQR	-0.050524173	9.10082e-06	AD	Control	233
ENSG00000167759|KLK13	-1.225635539	3.06673e-05	AD	Control	233
ENSG00000129437|KLK14	-0.032133124	3.06673e-05	AD	Control	233
ENSG00000070526|ST6GALNAC1	0.201337784	3.81114e-06	AD	Control	233
ENSG00000071655|MBD3	0.063315938	1.59386e-05	AD	Control	233
ENSG00000071282|LMCD1	-0.103349438	1.82914e-05	AD	Control	233
ENSG00000013275|PSMC4	-0.062114936	1.27637e-05	AD	Control	233
ENSG00000073598|FNDC8	0.211468243	3.06673e-05	AD	Control	233
ENSG00000004660|CAMKK1	-0.035612773	2.12129e-05	AD	Control	233
ENSG00000071859|FAM50A	0.113831888	5.78105e-06	AD	Control	233
ENSG00000072818|ACAP1	0.047354924	1.80197e-05	AD	Control	233
ENSG00000072849|DERL2	0.049190803	1.42992e-05	AD	Control	233
ENSG00000074771|NOX3	0.032715403	3.06673e-05	AD	Control	233
ENSG00000074855|ANO8	0.179585783	2.60573e-06	AD	Control	233
ENSG00000127663|KDM4B	0.233030462	9.60616e-07	AD	Control	233
ENSG00000073150|PANX2	0.286035387	2.55924e-06	AD	Control	233
ENSG00000076662|ICAM3	-0.07222087	1.44013e-05	AD	Control	233
ENSG00000076826|CAMSAP3	0.142013501	7.64157e-06	AD	Control	233
ENSG00000077063|CTTNBP2	0.001274367	3.02978e-05	AD	Control	233
ENSG00000077080|ACTL6B	-0.050651056	2.06299e-05	AD	Control	233
ENSG00000147724|FAM135B	-0.068636425	1.29931e-05	AD	Control	233
ENSG00000079432|CIC	0.384137463	9.54106e-07	AD	Control	233
ENSG00000079616|KIF22	-0.063691427	9.73786e-06	AD	Control	233
ENSG00000079385|CEACAM1	0.082111491	1.30296e-05	AD	Control	233
ENSG00000047188|YTHDC2	-0.162793377	9.74172e-07	AD	Control	233
ENSG00000064545|TMEM161A	0.032047725	2.1975e-05	AD	Control	233
ENSG00000050820|BCAR1	0.149935427	5.44952e-06	AD	Control	233
ENSG00000065970|FOXJ2	0.139799372	4.56093e-07	AD	Control	233
ENSG00000067182|TNFRSF1A	0.32195014	3.66578e-07	AD	Control	233
ENSG00000066455|GOLGA5	-0.073959246	5.93199e-06	AD	Control	233
ENSG00000067365|METTL22	0.05180359	1.37118e-05	AD	Control	233
ENSG00000008300|CELSR3	0.105876181	7.75202e-06	AD	Control	233
ENSG00000068971|PPP2R5B	-0.08473121	4.7334e-06	AD	Control	233
ENSG00000068976|PYGM	0.14498706	9.50783e-06	AD	Control	233
ENSG00000069399|BCL3	0.352291217	2.71568e-06	AD	Control	233
ENSG00000069424|KCNAB2	0.093930366	9.54257e-06	AD	Control	233
ENSG00000069943|PIGB	-0.023270272	2.26778e-05	AD	Control	233
ENSG00000067840|PDZD4	0.024587134	2.60409e-05	AD	Control	233
ENSG00000185864|NPIPB4	0.136025151	4.46411e-06	AD	Control	233
ENSG00000071677|PRLH	-1.028145109	3.06673e-05	AD	Control	233
ENSG00000068615|REEP1	-0.086276907	6.18747e-06	AD	Control	233
ENSG00000070404|FSTL3	0.135838789	4.73341e-06	AD	Control	233
ENSG00000070886|EPHA8	0.180351713	6.26251e-06	AD	Control	233
ENSG00000071539|TRIP13	-0.161428167	2.56654e-06	AD	Control	233
ENSG00000072682|P4HA2	0.060667725	1.4018e-05	AD	Control	233
ENSG00000071246|VASH1	0.226941509	7.09855e-07	AD	Control	233
ENSG00000071994|PDCD2	-0.170756976	1.21923e-06	AD	Control	233
ENSG00000073350|LLGL2	0.070103299	1.7379e-05	AD	Control	233
ENSG00000186847|KRT14	-0.436376803	3.06673e-05	AD	Control	233
ENSG00000171431|KRT20	-0.286965271	3.06673e-05	AD	Control	233
