ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000166793,False,Frontal Lobe,Fisher_et_al
ENSG00000063180,False,Frontal Lobe,Fisher_et_al
ENSG00000114902,False,Frontal Lobe,Fisher_et_al
ENSG00000167283,False,Frontal Lobe,Fisher_et_al
ENSG00000167770,False,Frontal Lobe,Fisher_et_al
ENSG00000067221,False,Frontal Lobe,Fisher_et_al
ENSG00000180879,False,Frontal Lobe,Fisher_et_al
ENSG00000004779,False,Frontal Lobe,Fisher_et_al
ENSG00000170899,False,Frontal Lobe,Fisher_et_al
ENSG00000166681,False,Frontal Lobe,Fisher_et_al
ENSG00000143158,False,Frontal Lobe,Fisher_et_al
ENSG00000270170,False,Frontal Lobe,Fisher_et_al
ENSG00000134590,False,Frontal Lobe,Fisher_et_al
ENSG00000124802,False,Frontal Lobe,Fisher_et_al
ENSG00000256537,False,Frontal Lobe,Fisher_et_al
ENSG00000197858,False,Frontal Lobe,Fisher_et_al
ENSG00000172500,False,Frontal Lobe,Fisher_et_al
ENSG00000042753,False,Frontal Lobe,Fisher_et_al
ENSG00000126602,False,Frontal Lobe,Fisher_et_al
ENSG00000144199,False,Frontal Lobe,Fisher_et_al
ENSG00000008382,False,Frontal Lobe,Fisher_et_al
ENSG00000092096,False,Frontal Lobe,Fisher_et_al
ENSG00000136279,False,Frontal Lobe,Fisher_et_al
ENSG00000173545,False,Frontal Lobe,Fisher_et_al
ENSG00000167264,False,Frontal Lobe,Fisher_et_al
ENSG00000067606,False,Frontal Lobe,Fisher_et_al
ENSG00000136261,False,Frontal Lobe,Fisher_et_al
ENSG00000149476,False,Frontal Lobe,Fisher_et_al
ENSG00000163170,False,Frontal Lobe,Fisher_et_al
ENSG00000130520,False,Frontal Lobe,Fisher_et_al
ENSG00000102078,False,Frontal Lobe,Fisher_et_al
ENSG00000131100,False,Frontal Lobe,Fisher_et_al
ENSG00000178449,False,Frontal Lobe,Fisher_et_al
ENSG00000197044,False,Frontal Lobe,Fisher_et_al
ENSG00000108528,False,Frontal Lobe,Fisher_et_al
ENSG00000158019,False,Frontal Lobe,Fisher_et_al
ENSG00000162373,False,Frontal Lobe,Fisher_et_al
ENSG00000116649,False,Frontal Lobe,Fisher_et_al
ENSG00000196976,False,Frontal Lobe,Fisher_et_al
ENSG00000182180,False,Frontal Lobe,Fisher_et_al
ENSG00000137038,False,Frontal Lobe,Fisher_et_al
ENSG00000168569,False,Frontal Lobe,Fisher_et_al
ENSG00000232119,False,Frontal Lobe,Fisher_et_al
ENSG00000163634,False,Frontal Lobe,Fisher_et_al
ENSG00000102096,False,Frontal Lobe,Fisher_et_al
ENSG00000042317,False,Frontal Lobe,Fisher_et_al
ENSG00000172831,False,Frontal Lobe,Fisher_et_al
ENSG00000068400,False,Frontal Lobe,Fisher_et_al
ENSG00000100554,False,Frontal Lobe,Fisher_et_al
ENSG00000128482,False,Frontal Lobe,Fisher_et_al
ENSG00000140688,False,Frontal Lobe,Fisher_et_al
ENSG00000185442,False,Frontal Lobe,Fisher_et_al
ENSG00000121413,False,Frontal Lobe,Fisher_et_al
ENSG00000102119,False,Frontal Lobe,Fisher_et_al
ENSG00000141560,False,Frontal Lobe,Fisher_et_al
ENSG00000158526,False,Frontal Lobe,Fisher_et_al
ENSG00000077348,False,Frontal Lobe,Fisher_et_al
ENSG00000138101,False,Frontal Lobe,Fisher_et_al
ENSG00000198171,False,Frontal Lobe,Fisher_et_al
ENSG00000175550,False,Frontal Lobe,Fisher_et_al
ENSG00000179958,False,Frontal Lobe,Fisher_et_al
ENSG00000184792,False,Frontal Lobe,Fisher_et_al
ENSG00000169169,False,Frontal Lobe,Fisher_et_al
ENSG00000126243,False,Frontal Lobe,Fisher_et_al
ENSG00000143801,False,Frontal Lobe,Fisher_et_al
ENSG00000173418,False,Frontal Lobe,Fisher_et_al
ENSG00000197620,False,Frontal Lobe,Fisher_et_al
ENSG00000178802,False,Frontal Lobe,Fisher_et_al
ENSG00000134809,False,Frontal Lobe,Fisher_et_al
ENSG00000196405,False,Frontal Lobe,Fisher_et_al
ENSG00000145912,False,Frontal Lobe,Fisher_et_al
ENSG00000111669,False,Frontal Lobe,Fisher_et_al
ENSG00000146701,False,Frontal Lobe,Fisher_et_al
ENSG00000109390,False,Frontal Lobe,Fisher_et_al
ENSG00000115226,False,Frontal Lobe,Fisher_et_al
ENSG00000174109,False,Frontal Lobe,Fisher_et_al
ENSG00000100997,False,Frontal Lobe,Fisher_et_al
ENSG00000100600,False,Frontal Lobe,Fisher_et_al
ENSG00000170043,False,Frontal Lobe,Fisher_et_al
ENSG00000173486,False,Frontal Lobe,Fisher_et_al
ENSG00000178467,False,Frontal Lobe,Fisher_et_al
ENSG00000036530,False,Frontal Lobe,Fisher_et_al
ENSG00000115425,False,Frontal Lobe,Fisher_et_al
ENSG00000105671,False,Frontal Lobe,Fisher_et_al
ENSG00000179115,False,Frontal Lobe,Fisher_et_al
ENSG00000112578,False,Frontal Lobe,Fisher_et_al
ENSG00000140406,False,Frontal Lobe,Fisher_et_al
ENSG00000167515,False,Frontal Lobe,Fisher_et_al
ENSG00000127125,False,Frontal Lobe,Fisher_et_al
ENSG00000205542,False,Frontal Lobe,Fisher_et_al
ENSG00000167815,False,Frontal Lobe,Fisher_et_al
ENSG00000166557,False,Frontal Lobe,Fisher_et_al
ENSG00000109016,False,Frontal Lobe,Fisher_et_al
ENSG00000188186,False,Frontal Lobe,Fisher_et_al
ENSG00000183978,False,Frontal Lobe,Fisher_et_al
ENSG00000159720,False,Frontal Lobe,Fisher_et_al
ENSG00000161203,False,Frontal Lobe,Fisher_et_al
ENSG00000166199,False,Frontal Lobe,Fisher_et_al
ENSG00000137218,False,Frontal Lobe,Fisher_et_al
ENSG00000168701,False,Frontal Lobe,Fisher_et_al
ENSG00000107223,False,Frontal Lobe,Fisher_et_al
ENSG00000112651,False,Frontal Lobe,Fisher_et_al
ENSG00000130204,False,Frontal Lobe,Fisher_et_al
ENSG00000132600,False,Frontal Lobe,Fisher_et_al
ENSG00000134684,False,Frontal Lobe,Fisher_et_al
ENSG00000136950,False,Frontal Lobe,Fisher_et_al
ENSG00000132471,False,Frontal Lobe,Fisher_et_al
ENSG00000161981,False,Frontal Lobe,Fisher_et_al
ENSG00000174775,False,Frontal Lobe,Fisher_et_al
ENSG00000051009,False,Frontal Lobe,Fisher_et_al
ENSG00000218739,False,Frontal Lobe,Fisher_et_al
ENSG00000185813,False,Frontal Lobe,Fisher_et_al
ENSG00000059691,False,Frontal Lobe,Fisher_et_al
ENSG00000185359,False,Frontal Lobe,Fisher_et_al
ENSG00000185386,False,Frontal Lobe,Fisher_et_al
ENSG00000100379,False,Frontal Lobe,Fisher_et_al
ENSG00000031698,False,Frontal Lobe,Fisher_et_al
ENSG00000100442,False,Frontal Lobe,Fisher_et_al
ENSG00000172339,False,Frontal Lobe,Fisher_et_al
ENSG00000133142,False,Frontal Lobe,Fisher_et_al
ENSG00000130956,False,Frontal Lobe,Fisher_et_al
ENSG00000161980,False,Frontal Lobe,Fisher_et_al
ENSG00000146007,False,Frontal Lobe,Fisher_et_al
ENSG00000181610,False,Frontal Lobe,Fisher_et_al
ENSG00000147687,False,Frontal Lobe,Fisher_et_al
ENSG00000203879,False,Frontal Lobe,Fisher_et_al
ENSG00000169189,False,Frontal Lobe,Fisher_et_al
ENSG00000167699,False,Frontal Lobe,Fisher_et_al
ENSG00000167645,False,Frontal Lobe,Fisher_et_al
ENSG00000116260,False,Frontal Lobe,Fisher_et_al
ENSG00000139637,False,Frontal Lobe,Fisher_et_al
ENSG00000101152,False,Frontal Lobe,Fisher_et_al
ENSG00000148341,False,Frontal Lobe,Fisher_et_al
ENSG00000117410,False,Frontal Lobe,Fisher_et_al
ENSG00000168159,False,Frontal Lobe,Fisher_et_al
ENSG00000158793,False,Frontal Lobe,Fisher_et_al
ENSG00000156990,False,Frontal Lobe,Fisher_et_al
ENSG00000143727,False,Frontal Lobe,Fisher_et_al
ENSG00000132768,False,Frontal Lobe,Fisher_et_al
ENSG00000089280,False,Frontal Lobe,Fisher_et_al
ENSG00000188976,False,Frontal Lobe,Fisher_et_al
ENSG00000169288,False,Frontal Lobe,Fisher_et_al
ENSG00000117395,False,Frontal Lobe,Fisher_et_al
ENSG00000205356,False,Frontal Lobe,Fisher_et_al
ENSG00000102898,False,Frontal Lobe,Fisher_et_al
ENSG00000052749,False,Frontal Lobe,Fisher_et_al
ENSG00000103502,False,Frontal Lobe,Fisher_et_al
ENSG00000096080,False,Frontal Lobe,Fisher_et_al
ENSG00000174446,False,Frontal Lobe,Fisher_et_al
ENSG00000187446,False,Frontal Lobe,Fisher_et_al
ENSG00000056050,False,Frontal Lobe,Fisher_et_al
ENSG00000135972,False,Frontal Lobe,Fisher_et_al
ENSG00000148335,False,Frontal Lobe,Fisher_et_al
ENSG00000134779,False,Frontal Lobe,Fisher_et_al
ENSG00000148356,False,Frontal Lobe,Fisher_et_al
ENSG00000197586,False,Frontal Lobe,Fisher_et_al
ENSG00000117682,False,Frontal Lobe,Fisher_et_al
ENSG00000122705,False,Frontal Lobe,Fisher_et_al
ENSG00000169599,False,Frontal Lobe,Fisher_et_al
ENSG00000277972,False,Frontal Lobe,Fisher_et_al
ENSG00000106305,False,Frontal Lobe,Fisher_et_al
ENSG00000110074,False,Frontal Lobe,Fisher_et_al
ENSG00000150779,False,Frontal Lobe,Fisher_et_al
ENSG00000137409,False,Frontal Lobe,Fisher_et_al
ENSG00000121671,False,Frontal Lobe,Fisher_et_al
ENSG00000130414,False,Frontal Lobe,Fisher_et_al
ENSG00000166012,False,Frontal Lobe,Fisher_et_al
ENSG00000102897,False,Frontal Lobe,Fisher_et_al
ENSG00000143224,False,Frontal Lobe,Fisher_et_al
ENSG00000127540,False,Frontal Lobe,Fisher_et_al
ENSG00000204386,False,Frontal Lobe,Fisher_et_al
ENSG00000136521,False,Frontal Lobe,Fisher_et_al
ENSG00000204310,False,Frontal Lobe,Fisher_et_al
ENSG00000101365,False,Frontal Lobe,Fisher_et_al
ENSG00000204220,False,Frontal Lobe,Fisher_et_al
ENSG00000111667,False,Frontal Lobe,Fisher_et_al
ENSG00000113558,False,Frontal Lobe,Fisher_et_al
ENSG00000102225,False,Frontal Lobe,Fisher_et_al
ENSG00000156170,False,Frontal Lobe,Fisher_et_al
ENSG00000100284,False,Frontal Lobe,Fisher_et_al
ENSG00000090266,False,Frontal Lobe,Fisher_et_al
ENSG00000249915,False,Frontal Lobe,Fisher_et_al
ENSG00000068971,False,Frontal Lobe,Fisher_et_al
ENSG00000178982,False,Frontal Lobe,Fisher_et_al
ENSG00000141759,False,Frontal Lobe,Fisher_et_al
ENSG00000175203,False,Frontal Lobe,Fisher_et_al
ENSG00000071553,False,Frontal Lobe,Fisher_et_al
ENSG00000116857,False,Frontal Lobe,Fisher_et_al
ENSG00000120509,False,Frontal Lobe,Fisher_et_al
ENSG00000104691,False,Frontal Lobe,Fisher_et_al
ENSG00000089248,False,Frontal Lobe,Fisher_et_al
ENSG00000113068,False,Frontal Lobe,Fisher_et_al
ENSG00000032389,False,Frontal Lobe,Fisher_et_al
ENSG00000102312,False,Frontal Lobe,Fisher_et_al
ENSG00000067225,False,Frontal Lobe,Fisher_et_al
ENSG00000177225,False,Frontal Lobe,Fisher_et_al
ENSG00000120963,False,Frontal Lobe,Fisher_et_al
ENSG00000101363,False,Frontal Lobe,Fisher_et_al
ENSG00000171311,False,Frontal Lobe,Fisher_et_al
ENSG00000068308,False,Frontal Lobe,Fisher_et_al
ENSG00000005194,False,Frontal Lobe,Fisher_et_al
ENSG00000074842,False,Frontal Lobe,Fisher_et_al
ENSG00000137100,False,Frontal Lobe,Fisher_et_al
ENSG00000127884,False,Frontal Lobe,Fisher_et_al
ENSG00000087263,False,Frontal Lobe,Fisher_et_al
ENSG00000135486,False,Frontal Lobe,Fisher_et_al
ENSG00000126768,False,Frontal Lobe,Fisher_et_al
ENSG00000196510,False,Frontal Lobe,Fisher_et_al
ENSG00000110442,False,Frontal Lobe,Fisher_et_al
ENSG00000148834,False,Frontal Lobe,Fisher_et_al
ENSG00000100417,False,Frontal Lobe,Fisher_et_al
ENSG00000125755,False,Frontal Lobe,Fisher_et_al
ENSG00000131876,False,Frontal Lobe,Fisher_et_al
ENSG00000185627,False,Frontal Lobe,Fisher_et_al
ENSG00000110844,False,Frontal Lobe,Fisher_et_al
ENSG00000163866,False,Frontal Lobe,Fisher_et_al
ENSG00000100865,False,Frontal Lobe,Fisher_et_al
ENSG00000115685,False,Frontal Lobe,Fisher_et_al
ENSG00000254999,False,Frontal Lobe,Fisher_et_al
ENSG00000173818,False,Frontal Lobe,Fisher_et_al
ENSG00000104853,False,Frontal Lobe,Fisher_et_al
ENSG00000159377,False,Frontal Lobe,Fisher_et_al
ENSG00000165916,False,Frontal Lobe,Fisher_et_al
ENSG00000183020,False,Frontal Lobe,Fisher_et_al
ENSG00000131828,False,Frontal Lobe,Fisher_et_al
ENSG00000102309,False,Frontal Lobe,Fisher_et_al
ENSG00000177646,False,Frontal Lobe,Fisher_et_al
ENSG00000143436,False,Frontal Lobe,Fisher_et_al
ENSG00000116586,False,Frontal Lobe,Fisher_et_al
ENSG00000115694,False,Frontal Lobe,Fisher_et_al
ENSG00000104221,False,Frontal Lobe,Fisher_et_al
ENSG00000183258,False,Frontal Lobe,Fisher_et_al
ENSG00000119013,False,Frontal Lobe,Fisher_et_al
ENSG00000139625,False,Frontal Lobe,Fisher_et_al
ENSG00000000419,False,Frontal Lobe,Fisher_et_al
ENSG00000115317,False,Frontal Lobe,Fisher_et_al
ENSG00000116459,False,Frontal Lobe,Fisher_et_al
ENSG00000174547,False,Frontal Lobe,Fisher_et_al
ENSG00000103043,False,Frontal Lobe,Fisher_et_al
ENSG00000099901,False,Frontal Lobe,Fisher_et_al
ENSG00000106028,False,Frontal Lobe,Fisher_et_al
ENSG00000125037,False,Frontal Lobe,Fisher_et_al
ENSG00000178719,False,Frontal Lobe,Fisher_et_al
ENSG00000075914,False,Frontal Lobe,Fisher_et_al
ENSG00000136463,False,Frontal Lobe,Fisher_et_al
ENSG00000099341,False,Frontal Lobe,Fisher_et_al
ENSG00000011485,False,Frontal Lobe,Fisher_et_al
ENSG00000116221,False,Frontal Lobe,Fisher_et_al
ENSG00000161204,False,Frontal Lobe,Fisher_et_al
ENSG00000159352,False,Frontal Lobe,Fisher_et_al
ENSG00000155256,False,Frontal Lobe,Fisher_et_al
ENSG00000142168,False,Frontal Lobe,Fisher_et_al
ENSG00000136930,False,Frontal Lobe,Fisher_et_al
ENSG00000107874,False,Frontal Lobe,Fisher_et_al
ENSG00000117448,False,Frontal Lobe,Fisher_et_al
ENSG00000178952,False,Frontal Lobe,Fisher_et_al
ENSG00000104805,False,Frontal Lobe,Fisher_et_al
ENSG00000061794,False,Frontal Lobe,Fisher_et_al
ENSG00000121542,False,Frontal Lobe,Fisher_et_al
ENSG00000181991,False,Frontal Lobe,Fisher_et_al
ENSG00000132676,False,Frontal Lobe,Fisher_et_al
ENSG00000168259,False,Frontal Lobe,Fisher_et_al
ENSG00000100412,False,Frontal Lobe,Fisher_et_al
ENSG00000141556,False,Frontal Lobe,Fisher_et_al
ENSG00000172757,False,Frontal Lobe,Fisher_et_al
ENSG00000101421,False,Frontal Lobe,Fisher_et_al
ENSG00000165688,False,Frontal Lobe,Fisher_et_al
ENSG00000181163,False,Frontal Lobe,Fisher_et_al
ENSG00000136718,False,Frontal Lobe,Fisher_et_al
ENSG00000185721,False,Frontal Lobe,Fisher_et_al
ENSG00000113312,False,Frontal Lobe,Fisher_et_al
ENSG00000171861,False,Frontal Lobe,Fisher_et_al
ENSG00000102100,False,Frontal Lobe,Fisher_et_al
ENSG00000170291,False,Frontal Lobe,Fisher_et_al
ENSG00000143575,False,Frontal Lobe,Fisher_et_al
ENSG00000106244,False,Frontal Lobe,Fisher_et_al
ENSG00000090470,False,Frontal Lobe,Fisher_et_al
ENSG00000144867,False,Frontal Lobe,Fisher_et_al
ENSG00000109917,False,Frontal Lobe,Fisher_et_al
ENSG00000221909,False,Frontal Lobe,Fisher_et_al
ENSG00000140995,False,Frontal Lobe,Fisher_et_al
ENSG00000100764,False,Frontal Lobe,Fisher_et_al
ENSG00000172531,False,Frontal Lobe,Fisher_et_al
ENSG00000084072,False,Frontal Lobe,Fisher_et_al
ENSG00000134058,False,Frontal Lobe,Fisher_et_al
ENSG00000168090,False,Frontal Lobe,Fisher_et_al
