ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000258033,True,Temporal Lobe,Cho_et_al
ENSG00000260269,True,Temporal Lobe,Cho_et_al
ENSG00000255311,True,Temporal Lobe,Cho_et_al
ENSG00000046604,True,Temporal Lobe,Cho_et_al
ENSG00000182866,True,Temporal Lobe,Cho_et_al
ENSG00000213279,True,Temporal Lobe,Cho_et_al
ENSG00000201378,True,Temporal Lobe,Cho_et_al
ENSG00000259793,True,Temporal Lobe,Cho_et_al
ENSG00000106823,True,Temporal Lobe,Cho_et_al
ENSG00000217078,True,Temporal Lobe,Cho_et_al
ENSG00000221818,True,Temporal Lobe,Cho_et_al
ENSG00000039537,True,Temporal Lobe,Cho_et_al
ENSG00000170323,True,Temporal Lobe,Cho_et_al
ENSG00000203507,True,Temporal Lobe,Cho_et_al
ENSG00000205056,True,Temporal Lobe,Cho_et_al
ENSG00000074771,True,Temporal Lobe,Cho_et_al
ENSG00000115607,True,Temporal Lobe,Cho_et_al
ENSG00000251557,True,Temporal Lobe,Cho_et_al
ENSG00000225731,True,Temporal Lobe,Cho_et_al
ENSG00000213891,True,Temporal Lobe,Cho_et_al
ENSG00000100336,True,Temporal Lobe,Cho_et_al
ENSG00000215156,True,Temporal Lobe,Cho_et_al
ENSG00000233524,True,Temporal Lobe,Cho_et_al
ENSG00000124875,True,Temporal Lobe,Cho_et_al
ENSG00000164294,True,Temporal Lobe,Cho_et_al
ENSG00000168542,True,Temporal Lobe,Cho_et_al
ENSG00000101425,True,Temporal Lobe,Cho_et_al
ENSG00000268845,True,Temporal Lobe,Cho_et_al
ENSG00000180081,True,Temporal Lobe,Cho_et_al
ENSG00000196136,True,Temporal Lobe,Cho_et_al
ENSG00000186564,True,Temporal Lobe,Cho_et_al
ENSG00000162598,True,Temporal Lobe,Cho_et_al
ENSG00000198203,True,Temporal Lobe,Cho_et_al
ENSG00000073282,True,Temporal Lobe,Cho_et_al
ENSG00000252010,True,Temporal Lobe,Cho_et_al
ENSG00000124731,True,Temporal Lobe,Cho_et_al
ENSG00000007968,True,Temporal Lobe,Cho_et_al
ENSG00000225282,True,Temporal Lobe,Cho_et_al
ENSG00000182107,True,Temporal Lobe,Cho_et_al
ENSG00000147606,True,Temporal Lobe,Cho_et_al
ENSG00000273319,True,Temporal Lobe,Cho_et_al
ENSG00000225569,True,Temporal Lobe,Cho_et_al
ENSG00000171595,True,Temporal Lobe,Cho_et_al
ENSG00000187151,True,Temporal Lobe,Cho_et_al
ENSG00000163564,True,Temporal Lobe,Cho_et_al
ENSG00000141448,True,Temporal Lobe,Cho_et_al
ENSG00000120215,True,Temporal Lobe,Cho_et_al
ENSG00000205835,True,Temporal Lobe,Cho_et_al
ENSG00000258068,True,Temporal Lobe,Cho_et_al
ENSG00000169429,True,Temporal Lobe,Cho_et_al
ENSG00000225279,True,Temporal Lobe,Cho_et_al
ENSG00000205955,True,Temporal Lobe,Cho_et_al
ENSG00000138722,True,Temporal Lobe,Cho_et_al
ENSG00000243319,True,Temporal Lobe,Cho_et_al
ENSG00000181722,True,Temporal Lobe,Cho_et_al
ENSG00000267089,True,Temporal Lobe,Cho_et_al
ENSG00000183657,True,Temporal Lobe,Cho_et_al
ENSG00000145777,True,Temporal Lobe,Cho_et_al
ENSG00000258500,True,Temporal Lobe,Cho_et_al
ENSG00000128383,True,Temporal Lobe,Cho_et_al
ENSG00000230018,True,Temporal Lobe,Cho_et_al
ENSG00000234715,True,Temporal Lobe,Cho_et_al
ENSG00000233785,True,Temporal Lobe,Cho_et_al
ENSG00000237485,True,Temporal Lobe,Cho_et_al
ENSG00000229276,True,Temporal Lobe,Cho_et_al
ENSG00000260971,True,Temporal Lobe,Cho_et_al
ENSG00000269967,True,Temporal Lobe,Cho_et_al
ENSG00000235984,True,Temporal Lobe,Cho_et_al
ENSG00000225098,True,Temporal Lobe,Cho_et_al
ENSG00000187116,True,Temporal Lobe,Cho_et_al
ENSG00000261574,True,Temporal Lobe,Cho_et_al
ENSG00000126838,True,Temporal Lobe,Cho_et_al
ENSG00000120949,True,Temporal Lobe,Cho_et_al
ENSG00000148773,True,Temporal Lobe,Cho_et_al
ENSG00000248585,True,Temporal Lobe,Cho_et_al
ENSG00000102010,True,Temporal Lobe,Cho_et_al
ENSG00000196960,True,Temporal Lobe,Cho_et_al
ENSG00000144810,True,Temporal Lobe,Cho_et_al
ENSG00000258933,True,Temporal Lobe,Cho_et_al
ENSG00000241180,True,Temporal Lobe,Cho_et_al
ENSG00000231340,True,Temporal Lobe,Cho_et_al
ENSG00000260571,True,Temporal Lobe,Cho_et_al
ENSG00000112303,True,Temporal Lobe,Cho_et_al
ENSG00000167858,True,Temporal Lobe,Cho_et_al
ENSG00000198535,True,Temporal Lobe,Cho_et_al
ENSG00000234638,True,Temporal Lobe,Cho_et_al
ENSG00000200087,True,Temporal Lobe,Cho_et_al
ENSG00000253223,True,Temporal Lobe,Cho_et_al
ENSG00000108691,True,Temporal Lobe,Cho_et_al
ENSG00000171049,True,Temporal Lobe,Cho_et_al
ENSG00000096696,True,Temporal Lobe,Cho_et_al
ENSG00000163568,True,Temporal Lobe,Cho_et_al
ENSG00000231246,True,Temporal Lobe,Cho_et_al
ENSG00000186407,True,Temporal Lobe,Cho_et_al
ENSG00000228863,True,Temporal Lobe,Cho_et_al
ENSG00000169245,True,Temporal Lobe,Cho_et_al
ENSG00000240032,True,Temporal Lobe,Cho_et_al
ENSG00000163017,True,Temporal Lobe,Cho_et_al
ENSG00000272183,True,Temporal Lobe,Cho_et_al
ENSG00000226622,True,Temporal Lobe,Cho_et_al
ENSG00000102362,True,Temporal Lobe,Cho_et_al
ENSG00000173068,True,Temporal Lobe,Cho_et_al
ENSG00000267102,True,Temporal Lobe,Cho_et_al
ENSG00000099937,True,Temporal Lobe,Cho_et_al
ENSG00000164761,True,Temporal Lobe,Cho_et_al
ENSG00000180525,True,Temporal Lobe,Cho_et_al
ENSG00000140030,True,Temporal Lobe,Cho_et_al
ENSG00000188015,True,Temporal Lobe,Cho_et_al
ENSG00000230790,True,Temporal Lobe,Cho_et_al
ENSG00000255443,True,Temporal Lobe,Cho_et_al
ENSG00000233280,True,Temporal Lobe,Cho_et_al
ENSG00000140285,True,Temporal Lobe,Cho_et_al
ENSG00000205929,True,Temporal Lobe,Cho_et_al
ENSG00000255222,True,Temporal Lobe,Cho_et_al
ENSG00000204403,True,Temporal Lobe,Cho_et_al
ENSG00000225807,True,Temporal Lobe,Cho_et_al
ENSG00000006747,True,Temporal Lobe,Cho_et_al
ENSG00000219992,True,Temporal Lobe,Cho_et_al
ENSG00000172296,True,Temporal Lobe,Cho_et_al
ENSG00000055732,True,Temporal Lobe,Cho_et_al
ENSG00000249307,True,Temporal Lobe,Cho_et_al
ENSG00000239389,True,Temporal Lobe,Cho_et_al
ENSG00000255176,True,Temporal Lobe,Cho_et_al
ENSG00000267702,True,Temporal Lobe,Cho_et_al
ENSG00000260599,True,Temporal Lobe,Cho_et_al
ENSG00000215244,True,Temporal Lobe,Cho_et_al
ENSG00000090104,True,Temporal Lobe,Cho_et_al
ENSG00000246375,True,Temporal Lobe,Cho_et_al
ENSG00000154262,True,Temporal Lobe,Cho_et_al
ENSG00000249119,True,Temporal Lobe,Cho_et_al
ENSG00000229671,True,Temporal Lobe,Cho_et_al
ENSG00000254535,True,Temporal Lobe,Cho_et_al
ENSG00000166928,True,Temporal Lobe,Cho_et_al
ENSG00000248208,True,Temporal Lobe,Cho_et_al
ENSG00000266946,True,Temporal Lobe,Cho_et_al
ENSG00000228651,True,Temporal Lobe,Cho_et_al
ENSG00000133742,True,Temporal Lobe,Cho_et_al
ENSG00000234928,True,Temporal Lobe,Cho_et_al
ENSG00000183562,True,Temporal Lobe,Cho_et_al
ENSG00000154451,True,Temporal Lobe,Cho_et_al
ENSG00000133055,True,Temporal Lobe,Cho_et_al
ENSG00000267885,True,Temporal Lobe,Cho_et_al
ENSG00000130513,True,Temporal Lobe,Cho_et_al
ENSG00000254701,True,Temporal Lobe,Cho_et_al
ENSG00000273341,True,Temporal Lobe,Cho_et_al
ENSG00000162747,True,Temporal Lobe,Cho_et_al
ENSG00000177294,True,Temporal Lobe,Cho_et_al
ENSG00000179639,True,Temporal Lobe,Cho_et_al
ENSG00000259409,True,Temporal Lobe,Cho_et_al
ENSG00000165891,True,Temporal Lobe,Cho_et_al
ENSG00000188596,True,Temporal Lobe,Cho_et_al
ENSG00000259924,True,Temporal Lobe,Cho_et_al
ENSG00000124107,True,Temporal Lobe,Cho_et_al
ENSG00000239473,True,Temporal Lobe,Cho_et_al
ENSG00000106483,True,Temporal Lobe,Cho_et_al
ENSG00000235821,True,Temporal Lobe,Cho_et_al
ENSG00000198088,True,Temporal Lobe,Cho_et_al
ENSG00000159167,True,Temporal Lobe,Cho_et_al
ENSG00000006327,True,Temporal Lobe,Cho_et_al
ENSG00000171219,True,Temporal Lobe,Cho_et_al
ENSG00000263657,True,Temporal Lobe,Cho_et_al
ENSG00000136634,True,Temporal Lobe,Cho_et_al
ENSG00000165474,True,Temporal Lobe,Cho_et_al
ENSG00000236494,True,Temporal Lobe,Cho_et_al
ENSG00000214511,True,Temporal Lobe,Cho_et_al
ENSG00000138356,True,Temporal Lobe,Cho_et_al
ENSG00000203620,True,Temporal Lobe,Cho_et_al
ENSG00000110848,True,Temporal Lobe,Cho_et_al
ENSG00000158055,True,Temporal Lobe,Cho_et_al
ENSG00000026508,True,Temporal Lobe,Cho_et_al
ENSG00000268172,True,Temporal Lobe,Cho_et_al
ENSG00000204539,True,Temporal Lobe,Cho_et_al
ENSG00000229052,True,Temporal Lobe,Cho_et_al
ENSG00000237356,True,Temporal Lobe,Cho_et_al
ENSG00000213809,True,Temporal Lobe,Cho_et_al
ENSG00000135378,True,Temporal Lobe,Cho_et_al
ENSG00000052850,True,Temporal Lobe,Cho_et_al
ENSG00000224307,True,Temporal Lobe,Cho_et_al
ENSG00000112214,True,Temporal Lobe,Cho_et_al
ENSG00000268802,True,Temporal Lobe,Cho_et_al
ENSG00000106034,True,Temporal Lobe,Cho_et_al
ENSG00000152977,True,Temporal Lobe,Cho_et_al
ENSG00000228692,True,Temporal Lobe,Cho_et_al
ENSG00000269657,True,Temporal Lobe,Cho_et_al
ENSG00000015520,True,Temporal Lobe,Cho_et_al
