gene_id	gene_symbol	count	studies	regulation
ENSG00000145358	DDIT4L	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000148411	NACC2	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000149451	ADAM33	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000155980	KIF5A	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000157978	LDLRAP1	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000158186	MRAS	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000163820	FYCO1	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000164684	ZNF704	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000165821	SALL2	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000166716	ZNF592	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000166912	MTMR10	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000168209	DDIT4	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000168918	INPP5D	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000170439	METTL7B	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000170759	KIF5B	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000171388	APLN	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000177807	KCNJ10	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000183943	PRKX	2	Fisher_et_al, Marques-Coelho_et_al	Upregulated in AD
ENSG00000183963	SMTN	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000196154	S100A4	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000196517	SLC6A9	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000196739	COL27A1	2	Fisher_et_al, Panitch_et_al	Upregulated in AD
ENSG00000198417	MT1F	2	Marques-Coelho_et_al, Panitch_et_al	Upregulated in AD
ENSG00000021300	PLEKHB1	1	Panitch_et_al	Upregulated in AD
ENSG00000053702	NRIP2	1	Panitch_et_al	Upregulated in AD
ENSG00000055070	SZRD1	1	Panitch_et_al	Upregulated in AD
ENSG00000081913	PHLPP1	1	Panitch_et_al	Upregulated in AD
ENSG00000087116	ADAMTS2	1	Panitch_et_al	Upregulated in AD
ENSG00000088881	EBF4	1	Panitch_et_al	Upregulated in AD
ENSG00000092621	PHGDH	1	Panitch_et_al	Upregulated in AD
ENSG00000092820	EZR	1	Fisher_et_al	Upregulated in AD
ENSG00000100146	SOX10	1	Panitch_et_al	Upregulated in AD
ENSG00000104472	CHRAC1	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000105137	SYDE1	1	Panitch_et_al	Upregulated in AD
ENSG00000105227	PRX	1	Fisher_et_al	Upregulated in AD
ENSG00000106665	CLIP2	1	Panitch_et_al	Upregulated in AD
ENSG00000108349	CASC3	1	Panitch_et_al	Upregulated in AD
ENSG00000108784	NAGLU	1	Panitch_et_al	Upregulated in AD
ENSG00000111181	SLC6A12	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000111328	CDK2AP1	1	Panitch_et_al	Upregulated in AD
ENSG00000111602	TIMELESS	1	Panitch_et_al	Upregulated in AD
ENSG00000112039	FANCE	1	Panitch_et_al	Upregulated in AD
ENSG00000112851	ERBIN	1	Fisher_et_al	Upregulated in AD
ENSG00000117115	PADI2	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000117266	CDK18	1	Panitch_et_al	Upregulated in AD
ENSG00000119403	PHF19	1	Panitch_et_al	Upregulated in AD
ENSG00000123136	DDX39A	1	Panitch_et_al	Upregulated in AD
ENSG00000124126	PREX1	1	Panitch_et_al	Upregulated in AD
