ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000125966,False,Temporal Lobe,Cho_et_al
ENSG00000228170,False,Temporal Lobe,Cho_et_al
ENSG00000134072,False,Temporal Lobe,Cho_et_al
ENSG00000188976,False,Temporal Lobe,Cho_et_al
ENSG00000110042,False,Temporal Lobe,Cho_et_al
ENSG00000185163,False,Temporal Lobe,Cho_et_al
ENSG00000079102,False,Temporal Lobe,Cho_et_al
ENSG00000141404,False,Temporal Lobe,Cho_et_al
ENSG00000185090,False,Temporal Lobe,Cho_et_al
ENSG00000025772,False,Temporal Lobe,Cho_et_al
ENSG00000171798,False,Temporal Lobe,Cho_et_al
ENSG00000249042,False,Temporal Lobe,Cho_et_al
ENSG00000198908,False,Temporal Lobe,Cho_et_al
ENSG00000164535,False,Temporal Lobe,Cho_et_al
ENSG00000181790,False,Temporal Lobe,Cho_et_al
ENSG00000187601,False,Temporal Lobe,Cho_et_al
ENSG00000115290,False,Temporal Lobe,Cho_et_al
ENSG00000153982,False,Temporal Lobe,Cho_et_al
ENSG00000105723,False,Temporal Lobe,Cho_et_al
ENSG00000072195,False,Temporal Lobe,Cho_et_al
ENSG00000198841,False,Temporal Lobe,Cho_et_al
ENSG00000184056,False,Temporal Lobe,Cho_et_al
ENSG00000085415,False,Temporal Lobe,Cho_et_al
ENSG00000142192,False,Temporal Lobe,Cho_et_al
ENSG00000151500,False,Temporal Lobe,Cho_et_al
ENSG00000232119,False,Temporal Lobe,Cho_et_al
ENSG00000142235,False,Temporal Lobe,Cho_et_al
ENSG00000134057,False,Temporal Lobe,Cho_et_al
ENSG00000119771,False,Temporal Lobe,Cho_et_al
ENSG00000187189,False,Temporal Lobe,Cho_et_al
ENSG00000105568,False,Temporal Lobe,Cho_et_al
ENSG00000129625,False,Temporal Lobe,Cho_et_al
ENSG00000185627,False,Temporal Lobe,Cho_et_al
ENSG00000116353,False,Temporal Lobe,Cho_et_al
ENSG00000114631,False,Temporal Lobe,Cho_et_al
ENSG00000089693,False,Temporal Lobe,Cho_et_al
ENSG00000138190,False,Temporal Lobe,Cho_et_al
ENSG00000220205,False,Temporal Lobe,Cho_et_al
ENSG00000119865,False,Temporal Lobe,Cho_et_al
ENSG00000196230,False,Temporal Lobe,Cho_et_al
ENSG00000139725,False,Temporal Lobe,Cho_et_al
ENSG00000184349,False,Temporal Lobe,Cho_et_al
ENSG00000109670,False,Temporal Lobe,Cho_et_al
ENSG00000167889,False,Temporal Lobe,Cho_et_al
ENSG00000267053,False,Temporal Lobe,Cho_et_al
ENSG00000272091,False,Temporal Lobe,Cho_et_al
ENSG00000104093,False,Temporal Lobe,Cho_et_al
ENSG00000269609,False,Temporal Lobe,Cho_et_al
ENSG00000170846,False,Temporal Lobe,Cho_et_al
ENSG00000159335,False,Temporal Lobe,Cho_et_al
ENSG00000105538,False,Temporal Lobe,Cho_et_al
ENSG00000188042,False,Temporal Lobe,Cho_et_al
ENSG00000183092,False,Temporal Lobe,Cho_et_al
ENSG00000108176,False,Temporal Lobe,Cho_et_al
ENSG00000124659,False,Temporal Lobe,Cho_et_al
ENSG00000092068,False,Temporal Lobe,Cho_et_al
ENSG00000171130,False,Temporal Lobe,Cho_et_al
ENSG00000167136,False,Temporal Lobe,Cho_et_al
