gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
FGF10-INT1,,FGF10-INT1,True,Hippocampus,Magistry_et_al,1.9
DPP4-DT,ENSG00000230918,DPP4-DT,True,Hippocampus,Magistry_et_al,1.9
TRABD2A,ENSG00000186854,TRABD2A,True,Hippocampus,Magistry_et_al,1.9
LOC111721704,,LOC111721704,True,Hippocampus,Magistry_et_al,1.9
VAV3-AS1,ENSG00000230489,VAV3-AS1,True,Hippocampus,Magistry_et_al,1.9
GPR149,ENSG00000174948,GPR149,True,Hippocampus,Magistry_et_al,1.9
LOC109433677,,LOC109433677,True,Hippocampus,Magistry_et_al,1.9
SLFNL1-AS1,ENSG00000281207,SLFNL1-AS1,True,Hippocampus,Magistry_et_al,1.9
MKRN2OS,ENSG00000225526,MKRN2OS,True,Hippocampus,Magistry_et_al,1.9
DEGS2,ENSG00000168350,DEGS2,True,Hippocampus,Magistry_et_al,1.9
TRAM2-AS1,ENSG00000225791,TRAM2-AS1,True,Hippocampus,Magistry_et_al,1.9
DENND2C,ENSG00000175984,DENND2C,True,Hippocampus,Magistry_et_al,1.9
INS-IGF2,ENSG00000129965,INS-IGF2,True,Hippocampus,Magistry_et_al,1.9
TTLL6,ENSG00000170703,TTLL6,True,Hippocampus,Magistry_et_al,1.9
TNFAIP6,ENSG00000123610,TNFAIP6,True,Hippocampus,Magistry_et_al,1.9
THEMIS,ENSG00000172673,THEMIS,True,Hippocampus,Magistry_et_al,1.9
SERPINE1,ENSG00000106366,SERPINE1,True,Hippocampus,Magistry_et_al,1.9
SUSD3,ENSG00000157303,SUSD3,True,Hippocampus,Magistry_et_al,1.9
PIGBOS1,ENSG00000225973,PIGBOS1,True,Hippocampus,Magistry_et_al,1.9
TMEM132E-DT,ENSG00000197322,TMEM132E-DT,True,Hippocampus,Magistry_et_al,1.9
SETD9,ENSG00000155542,SETD9,True,Hippocampus,Magistry_et_al,1.9
UMODL1-AS1,ENSG00000184385,UMODL1-AS1,True,Hippocampus,Magistry_et_al,1.9
LCN12,ENSG00000184925,LCN12,True,Hippocampus,Magistry_et_al,1.9
