gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
ASMTL,ENSG00000169093,ASMTL,False,Temporal Lobe,Felsky_et_al,1.7
SYCE1,ENSG00000171772,SYCE1,False,Temporal Lobe,Felsky_et_al,1.7
HMCN2,ENSG00000148357,HMCN2,False,Temporal Lobe,Felsky_et_al,1.7
IQSEC3,ENSG00000262607,IQSEC3,False,Temporal Lobe,Felsky_et_al,1.7
ZNF726,ENSG00000213967,ZNF726,False,Temporal Lobe,Felsky_et_al,1.7
LINC01003,ENSG00000261455,LINC01003,False,Temporal Lobe,Felsky_et_al,1.7
ZNF573,126231,ZNF573,False,Temporal Lobe,Felsky_et_al,1.7
PAQR6,ENSG00000160781,PAQR6,False,Temporal Lobe,Felsky_et_al,1.7
FLJ45513,ENSG00000204584,FLJ45513,False,Temporal Lobe,Felsky_et_al,1.7
ACTBP7,ENSG00000185607,ACTBP7,False,Temporal Lobe,Felsky_et_al,1.7
RPH3A,ENSG00000089169,RPH3A,False,Temporal Lobe,Felsky_et_al,1.7
KHDRBS1,ENSG00000121774,KHDRBS1,False,Temporal Lobe,Felsky_et_al,1.7
LINC02232,ENSG00000250125,LINC02232,False,Temporal Lobe,Felsky_et_al,1.7
H2BC13,ENSG00000185130,H2BC13,False,Temporal Lobe,Felsky_et_al,1.7
CHMP2A,ENSG00000130724,CHMP2A,False,Temporal Lobe,Felsky_et_al,1.7
LOC100132249,ENSG00000279561,LOC100132249,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000276417,ENSG00000276417,,False,Temporal Lobe,Felsky_et_al,1.7
GUF1,ENSG00000151806,GUF1,False,Temporal Lobe,Felsky_et_al,1.7
PNMA3,ENSG00000183837,PNMA3,False,Temporal Lobe,Felsky_et_al,1.7
TMEM271,ENSG00000273238,TMEM271,False,Temporal Lobe,Felsky_et_al,1.7
PFKL,ENSG00000141959,PFKL,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000272321,ENSG00000272321,,False,Temporal Lobe,Felsky_et_al,1.7
SMIM10L2A,ENSG00000178947,SMIM10L2A,False,Temporal Lobe,Felsky_et_al,1.7
SLC27A4,ENSG00000167114,SLC27A4,False,Temporal Lobe,Felsky_et_al,1.7
ANAPC15,ENSG00000110200,ANAPC15,False,Temporal Lobe,Felsky_et_al,1.7
VSTM2A-OT1,ENSG00000224223,VSTM2A-OT1,False,Temporal Lobe,Felsky_et_al,1.7
ALDOC,ENSG00000109107,ALDOC,False,Temporal Lobe,Felsky_et_al,1.7
PRDM2,ENSG00000116731,PRDM2,False,Temporal Lobe,Felsky_et_al,1.7
NRGN,ENSG00000154146,NRGN,False,Temporal Lobe,Felsky_et_al,1.7
