gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
ARID2|ENSG00000189079	0.40316569	0.00010894	29	Control	AD
SETD5|ENSG00000168137	0.31055794	0.0001092	29	Control	AD
GJC1|ENSG00000182963	0.65643855	0.00010939	29	Control	AD
PCYOX1L|ENSG00000145882	-0.7191771	0.00010975	29	Control	AD
DNAJC30|ENSG00000176410	-0.6512694	0.00011029	29	Control	AD
NFATC2|ENSG00000101096	0.90996575	0.00011057	29	Control	AD
SOCS6|ENSG00000170677	0.44647683	0.00011238	29	Control	AD
ZNRF3|ENSG00000183579	0.8771548	0.00011259	29	Control	AD
WDR76|ENSG00000092470	0.67729276	0.00011369	29	Control	AD
NUP160|ENSG00000030066	0.50810627	0.00011393	29	Control	AD
DNMBP|ENSG00000107554	0.49638496	0.00011509	29	Control	AD
EGLN1|ENSG00000135766	0.33337656	0.00011512	29	Control	AD
NHLRC2|ENSG00000196865	0.4381728	0.00011643	29	Control	AD
CD2AP|ENSG00000198087	0.55140627	0.00011998	29	Control	AD
TRPS1|ENSG00000104447	0.75451987	0.00012012	29	Control	AD
WDFY3|ENSG00000163625	0.40454803	0.00012017	29	Control	AD
TGFB2|ENSG00000092969	1.03794299	0.00012124	29	Control	AD
EXTL1|ENSG00000158008	-0.7401465	0.00012335	29	Control	AD
RESF1|ENSG00000174718	0.47357437	0.00012376	29	Control	AD
KCNF1|ENSG00000162975	-0.7056764	0.00012413	29	Control	AD
PTPN21|ENSG00000070778	0.48278313	0.00012559	29	Control	AD
KIRREL2|ENSG00000126259	-0.9014207	0.00012946	29	Control	AD
IDH3B|ENSG00000101365	-0.2998238	0.00013145	29	Control	AD
QSOX1|ENSG00000116260	-0.32088	0.00013448	29	Control	AD
ITPR2|ENSG00000123104	0.96304911	0.00013502	29	Control	AD
FKBP3|ENSG00000100442	-0.3307162	0.00013512	29	Control	AD
CCDC160|ENSG00000203952	0.84122845	0.00014137	29	Control	AD
PPP1R3D|ENSG00000132825	0.56131306	0.00014216	29	Control	AD
TNPO1|ENSG00000083312	0.41914285	0.00014228	29	Control	AD
RHOV|ENSG00000104140	-1.0613679	0.00014399	29	Control	AD
TDRKH|ENSG00000182134	-0.446763	0.00014419	29	Control	AD
ZBTB34|ENSG00000177125	0.38332874	0.00014434	29	Control	AD
ZNF792|ENSG00000180884	0.79145256	0.00014621	29	Control	AD
GPATCH8|ENSG00000186566	0.27659294	0.00014638	29	Control	AD
RUSF1|ENSG00000140688	-0.3762414	0.00015017	29	Control	AD
CREBBP|ENSG00000005339	0.41362915	0.00015375	29	Control	AD
ZNF622|ENSG00000173545	-0.3954828	0.000155	29	Control	AD
SPCS1|ENSG00000114902	-0.4141096	0.00015501	29	Control	AD
GSPT1|ENSG00000103342	0.28690538	0.00015794	29	Control	AD
DLG5|ENSG00000151208	0.53047665	0.00015857	29	Control	AD
FRS2|ENSG00000166225	0.38050623	0.00015871	29	Control	AD
JMJD4|ENSG00000081692	-0.573229	0.00015889	29	Control	AD
ACACB|ENSG00000076555	0.80166666	0.00016002	29	Control	AD
KIF5A|ENSG00000155980	0.68760363	0.00016089	29	Control	AD
SRM|ENSG00000116649	-0.3854929	0.00016288	29	Control	AD
HTRA2|ENSG00000115317	-0.2601812	0.00016375	29	Control	AD
SLC27A4|ENSG00000167114	-0.4496997	0.00016422	29	Control	AD
PHYHD1|ENSG00000175287	0.99405417	0.00016452	29	Control	AD
ANAPC7|ENSG00000196510	-0.2780929	0.00016471	29	Control	AD
FGD4|ENSG00000139132	0.4966171	0.00016485	29	Control	AD
PAN3|ENSG00000152520	0.29180481	0.00016487	29	Control	AD
MERTK|ENSG00000153208	0.90805222	0.00016565	29	Control	AD
FAM131A|ENSG00000175182	-0.558755	0.00016647	29	Control	AD
LCA5|ENSG00000135338	0.43132083	0.00016715	29	Control	AD
NEDD9|ENSG00000111859	0.68094169	0.00016754	29	Control	AD
RGS1|ENSG00000090104	2.31316387	0.00016785	29	Control	AD
PPARA|ENSG00000186951	0.71130188	0.00016962	29	Control	AD
EOLA1|ENSG00000197620	-0.3594457	0.00017004	29	Control	AD
PYCR3|ENSG00000276657	-0.8107645	0.00017126	29	Control	AD
TIMM8B|ENSG00000150779	-0.3031131	0.00017176	29	Control	AD
CLEC4E|ENSG00000166523	2.25377109	0.00017202	29	Control	AD
NHP2|ENSG00000145912	-0.3556617	0.00017535	29	Control	AD
COPS7A|ENSG00000111652	-0.4580929	0.00017554	29	Control	AD
KIF16B|ENSG00000089177	0.32852837	0.00017683	29	Control	AD
