MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
LOC100419318|ENSG00000250037	ad	control	31.00	0.303	0.7618	??????+?
PNPT1P2|ENSG00000233272	ad	control	62.00	-0.046	0.9634	?????--?
FBXL4|ENSG00000112234	ad	control	279.00	0.058	0.9538	-----+++
TMSB4XP4|ENSG00000223551	ad	control	168.00	0.006	0.995	?????-+-
PFKFB4|ENSG00000114268	ad	control	279.00	-2.347	0.01892	------+-
IRF2BPL|ENSG00000119669	ad	control	279.00	-4.021	5.803e-05	--------
GLRA2|ENSG00000101958	ad	control	279.00	-0.102	0.9187	++++---+
LINC02625|ENSG00000233643	ad	control	31.00	0.122	0.9026	?????+??
TRBC2|ENSG00000211772	ad	control	168.00	-0.672	0.5019	?????---
BPIFC|ENSG00000184459	ad	control	62.00	-0.492	0.623	?????--?
FAM186B|ENSG00000135436	ad	control	173.00	-2.867	0.004137	-------?
CEP295|ENSG00000166004	ad	control	173.00	-0.197	0.8435	----+++?
EPHB2|ENSG00000133216	ad	control	279.00	-1.522	0.1279	+---+---
FBXW2|ENSG00000119402	ad	control	279.00	2.907	0.003651	++++++++
FCGR1BP|ENSG00000291135	ad	control	106.00	0.069	0.945	???????+
LGALS9C|ENSG00000171916	ad	control	62.00	0.531	0.5952	?????++?
CCDC28A|ENSG00000024862	ad	control	173.00	1.987	0.04693	+++++--?
HDAC9|ENSG00000048052	ad	control	279.00	0.655	0.5127	++-++-+-
FGF5|ENSG00000138675	ad	control	279.00	-0.132	0.8946	+++++--+
SNORD115-48|ENSG00000201634	ad	control	31.00	0.854	0.3932	??????+?
B4GALT4-AS1|ENSG00000240254	ad	control	106.00	0.613	0.54	???????+
NTN1|ENSG00000065320	ad	control	279.00	-2.274	0.02294	----+---
SAMD15|ENSG00000100583	ad	control	279.00	0.470	0.6383	---+++-+
AFF4-DT|ENSG00000272023	ad	control	168.00	0.375	0.708	?????+-+
RPSAP17|ENSG00000226855	ad	control	62.00	0.425	0.6705	?????++?
MIR6750|ENSG00000274986	ad	control	31.00	-0.121	0.9041	??????-?
PTP4A1P6|ENSG00000254727	ad	control	106.00	-0.494	0.621	???????-
MUC5AC|ENSG00000291363	ad	control	31.00	-0.131	0.8958	??????-?
SNORD115-3|ENSG00000199970	ad	control	31.00	0.231	0.817	??????+?
SNORA27|ENSG00000207051	ad	control	106.00	1.211	0.226	???????+
AGAP12P|ENSG00000265018	ad	control	101.00	-0.864	0.3878	????+--?
