MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
RPL36AP45|ENSG00000240366	ad	control	62.0	-0.088	0.9301	??????+-??????	0.9992687041810332
LOC105373780|ENSG00000283839	ad	control	124.0	-0.549	0.5831	?????----?????	0.9912799273594006
LINC01846|ENSG00000248901	ad	control	31.0	-0.146	0.8837	??????-???????	0.9992687041810332
RPL39|ENSG00000198918	ad	control	659.0	-0.474	0.6355	-------+++-++?	0.9992687041810332
RWDD4P1|ENSG00000244490	ad	control	548.0	-1.225	0.2204	?????----+---?	0.62885059529479
MIR6829|ENSG00000276489	ad	control	62.0	0.421	0.6736	??????++??????	0.9992687041810332
LINC01416|ENSG00000260930	ad	control	124.0	-0.28	0.7792	?????+++-?????	0.9992687041810332
SNRPB2|ENSG00000125870	ad	control	687.0	-1.435	0.1513	++++--------+-	0.5109743855693347
AKAIN1|ENSG00000231824	ad	control	576.0	-0.114	0.9089	?????-++-+--++	0.9992687041810332
NWD1|ENSG00000188039	ad	control	687.0	-1.539	0.1239	-----++++-----	0.45736887245841035
ERP44|ENSG00000023318	ad	control	687.0	-0.817	0.4138	+++++----++++-	0.8630364687043097
CSDE1|ENSG00000009307	ad	control	687.0	0.532	0.5945	++-+-++++-+++-	0.9973031304250435
URAHP|ENSG00000222019	ad	control	587.0	-0.528	0.5973	????+--+-+---?	0.9985333333333334
NKX2-4|ENSG00000125816	ad	control	124.0	-0.229	0.8192	?????--+-?????	0.9992687041810332
SNORA9B|ENSG00000206897	ad	control	62.0	-0.167	0.8676	??????+?-?????	0.9992687041810332
TLE1|ENSG00000196781	ad	control	235.0	-2.103	0.03548	-------++?????	0.22055174932558622
MSC|ENSG00000178860	ad	control	235.0	2.057	0.0397	++++++---?????	0.23549568316831682
EBI3|ENSG00000105246	ad	control	191.0	-1.613	0.1068	????-+---????-	0.4202417969263103
NUP133-DT|ENSG00000223635	ad	control	576.0	1.415	0.1571	?????--+-+++++	0.5219706743566992
SYNGAP1-AS1|ENSG00000274259	ad	control	576.0	-0.633	0.5265	?????---++---+	0.9559266622219528
SPPL2B|ENSG00000005206	ad	control	659.0	-0.695	0.4872	--+++-+------?	0.9267566167132334
LINC03036|ENSG00000229272	ad	control	124.0	-0.166	0.8683	?????-+--?????	0.9992687041810332
RAB29|ENSG00000117280	ad	control	687.0	-3.869	0.0001094	-----++++---+-	0.006870411740041929
H1-10-AS1|ENSG00000206417	ad	control	163.0	2.967	0.003004	????+++++?????	0.05077660202931229
LINC00242|ENSG00000229214	ad	control	196.0	-0.533	0.5939	++++?----?????	0.9970224389150415
DMBT1L1|ENSG00000176584	ad	control	124.0	-0.046	0.9632	?????-++-?????	0.9992687041810332
MIR4664|ENSG00000265660	ad	control	124.0	-0.556	0.5781	?????---+?????	0.989797159413703
LCN1|ENSG00000160349	ad	control	152.0	-1.533	0.1253	?????----????+	0.4601553021944342
GSDMB|ENSG00000073605	ad	control	235.0	-0.192	0.8474	-----++--?????	0.9992687041810332
RNU7-57P|ENSG00000238365	ad	control	62.0	-0.915	0.3601	??????-?-?????	0.8071801556420233
RN7SL49P|ENSG00000265802	ad	control	124.0	0.483	0.6291	?????-+++?????	0.9992687041810332
RNA5S15|ENSG00000201925	ad	control	424.0	-0.329	0.742	?????????---+?	0.9992687041810332
ADAM8|ENSG00000151651	ad	control	263.0	-2.459	0.01394	----+-+++????-	0.12793708333333334
NTRK2|ENSG00000148053	ad	control	687.0	0.19	0.8491	++++------++++	0.9992687041810332
LINC02076|ENSG00000220161	ad	control	124.0	0.378	0.7058	?????++-+?????	0.9992687041810332
RPSAP49|ENSG00000226327	ad	control	31.0	-0.011	0.9916	????????-?????	0.9992687041810332
LINC01801|ENSG00000267767	ad	control	93.0	0.454	0.6496	?????++?+?????	0.9992687041810332
RAB39A|ENSG00000179331	ad	control	687.0	-1.214	0.2249	++-+-----+-+++	0.6356358524389093
SRGAP3-AS2|ENSG00000228723	ad	control	31.0	-0.207	0.8359	?????-????????	0.9992687041810332
FAM106B|ENSG00000287751	ad	control	424.0	-0.567	0.5707	?????????+---?	0.9866618110463438
LDB1|ENSG00000198728	ad	control	235.0	0.185	0.8535	+++++----?????	0.9992687041810332
SDCBP2-AS1|ENSG00000234684	ad	control	615.0	1.397	0.1623	????++++++--++	0.5321649299474607
RBPMS2|ENSG00000166831	ad	control	224.0	-4.833	1.343e-06	----?----????-	0.00037598979439252335
ADIG|ENSG00000182035	ad	control	124.0	-0.87	0.3843	?????-+--?????	0.8339073379210431
SYS1-DBNDD2|ENSG00000254806	ad	control	615.0	0.201	0.8404	????++----++--	0.9992687041810332
COMMD1|ENSG00000173163	ad	control	687.0	1.247	0.2122	+++++-+--+-+++	0.6166727978269305
NARF-AS2|ENSG00000265458	ad	control	124.0	-0.611	0.5411	?????++--?????	0.9676551608859174
CCDC85A|ENSG00000055813	ad	control	656.0	2.252	0.02434	+++++?-+-++-++	0.17941167322834647
IFNAR1|ENSG00000142166	ad	control	235.0	-2.216	0.02668	++++-----?????	0.18845227069087478
PIGG|ENSG00000174227	ad	control	687.0	1.64	0.101	+++++++++++++-	0.40759207867439046
CLECL1P|ENSG00000184293	ad	control	124.0	-0.452	0.651	?????++--?????	0.9992687041810332
BNIP3P25|ENSG00000268322	ad	control	424.0	0.695	0.4868	?????????+++-?	0.9264663786531131
GDPD1|ENSG00000153982	ad	control	687.0	1.712	0.08683	+++++----++-++	0.3738257372808278
MUC7|ENSG00000171195	ad	control	31.0	-0.131	0.8954	?????-????????	0.9992687041810332
ZNF831|ENSG00000124203	ad	control	687.0	-0.532	0.5946	--+--+---+--++	0.9973033370660694
ZNF731P|ENSG00000227671	ad	control	587.0	0.3	0.7644	????-+++--+++?	0.9992687041810332
INHA|ENSG00000123999	ad	control	152.0	-1.946	0.05161	?????----????+	0.27524541117835527
ARL2|ENSG00000213465	ad	control	235.0	2.49	0.01276	++++-++++?????	0.1213070644239924
HRH1|ENSG00000196639	ad	control	235.0	-0.185	0.8533	++++-----?????	0.9992687041810332
LINC01852|ENSG00000236914	ad	control	124.0	-0.596	0.5513	?????--++?????	0.9731154793471216
STMN1P1|ENSG00000276058	ad	control	548.0	0.331	0.7408	?????++-+-+++?	0.9992687041810332
MICU3|ENSG00000155970	ad	control	687.0	2.792	0.005246	+++++----++-++	0.07069238686459739
BRPF1|ENSG00000156983	ad	control	235.0	-0.335	0.7378	-----++++?????	0.9992687041810332
Y_RNA|ENSG00000200788	ad	control	93.0	0.128	0.898	??????-+-?????	0.9992687041810332
BCL2L2-PABPN1|ENSG00000258643	ad	control	615.0	0.861	0.3892	????+++++-+++-	0.8388887034105627
ETDB|ENSG00000224107	ad	control	31.0	-0.252	0.8007	??????-???????	0.9992687041810332
TNK2-AS1|ENSG00000224614	ad	control	514.0	-1.607	0.108	?????--??----+	0.42318482668410723
APOBEC3A|ENSG00000262156	ad	control	124.0	-0.183	0.8545	?????--++?????	0.9992687041810332
ZNF346|ENSG00000113761	ad	control	235.0	-1.658	0.09727	-+---+---?????	0.3986074035567715
HMG20B|ENSG00000064961	ad	control	687.0	-3.269	0.001078	-----++++--+--	0.027048137238493728
KTN1-AS1|ENSG00000186615	ad	control	615.0	-1.218	0.2232	????+--+---+--	0.6331609090909092
DLG2-AS2|ENSG00000255311	ad	control	514.0	2.288	0.02216	??????-?-+++++	0.1687833613018052
OLFML3|ENSG00000116774	ad	control	687.0	-1.995	0.04599	-------++--+-+	0.2570291865671642
MEX3A|ENSG00000254726	ad	control	263.0	-3.667	0.0002454	-----++--????-	0.011119414177978886
FLYWCH2|ENSG00000162076	ad	control	687.0	-0.963	0.3353	-+++---------+	0.7804191644665321
CRYBB2P1|ENSG00000100058	ad	control	163.0	1.947	0.05154	????+++++?????	0.2750636451095671
WWOX-AS1|ENSG00000260969	ad	control	452.0	-0.322	0.7471	?????????-0+--	0.9992687041810332
SEPTIN7-DT|ENSG00000228878	ad	control	235.0	2.776	0.005498	+--++-+++?????	0.0724210989010989
MIR769|ENSG00000211580	ad	control	62.0	-0.123	0.9022	??????-?+?????	0.9992687041810332
FCGR2A|ENSG00000143226	ad	control	687.0	-2.891	0.003841	+----++----+--	0.058407360730593605
PCDHB8|ENSG00000291682	ad	control	263.0	-0.086	0.9314	--+-+----????+	0.9992687041810332
LOC105371115|ENSG00000261195	ad	control	548.0	2.319	0.02042	?????++++----?	0.16034115858453474
PTPRF|ENSG00000142949	ad	control	687.0	-1.75	0.08003	+----------+-+	0.35664663493008036
STK36|ENSG00000163482	ad	control	687.0	-2.53	0.01141	--+--++-------	0.11321562106657834
ARL6IP1|ENSG00000170540	ad	control	687.0	2.393	0.0167	+++++----++-++	0.1422420244526585
CD163L1|ENSG00000177675	ad	control	263.0	-1.93	0.05356	+--++----????+	0.28158955271005087
