MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
GOLGA6L11P|ENSG00000223698	ad	control	137.00	-0.046	0.9633	?+-
COX5B|ENSG00000291596	ad	control	176.00	0.171	0.8646	+--
PPIEL|ENSG00000243970	ad	control	137.00	-0.066	0.9472	?-+
PRMT3|ENSG00000185238	ad	control	176.00	0.478	0.6327	+-+
KRT72|ENSG00000170486	ad	control	31.00	0.157	0.8754	?+?
KIF12|ENSG00000136883	ad	control	31.00	-2.272	0.02309	?-?
RBM12B-DT|ENSG00000253848	ad	control	137.00	0.125	0.9006	?-+
RPE|ENSG00000197713	ad	control	176.00	0.186	0.8526	+-+
CYP4Z2P|ENSG00000154198	ad	control	31.00	-0.051	0.9593	?-?
MIR4635|ENSG00000263834	ad	control	31.00	-0.339	0.7345	?-?
ZNF33BP1|ENSG00000225192	ad	control	176.00	0.391	0.6959	+--
SH3PXD2A-AS1|ENSG00000280693	ad	control	137.00	-1.198	0.2308	?--
SPAG6|ENSG00000077327	ad	control	137.00	-0.703	0.4822	?--
ZBED4|ENSG00000100426	ad	control	176.00	-1.212	0.2257	---
PSMD10|ENSG00000101843	ad	control	176.00	-0.624	0.5323	--+
CADM4|ENSG00000105767	ad	control	176.00	-0.200	0.8412	++-
RPL21P3|ENSG00000225419	ad	control	31.00	0.828	0.4075	?+?
RESF1|ENSG00000174718	ad	control	176.00	-0.232	0.8167	-+-
GINS1|ENSG00000101003	ad	control	70.00	-1.576	0.115	--?
GUCY2EP|ENSG00000204529	ad	control	31.00	0.308	0.7582	?+?
FH|ENSG00000091483	ad	control	70.00	0.487	0.6265	+-?
TRIP11|ENSG00000100815	ad	control	176.00	1.516	0.1296	++-
MALT1|ENSG00000172175	ad	control	176.00	0.437	0.662	--+
MACROD2-AS1|ENSG00000235914	ad	control	106.00	0.307	0.759	??+
SLC16A13|ENSG00000174327	ad	control	31.00	-1.148	0.2509	?-?
LMO7DN|ENSG00000178734	ad	control	137.00	0.724	0.4691	?-+
RPL24P5|ENSG00000235582	ad	control	31.00	0.215	0.8298	?+?
EIF2AK1|ENSG00000086232	ad	control	70.00	0.965	0.3347	++?
TNPO2|ENSG00000105576	ad	control	176.00	1.494	0.1352	+-+
RPP40|ENSG00000124787	ad	control	176.00	-1.003	0.316	---
SLC25A15P5|ENSG00000249288	ad	control	137.00	-0.551	0.5814	?+-
SPATA17|ENSG00000162814	ad	control	70.00	-0.781	0.4346	--?
C1orf105|ENSG00000180999	ad	control	31.00	0.711	0.4773	?+?
ADD3|ENSG00000148700	ad	control	70.00	-0.751	0.4524	-+?
NUDT19|ENSG00000213965	ad	control	176.00	-1.345	0.1785	--+
CIBAR1P1|ENSG00000157021	ad	control	31.00	0.009	0.9925	?+?
NFIA|ENSG00000162599	ad	control	70.00	-2.058	0.03958	-+?
CEMIP|ENSG00000103888	ad	control	176.00	-2.050	0.04039	-+-
