MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
RPL37P6|ENSG00000241431	ad	control	62.0	1.169	0.2423	?????++?	0.6226170650908766
POMC|ENSG00000115138	ad	control	101.0	-0.579	0.5628	????+--?	0.9413894393285931
LOC100419830|ENSG00000275488	ad	control	106.0	-0.429	0.668	???????-	0.9963931188607661
OR6E1P|ENSG00000235213	ad	control	106.0	-0.732	0.464	???????-	0.8692995626346367
SCAMP1|ENSG00000085365	ad	control	173.0	1.936	0.0529	+++++--?	0.24861744966442953
ASB8|ENSG00000177981	ad	control	279.0	2.496	0.01258	++++---+	0.09959889655172413
SBDSP1|ENSG00000291152	ad	control	106.0	0.475	0.635	???????+	0.9829212271526393
LOC124902114|ENSG00000286162	ad	control	62.0	-0.11	0.9121	?????-+?	0.9991427871662993
ENPP5|ENSG00000112796	ad	control	279.0	0.952	0.3409	+++++--+	0.7520238278247502
RASL12|ENSG00000103710	ad	control	279.0	-3.983	6.806e-05	--------	0.003469488454706927
ADAMTSL3|ENSG00000291606	ad	control	279.0	-1.344	0.179	-----++-	0.5233598207008965
LINC01378|ENSG00000236922	ad	control	134.0	-0.377	0.7059	+-++?--?	0.9991427871662993
CPLANE1-AS1|ENSG00000286193	ad	control	62.0	1.139	0.2548	?????-+?	0.6405150214592275
GAS2|ENSG00000148935	ad	control	279.0	2.803	0.005059	++++++++	0.055972744795682344
RBM6|ENSG00000004534	ad	control	279.0	-2.716	0.006612	-----++-	0.06626544502617801
LINC02302|ENSG00000258998	ad	control	62.0	-0.65	0.5156	?????+-?	0.9090625383953802
TFDP3|ENSG00000183434	ad	control	31.0	0.023	0.9818	??????+?	0.9991427871662993
ANKRD22|ENSG00000152766	ad	control	62.0	-1.156	0.2475	?????--?	0.629720744680851
AQR|ENSG00000021776	ad	control	279.0	3.853	0.0001165	++++-+++	0.004863982558139535
SYNE1-AS1|ENSG00000234577	ad	control	137.0	0.547	0.5842	??????-+	0.9539451524806556
BMPR1AP2|ENSG00000232460	ad	control	31.0	0.197	0.8439	??????+?	0.9991427871662993
KRT33B|ENSG00000292028	ad	control	62.0	-1.453	0.1462	?????--?	0.46502715283165247
TTC3P1|ENSG00000215105	ad	control	207.0	0.912	0.3618	????+--+	0.7742644098128403
LIN54|ENSG00000189308	ad	control	279.0	3.066	0.002168	+++++--+	0.03187581967213114
OR13J1|ENSG00000168828	ad	control	72.0	-0.587	0.5575	+---????	0.9387614409762967
NOP56|ENSG00000101361	ad	control	279.0	0.733	0.4633	--+-+++-	0.868986804285341
ARID5B|ENSG00000150347	ad	control	279.0	0.921	0.3573	++++-+-+	0.7706681196452727
LINC00674|ENSG00000237854	ad	control	168.0	1.296	0.195	?????+++	0.5496464348850914
HSD52|ENSG00000224609	ad	control	62.0	-2.269	0.02325	?????--?	0.14717137185707985
LOC124900460|ENSG00000201151	ad	control	62.0	-0.004	0.997	?????-+?	0.999149560117302
PCDHGA4|ENSG00000262576	ad	control	279.0	-2.03	0.04231	----+---	0.21533906721049834
GOLGA6L2|ENSG00000288517	ad	control	31.0	0.021	0.9831	??????+?	0.9991427871662993
ZNF337|ENSG00000130684	ad	control	173.0	-1.349	0.1772	-------?	0.520110452035181
GTPBP8|ENSG00000163607	ad	control	279.0	2.405	0.01616	++++-+++	0.1161940410615924
ZNF488|ENSG00000265763	ad	control	279.0	2.155	0.03115	-++-+++-	0.17762865090403337
ISM1-AS1|ENSG00000226263	ad	control	31.0	0.022	0.9827	??????+?	0.9991427871662993
F3|ENSG00000117525	ad	control	173.0	-0.077	0.9388	++++---?	0.9991427871662993
PCCA|ENSG00000175198	ad	control	173.0	-0.833	0.4049	-+-+--+?	0.8201446820523679
ENOX2|ENSG00000165675	ad	control	173.0	0.915	0.36	-----++?	0.7723704866562009
PCMTD1P3|ENSG00000234800	ad	control	31.0	-0.153	0.8782	??????-?	0.9991427871662993
RBM12B-AS1|ENSG00000279331	ad	control	176.0	0.747	0.455	????+?++	0.8618903042703452
NIFKP4|ENSG00000261205	ad	control	106.0	0.902	0.367	???????+	0.7792912104172832
UBXN1|ENSG00000162191	ad	control	279.0	-0.678	0.498	-----++-	0.8959192628345766
MCHR2-AS1|ENSG00000229315	ad	control	137.0	0.415	0.678	??????++	0.9991427871662993
NLRC3|ENSG00000167984	ad	control	279.0	-1.996	0.04589	-----++-	0.22645168500687757
PFN1P3|ENSG00000234367	ad	control	106.0	0.345	0.73	???????+	0.9991427871662993
FAM151A|ENSG00000162391	ad	control	134.0	-4.246	2.174e-05	----?-+?	0.0017606966292134831
ZNF598|ENSG00000167962	ad	control	279.0	-1.833	0.06687	----+++-	0.289075011296882
CAND1|ENSG00000111530	ad	control	279.0	2.236	0.02532	++++---+	0.15549668590977123
DEDD2|ENSG00000160570	ad	control	279.0	-1.859	0.06301	--------	0.2781278068286681
AGXT|ENSG00000172482	ad	control	62.0	-0.552	0.5809	?????--?	0.9523502198869152
CD80|ENSG00000121594	ad	control	62.0	-0.707	0.4798	?????--?	0.8830486084391432
ETS2-AS1|ENSG00000205622	ad	control	134.0	-4.211	2.546e-05	----?--?	0.0019178530183727033
ARNILA|ENSG00000235072	ad	control	173.0	-2.039	0.04149	------+?	0.2130928775948461
RPL37A-DT|ENSG00000232485	ad	control	168.0	-0.062	0.9503	?????-+-	0.9991427871662993
LOC105378644|ENSG00000284640	ad	control	62.0	-0.744	0.4569	?????--?	0.8637221709919641
MIPOL1|ENSG00000151338	ad	control	279.0	-1.825	0.06799	-------+	0.29268231588420573
KNL1|ENSG00000137812	ad	control	62.0	0.647	0.5177	?????++?	0.9110636603149317
RSU1P3|ENSG00000213659	ad	control	106.0	-0.836	0.403	???????-	0.8183175321918778
LOC124904152|ENSG00000221044	ad	control	62.0	-0.083	0.9341	?????--?	0.9991427871662993
SLC15A2|ENSG00000163406	ad	control	279.0	-0.378	0.7057	+------+	0.9991427871662993
TAF7L|ENSG00000102387	ad	control	134.0	1.205	0.2283	++++?+-?	0.6020038588754134
DGCR2|ENSG00000070413	ad	control	173.0	-1.986	0.04706	+-+----?	0.22985398230088497
JAKMIP3-AS1|ENSG00000235010	ad	control	168.0	0.018	0.9859	?????++-	0.9991427871662993
RPL21|ENSG00000122026	ad	control	279.0	-0.223	0.8238	-----+++	0.9991427871662993
GLI2|ENSG00000074047	ad	control	173.0	-4.686	2.786e-06	-------?	0.000456904
TEAD3|ENSG00000007866	ad	control	173.0	-3.654	0.0002586	-------?	0.007964019292604502
LOC100419436|ENSG00000232344	ad	control	137.0	0.015	0.9883	??????++	0.9991427871662993
DPY19L2P2|ENSG00000291139	ad	control	106.0	-0.86	0.39	???????-	0.8055415617128463
MOXD1|ENSG00000079931	ad	control	279.0	0.351	0.7253	+++++---	0.9991427871662993
WDR59|ENSG00000103091	ad	control	279.0	-1.815	0.06947	-----++-	0.29664777629034655
FA2H|ENSG00000103089	ad	control	279.0	-0.056	0.9554	----+++-	0.9991427871662993
NEIL1|ENSG00000140398	ad	control	279.0	-2.679	0.007381	----+---	0.07087142857142857
DCLK2|ENSG00000170390	ad	control	279.0	-1.72	0.08547	--++----	0.336176414189837
BDKRB1|ENSG00000100739	ad	control	62.0	-1.315	0.1884	?????--?	0.5386610878661088
ZNF98|ENSG00000197360	ad	control	173.0	0.129	0.8977	+++-+--?	0.9991427871662993
UBE2V1|ENSG00000244687	ad	control	279.0	2.223	0.02618	+++++--+	0.15891835871404397
CAPZA1|ENSG00000116489	ad	control	279.0	-0.559	0.576	++++---+	0.9499051887605585
FAM246C|ENSG00000286025	ad	control	62.0	-2.238	0.0252	?????--?	0.15496893079065782
FGF12|ENSG00000114279	ad	control	173.0	2.45	0.01427	+++++--?	0.10766272344900105
TLNRD1|ENSG00000140406	ad	control	279.0	-0.394	0.6933	+---+-+-	0.9991427871662993
SLC14A2|ENSG00000132874	ad	control	62.0	0.091	0.9275	?????-+?	0.9991427871662993
CCDC178|ENSG00000166960	ad	control	134.0	-1.542	0.1231	----?-+?	0.419991678554446
ZACN|ENSG00000186919	ad	control	101.0	-2.422	0.01544	????---?	0.11272653268888325
LINC02778|ENSG00000238242	ad	control	62.0	0.286	0.775	?????++?	0.9991427871662993
SLC2A14|ENSG00000173262	ad	control	62.0	-0.255	0.7985	?????--?	0.9991427871662993
HFE|ENSG00000010704	ad	control	279.0	-3.35	0.0008082	---+---+	0.016893911143481426
H2BC11|ENSG00000124635	ad	control	279.0	-0.127	0.8991	++--+++-	0.9991427871662993
SZRD1P1|ENSG00000256678	ad	control	31.0	-0.175	0.861	??????-?	0.9991427871662993
PSMD12|ENSG00000197170	ad	control	279.0	2.746	0.006029	+++++--+	0.0624890935355724
WDR4|ENSG00000160193	ad	control	279.0	-1.343	0.1794	-----+--	0.5241021986970684
GSTO3P|ENSG00000232829	ad	control	31.0	0.126	0.9	??????+?	0.9991427871662993
ANKDD1A|ENSG00000166839	ad	control	279.0	-0.848	0.3966	-----+-+	0.8124880587438512
TMEM263|ENSG00000151135	ad	control	173.0	-0.735	0.4621	+-++-+-?	0.8681768787640743
ZNF331|ENSG00000130844	ad	control	279.0	0.41	0.6818	----+--+	0.9991427871662993
NFATC2IP-AS1|ENSG00000260853	ad	control	168.0	0.863	0.3884	?????-++	0.8035089742665611
PPP2R5CP|ENSG00000239557	ad	control	62.0	-1.003	0.3158	?????--?	0.72287924708885
GOLGA8K|ENSG00000249931	ad	control	62.0	0.439	0.6603	?????+-?	0.9935251007695126
TAF5L|ENSG00000135801	ad	control	279.0	-0.422	0.6733	---+--+-	0.9991427871662993
LOC105375483|ENSG00000241345	ad	control	168.0	0.679	0.4971	?????++-	0.8949171998494542
SHANK2-AS2|ENSG00000236262	ad	control	137.0	0.214	0.8305	??????-+	0.9991427871662993
MYL1|ENSG00000168530	ad	control	106.0	-0.57	0.569	???????-	0.9451538995602871
CASC6|ENSG00000224944	ad	control	137.0	-0.014	0.9888	??????-+	0.9991427871662993
DNMBP|ENSG00000107554	ad	control	173.0	-3.29	0.001001	+------?	0.019437550744248983
RAP1GDS1|ENSG00000138698	ad	control	279.0	3.653	0.0002589	++++++++	0.007964019292604502
RC3H1-DT|ENSG00000224977	ad	control	168.0	0.027	0.9784	?????+-+	0.9991427871662993
SEPTIN10P1|ENSG00000253541	ad	control	62.0	0.241	0.8098	?????-+?	0.9991427871662993
PIMREG|ENSG00000129195	ad	control	168.0	-0.876	0.3812	?????---	0.794570411794611
OVCH1|ENSG00000187950	ad	control	134.0	-0.732	0.4645	----?-+?	0.8698955954323002
TFAP2E-AS1|ENSG00000239636	ad	control	168.0	0.008	0.9932	?????--+	0.9991427871662993
SIAH3|ENSG00000215475	ad	control	173.0	0.614	0.5391	--+++--?	0.9247053550083673
ZDHHC20-IT1|ENSG00000236953	ad	control	62.0	3.531	0.0004148	?????++?	0.010972129032258065
LINC01081|ENSG00000268754	ad	control	62.0	0.199	0.8426	?????++?	0.9991427871662993
DHODH|ENSG00000102967	ad	control	279.0	-1.401	0.1611	----+++0	0.4929179104477612
CCNC|ENSG00000112237	ad	control	279.0	2.57	0.01016	+++++--+	0.08634646135623335
MTCO1P47|ENSG00000254241	ad	control	62.0	-0.396	0.6918	?????--?	0.9991427871662993
EDRF1-AS1|ENSG00000236991	ad	control	62.0	0.072	0.9427	?????-+?	0.9991427871662993
ITGA5|ENSG00000161638	ad	control	173.0	-3.481	0.0005004	------+?	0.012359277108433736
BTBD8|ENSG00000189195	ad	control	279.0	0.772	0.4402	++++----	0.8505850669898337
GTF2IRD1P1|ENSG00000230583	ad	control	62.0	-0.481	0.6303	?????-+?	0.9801479193758127
TBC1D8|ENSG00000204634	ad	control	173.0	0.781	0.4347	++-++--?	0.8457657107992678
MRPL11|ENSG00000174547	ad	control	279.0	0.377	0.7058	++++----	0.9991427871662993
DYSF|ENSG00000135636	ad	control	279.0	0.613	0.54	----+++-	0.9252659796270924
LY6G5C|ENSG00000206404	ad	control	134.0	-2.788	0.005306	----?++?	0.05761717744986758
BIRC2|ENSG00000110330	ad	control	279.0	0.667	0.5046	+----+++	0.9008472256780294
FAM221A|ENSG00000188732	ad	control	279.0	1.211	0.226	++++--+-	0.5987998522895126
LINC01713|ENSG00000228482	ad	control	31.0	-0.113	0.9103	??????-?	0.9991427871662993
RNU6-94P|ENSG00000271819	ad	control	62.0	0.226	0.8214	?????-+?	0.9991427871662993
EFCAB14-AS1|ENSG00000228237	ad	control	106.0	-0.295	0.768	???????-	0.9991427871662993
LOC729998|ENSG00000283041	ad	control	207.0	0.605	0.5454	????-++-	0.9292911422464972
CTRL|ENSG00000141086	ad	control	279.0	-3.095	0.001967	-----++-	0.030075399361022367
DACH2|ENSG00000126733	ad	control	279.0	2.627	0.008624	+++++--+	0.07783295597484277
ZEB1|ENSG00000148516	ad	control	173.0	-1.04	0.2983	-----++?	0.7005326896325996
HMGB1P19|ENSG00000253463	ad	control	31.0	-0.36	0.7188	??????-?	0.9991427871662993
KAT14|ENSG00000149474	ad	control	279.0	3.169	0.00153	++++-+++	0.02540057770075101
GTF2H4|ENSG00000221974	ad	control	279.0	-0.99	0.3223	---++---	0.7310527147712004
THOC7|ENSG00000163634	ad	control	173.0	2.078	0.03774	+++++--?	0.2006554279362727
INTS6L-AS1|ENSG00000225235	ad	control	62.0	0.667	0.5045	?????++?	0.9007807639666541
MYPOP|ENSG00000176182	ad	control	173.0	-0.839	0.4012	----+--?	0.8165111331725996
IMPA1|ENSG00000133731	ad	control	279.0	0.913	0.3611	+++++--+	0.7736894363568495
ACE2|ENSG00000130234	ad	control	31.0	-0.075	0.9402	??????-?	0.9991427871662993
FNDC11|ENSG00000125531	ad	control	62.0	1.289	0.1972	?????++?	0.5530232558139535
CNBP|ENSG00000169714	ad	control	279.0	1.338	0.181	++++---+	0.5268992798458262
MED11|ENSG00000161920	ad	control	279.0	-1.4	0.1616	-----++-	0.4938160136286201
KRT87P|ENSG00000135477	ad	control	62.0	0.035	0.9717	?????+-?	0.9991427871662993
CERS1|ENSG00000223802	ad	control	279.0	-2.669	0.007609	-----++-	0.07209561200923788
OXGR1|ENSG00000165621	ad	control	62.0	-1.16	0.2461	?????--?	0.6278842563783448
RNF151|ENSG00000291936	ad	control	31.0	-0.467	0.6405	??????-?	0.9860717734148696
MAD2L1|ENSG00000164109	ad	control	173.0	1.213	0.225	+++++--?	0.597197817441968
ZBTB48|ENSG00000204859	ad	control	279.0	-3.005	0.002652	--------	0.03657491590581451
LOC124900187|ENSG00000221245	ad	control	31.0	0.172	0.8636	??????+?	0.9991427871662993
DIP2A-IT1|ENSG00000223692	ad	control	168.0	-1.085	0.2778	?????+--	0.6718513524900985
SPDYE5|ENSG00000170092	ad	control	248.0	1.614	0.1066	-++++?+-	0.38551159274193547
ARL2BPP10|ENSG00000225225	ad	control	137.0	0.169	0.8657	?????+?-	0.9991427871662993
HECTD3|ENSG00000126107	ad	control	279.0	-2.384	0.0171	-----++-	0.12078269419862339
LINC02920|ENSG00000236471	ad	control	62.0	-0.773	0.4394	?????--?	0.8502055810191426
CACNA1G-AS1|ENSG00000250107	ad	control	168.0	-1.453	0.1462	?????---	0.46502715283165247
EIF5A2P1|ENSG00000260576	ad	control	137.0	-0.013	0.9898	??????+-	0.9991427871662993
RNPEP|ENSG00000176393	ad	control	279.0	-2.876	0.004032	--------	0.04835704137066444
ZNF771|ENSG00000179965	ad	control	279.0	-2.827	0.004699	------+-	0.053644112967382654
LOC119746555|ENSG00000260257	ad	control	173.0	-2.514	0.01194	-----++?	0.09598823529411764
NT5DC1|ENSG00000178425	ad	control	279.0	2.275	0.02292	+++++++-	0.1459192546583851
SUMO4|ENSG00000177688	ad	control	279.0	0.08	0.9359	---++--+	0.9991427871662993
INE2|ENSG00000281371	ad	control	168.0	0.071	0.9434	?????-++	0.9991427871662993
HIBADH|ENSG00000106049	ad	control	279.0	0.613	0.5398	++++---+	0.9252659796270924
OR56A1|ENSG00000180934	ad	control	31.0	0.44	0.6597	??????+?	0.9935251007695126
SNRNP48|ENSG00000168566	ad	control	279.0	-2.043	0.0411	-----+++	0.21200035945363047
