MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
AZIN1|ENSG00000155096	ad	control	279.0	3.561	0.00037	++++-+++	0.010152007648183557
ITPRIPL2|ENSG00000205730	ad	control	279.0	-2.941	0.003273	------+-	0.04191659973226238
SOX2|ENSG00000181449	ad	control	173.0	-4.196	2.716e-05	-------?	0.0019784060913705585
ZNF217|ENSG00000171940	ad	control	173.0	-3.09	0.002001	------+?	0.030273431734317346
MTF2|ENSG00000143033	ad	control	279.0	2.904	0.003683	++++++-+	0.045346246246246245
PBX1|ENSG00000185630	ad	control	173.0	3.285	0.001022	+++++++?	0.019665170797052912
SQSTM1|ENSG00000284099	ad	control	279.0	-3.074	0.002112	--------	0.03130909090909091
CCSER2|ENSG00000107771	ad	control	279.0	3.45	0.0005599	++++++++	0.01324742786479802
ELP3|ENSG00000134014	ad	control	279.0	3.186	0.001442	++++-+++	0.024416165191740412
CWC22|ENSG00000163510	ad	control	279.0	3.627	0.0002864	++++++++	0.008508985507246377
KLHL22|ENSG00000099910	ad	control	279.0	3.117	0.001824	++++++--	0.02868427397260274
CABIN1|ENSG00000099991	ad	control	173.0	-3.148	0.001646	-------?	0.02661419718309859
SLC25A40|ENSG00000075303	ad	control	279.0	3.032	0.002429	+++++--+	0.034408835143139194
SEMA6C|ENSG00000143434	ad	control	279.0	-3.205	0.001352	--------	0.023417260108630055
LRRN2|ENSG00000170382	ad	control	279.0	-2.891	0.003845	-++-----	0.04689821504462388
NR2F2|ENSG00000185551	ad	control	173.0	-4.123	3.734e-05	-------?	0.002409022123893805
AMZ2|ENSG00000196704	ad	control	279.0	2.963	0.003048	++++++++	0.04003551487414188
TLE3|ENSG00000140332	ad	control	279.0	-4.114	3.896e-05	--------	0.0024254924078091107
SMU1|ENSG00000122692	ad	control	279.0	3.4	0.0006742	++++++++	0.014973720030935809
CTDNEP1|ENSG00000175826	ad	control	279.0	-3.26	0.001115	-----++-	0.020779545454545457
ACADSB|ENSG00000196177	ad	control	279.0	3.761	0.0001695	+++++--+	0.006043043478260869
NUFIP1|ENSG00000083635	ad	control	279.0	3.35	0.0008073	++++++++	0.016893911143481426
ZNF248|ENSG00000198105	ad	control	173.0	3.721	0.0001985	+++++++?	0.00668656103286385
RAB3GAP1|ENSG00000115839	ad	control	279.0	3.642	0.000271	++++-+++	0.008230370370370369
ZNF461|ENSG00000197808	ad	control	279.0	3.817	0.0001352	++++++++	0.005261666666666666
TMEM47|ENSG00000147027	ad	control	279.0	-3.075	0.002107	-------+	0.031267269906928644
CEDORA|ENSG00000260788	ad	control	101.0	4.402	1.075e-05	????-++?	0.0011301282051282052
SRPK2|ENSG00000135250	ad	control	279.0	3.272	0.001067	++++++++	0.020173188405797102
IFIT5|ENSG00000152778	ad	control	279.0	3.107	0.001892	++++++++	0.029351567567567568
PHAX|ENSG00000164902	ad	control	279.0	2.913	0.003579	++++++++	0.04450489601386482
LOC122526782|ENSG00000233461	ad	control	62.0	3.869	0.0001093	?????++?	0.0046669436201780415
TAL1|ENSG00000162367	ad	control	279.0	-3.663	0.0002496	------+-	0.007786434782608696
TNFRSF25|ENSG00000215788	ad	control	279.0	-2.946	0.003217	----+---	0.041489937106918236
ZNRF3|ENSG00000183579	ad	control	173.0	-4.266	1.986e-05	-------?	0.0016822094395280236
LOC101927383|ENSG00000228528	ad	control	134.0	3.701	0.0002145	++++?++?	0.00703888
FUT3|ENSG00000292063	ad	control	62.0	-2.918	0.003524	?????--?	0.04405
TMEM127|ENSG00000135956	ad	control	279.0	-3.123	0.001789	+-------	0.028351352843732747
KCNK10|ENSG00000100433	ad	control	279.0	4.682	2.836e-06	++++++++	0.0004588775280898876
GPATCH4|ENSG00000292251	ad	control	279.0	3.454	0.0005517	-++++++-	0.01314483817427386
TTC7A|ENSG00000068724	ad	control	279.0	-3.622	0.0002927	-----++-	0.008607059426229509
ABCC1|ENSG00000278183	ad	control	279.0	-3.407	0.0006557	--------	0.014761929411764707
TMPRSS9|ENSG00000178297	ad	control	134.0	-3.283	0.001028	----?-+?	0.019701334222815208
C8orf82|ENSG00000213563	ad	control	279.0	-2.92	0.003503	-----++-	0.043883064164120474
EPB41L1|ENSG00000088367	ad	control	173.0	3.237	0.001208	+++++++?	0.02177738693467337
TBX15|ENSG00000092607	ad	control	173.0	-4.015	5.943e-05	-----++?	0.003194084269662921
APBB1IP|ENSG00000077420	ad	control	279.0	-4.091	4.303e-05	--------	0.002583600418410042
LINC00598|ENSG00000215483	ad	control	173.0	-3.81	0.0001392	-----+-?	0.005355281501340482
RPP38|ENSG00000152464	ad	control	173.0	-3.281	0.001034	-------?	0.019757523302263647
MLANA|ENSG00000120215	ad	control	248.0	-3.658	0.0002538	-----?+-	0.007866155507559395
TMSB15A|ENSG00000158164	ad	control	62.0	3.031	0.002438	?????++?	0.034499408575653034
SNX20|ENSG00000167208	ad	control	173.0	-3.385	0.0007115	-------?	0.015528555133079849
STAP2|ENSG00000178078	ad	control	134.0	-4.384	1.168e-05	----?--?	0.0012054
IER5L|ENSG00000188483	ad	control	173.0	-3.474	0.000512	-------?	0.012505872340425533
WDR88|ENSG00000166359	ad	control	134.0	4.119	3.807e-05	++++?++?	0.0024119403973509933
SAMSN1|ENSG00000155307	ad	control	173.0	-3.218	0.001291	-+-+---?	0.022752360515021462
EXOC1|ENSG00000090989	ad	control	173.0	3.811	0.0001387	+++++--?	0.005350389784946237
NINL|ENSG00000101004	ad	control	279.0	-3.552	0.0003819	-----+--	0.010418754752851712
MED26|ENSG00000105085	ad	control	279.0	-3.004	0.002669	--------	0.03675251798561151
CCDC120|ENSG00000147144	ad	control	279.0	-3.682	0.0002315	--------	0.007381818181818181
RIPOR3|ENSG00000042062	ad	control	279.0	-3.134	0.001727	-----++-	0.02762814938684504
FAM20C|ENSG00000282147	ad	control	279.0	-3.482	0.0004969	--------	0.012325868625756266
SLC11A1|ENSG00000018280	ad	control	279.0	-3.274	0.001062	----+--+	0.020131704095112286
COPS2|ENSG00000166200	ad	control	279.0	3.903	9.498e-05	++++++++	0.004286047169811321
ZMAT2|ENSG00000146007	ad	control	279.0	3.548	0.0003883	++++-+++	0.010543245033112582
SGO1-AS1|ENSG00000231304	ad	control	62.0	3.893	9.885e-05	?????++?	0.004398441860465116
TSPAN14|ENSG00000108219	ad	control	173.0	-4.663	3.109e-06	------+?	0.0004823151351351351
ZNF711|ENSG00000147180	ad	control	279.0	4.496	6.91e-06	++++++++	0.0008511459227467811
DRAM1|ENSG00000136048	ad	control	279.0	-3.238	0.001202	------+-	0.02173749212350346
KAT2A|ENSG00000108773	ad	control	279.0	-3.563	0.0003673	------+-	0.010116612284069097
ZNF8|ENSG00000278129	ad	control	173.0	-3.489	0.0004856	----+--?	0.012171204188481674
CHPF|ENSG00000123989	ad	control	279.0	-3.454	0.0005517	+-------	0.01314483817427386
