MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
CARD14|ENSG00000141527	ad	control	263.0	-3.611	0.0003049	-------++????-	0.012546132417582418
CXCL16|ENSG00000161921	ad	control	687.0	-4.287	1.807e-05	-----------+--	0.002106244824902724
ARHGAP11B|ENSG00000274734	ad	control	124.0	4.145	3.394e-05	?????++++?????	0.0031389080246913576
GTF2H5|ENSG00000272047	ad	control	687.0	4.12	3.784e-05	+++++--+++++++	0.0033636054599406524
TUBB6|ENSG00000176014	ad	control	687.0	-3.581	0.0003417	-----------+--	0.013423568709256845
C4A|ENSG00000244207	ad	control	687.0	-3.048	0.0023	--------------	0.043579253636938646
ELL|ENSG00000105656	ad	control	687.0	-3.434	0.0005948	--------------	0.018804657805907173
LINC03015|ENSG00000242474	ad	control	124.0	4.02	5.831e-05	?????++++?????	0.004467351304347827
LINC02983|ENSG00000234432	ad	control	235.0	-3.08	0.00207	-----++--?????	0.0409299801980198
TSPAN5|ENSG00000168785	ad	control	235.0	3.952	7.751e-05	+++++++++?????	0.005437680468384074
SUPT3H|ENSG00000196284	ad	control	687.0	3.353	0.0007986	++++++++++++++	0.02271876695156695
C19orf25|ENSG00000119559	ad	control	687.0	-3.27	0.001074	--------------	0.027048137238493728
NANOS1|ENSG00000188613	ad	control	687.0	-2.998	0.00272	-----+++---+--	0.04797544202472042
EMP3|ENSG00000142227	ad	control	687.0	-4.77	1.842e-06	--------+-----	0.00045228649180327864
IL32|ENSG00000008517	ad	control	687.0	-3.315	0.0009165	-------++-----	0.024600962365591398
DHRS3|ENSG00000162496	ad	control	687.0	-3.559	0.0003727	-----------+--	0.01413240658227848
TPD52|ENSG00000076554	ad	control	235.0	4.016	5.929e-05	+++++++++?????	0.004510842734177215
NIPAL4|ENSG00000172548	ad	control	235.0	3.167	0.001542	+++++++++?????	0.03409014907749078
TAP1|ENSG00000224212	ad	control	235.0	-3.528	0.0004189	---------?????	0.015173601451027812
NPEPPSP1|ENSG00000274487	ad	control	163.0	5.013	5.363e-07	????+++++?????	0.00021221461052631577
KMT2A|ENSG00000118058	ad	control	687.0	3.058	0.002226	----++++++++++	0.042646624920127794
SLC3A2|ENSG00000168003	ad	control	687.0	-3.368	0.0007562	--------------	0.02199293902912621
KLHDC8B|ENSG00000185909	ad	control	687.0	-3.41	0.0006507	+-------------	0.019832517599186163
ATG13|ENSG00000175224	ad	control	687.0	3.012	0.002599	+++++-++++++++	0.04681638244137102
ARID5A|ENSG00000196843	ad	control	687.0	-2.983	0.002852	----+---+--+--	0.04929862204270052
ADGRA1|ENSG00000197177	ad	control	263.0	3.205	0.00135	+++++----????+	0.03106036866359447
NXPE1|ENSG00000095110	ad	control	72.0	-4.261	2.039e-05	----??????????	0.002287651086142322
KREMEN2|ENSG00000131650	ad	control	201.0	3.005	0.002653	-+--++-??????+	0.04739014192009541
GRN|ENSG00000030582	ad	control	687.0	-3.421	0.0006249	--------+--+--	0.019238956217882835
SIX5|ENSG00000177045	ad	control	263.0	-4.049	5.136e-05	-----++-+????-	0.00410277376
LINC02298|ENSG00000257556	ad	control	124.0	-4.934	8.04e-07	?????----?????	0.00028334851764705884
ACAN|ENSG00000157766	ad	control	263.0	-5.175	2.284e-07	---------????-	0.00011216312131147541
GRIPAP1|ENSG00000068400	ad	control	659.0	3.446	0.0005681	+++++++++++-+?	0.01830859182795699
MAP2K3|ENSG00000034152	ad	control	687.0	-3.889	0.0001005	--------------	0.006502328293736501
GALNS|ENSG00000141012	ad	control	687.0	-3.27	0.001076	-----++-------	0.027048137238493728
MIR3654|ENSG00000284135	ad	control	28.0	-4.468	7.9e-06	?????????????-	0.0012521291005291007
KDM6B|ENSG00000132510	ad	control	687.0	-3.81	0.000139	----+-+-------	0.00791612927756654
PXDC1|ENSG00000168994	ad	control	687.0	-4.386	1.156e-05	--------+-----	0.0015884924770642199
LOC101929270|ENSG00000228395	ad	control	124.0	3.126	0.001774	?????++++?????	0.036929773453787354
STXBP2|ENSG00000076944	ad	control	687.0	-3.066	0.00217	------+-------	0.04199258397932816
ASH1L|ENSG00000116539	ad	control	235.0	3.224	0.001265	----+++++?????	0.02972105098039216
KCNMB1|ENSG00000145936	ad	control	263.0	-4.58	4.64e-06	+--------????-	0.0008741876729559748
GPD1|ENSG00000167588	ad	control	687.0	3.123	0.001787	+++++++----+-+	0.037097277893277894
