MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
CLEC10A|ENSG00000132514	ad	control	152.00	-0.910	0.3626	?????---+????-
CCSAP|ENSG00000154429	ad	control	687.00	1.892	0.05847	+++++----+++++
CTRB2|ENSG00000168928	ad	control	124.00	0.348	0.7275	?????-+-+?????
IGHA1|ENSG00000211895	ad	control	124.00	-2.373	0.01766	?????----?????
RPL29P11|ENSG00000224858	ad	control	486.00	1.813	0.06978	?????+??+-++-?
LOC100419318|ENSG00000250037	ad	control	62.00	0.176	0.8607	??????-?+?????
PNPT1P2|ENSG00000233272	ad	control	62.00	-0.046	0.9634	???????--?????
FBXL4|ENSG00000112234	ad	control	687.00	-0.581	0.5613	-----++++-+++-
TMSB4XP4|ENSG00000223551	ad	control	548.00	-0.768	0.4425	?????+--++---?
PFKFB4|ENSG00000114268	ad	control	687.00	-1.809	0.07049	--------+--+--
IRF2BPL|ENSG00000119669	ad	control	687.00	-3.632	0.0002808	--------------
GLRA2|ENSG00000101958	ad	control	659.00	-0.480	0.6315	++++-----++-+?
LINC02625|ENSG00000233643	ad	control	62.00	-0.087	0.9306	??????-+??????
TRBC2|ENSG00000211772	ad	control	576.00	-1.686	0.09174	?????---------
BPIFC|ENSG00000184459	ad	control	93.00	-0.452	0.651	??????---?????
FAM186B|ENSG00000135436	ad	control	235.00	-3.181	0.001469	---------?????
CEP295|ENSG00000166004	ad	control	263.00	0.378	0.7054	----+++++????+
EPHB2|ENSG00000133216	ad	control	687.00	-0.418	0.6759	+---+++------+
LINC02331|ENSG00000235269	ad	control	31.00	-0.119	0.9056	??????-???????
MIR4713HG|ENSG00000259240	ad	control	31.00	-0.117	0.9068	??????-???????
FBXW2|ENSG00000119402	ad	control	687.00	1.964	0.04953	+++++--++-+++-
FCGR1BP|ENSG00000291135	ad	control	452.00	0.213	0.8311	?????????--+++
LGALS9C|ENSG00000171916	ad	control	124.00	0.275	0.7837	?????+-++?????
CCDC28A|ENSG00000024862	ad	control	235.00	1.363	0.1728	+++++----?????
HDAC9|ENSG00000048052	ad	control	687.00	-0.908	0.3639	++-+++--+-----
FGF5|ENSG00000138675	ad	control	659.00	-1.013	0.3112	+++++----++-+?
SNORD115-48|ENSG00000201634	ad	control	31.00	0.854	0.3932	????????+?????
MIR3192|ENSG00000265137	ad	control	31.00	-0.185	0.8531	??????-???????
NTN1|ENSG00000065320	ad	control	687.00	-2.276	0.02284	----+-----++--
B4GALT4-AS1|ENSG00000240254	ad	control	452.00	0.367	0.7136	?????????--++-
SAMD15|ENSG00000100583	ad	control	687.00	-0.451	0.6519	---++-++----++
AFF4-DT|ENSG00000272023	ad	control	576.00	-0.136	0.8916	?????--+-++++-
RPSAP17|ENSG00000226855	ad	control	124.00	0.092	0.9263	?????--++?????
MIR6750|ENSG00000274986	ad	control	31.00	-0.121	0.9041	????????-?????
PTP4A1P6|ENSG00000254727	ad	control	424.00	-0.787	0.4313	?????????++--?
MUC5AC|ENSG00000291363	ad	control	93.00	-0.047	0.9624	?????-+?-?????
SNORD115-3|ENSG00000199970	ad	control	62.00	0.061	0.9515	??????-?+?????
SNORA27|ENSG00000207051	ad	control	424.00	0.595	0.5519	?????????++-+?
AGAP12P|ENSG00000265018	ad	control	132.00	-0.537	0.5915	????++?--?????
TRNK|ENSG00000210156	ad	control	124.00	1.993	0.04626	?????++++?????
KLHL13|ENSG00000003096	ad	control	659.00	0.334	0.7384	++++-+--+++++?
NDUFA5P10|ENSG00000224927	ad	control	124.00	0.534	0.5932	?????++++?????
IGFBP6|ENSG00000167779	ad	control	687.00	-1.200	0.2301	+++++----+--+-
EMC3|ENSG00000125037	ad	control	235.00	-0.705	0.4808	+++++----?????
TMEM74|ENSG00000164841	ad	control	687.00	1.266	0.2056	-+-+-++++-+++-
SLC9A3|ENSG00000066230	ad	control	196.00	-0.520	0.603	++++?----?????
KRT78|ENSG00000170423	ad	control	31.00	-0.480	0.631	????????-?????
ZP4|ENSG00000116996	ad	control	28.00	-1.911	0.056	?????????????-
DPM1|ENSG00000000419	ad	control	687.00	0.152	0.8788	+++++----+-+++
BBOX1-AS1|ENSG00000254560	ad	control	576.00	-0.182	0.8557	?????--+--+-++
ASB16|ENSG00000161664	ad	control	235.00	-2.042	0.04113	--------+?????
SCARNA21|ENSG00000252835	ad	control	517.00	-0.003	0.9974	??????--+++--?
RXRB|ENSG00000227322	ad	control	687.00	-0.676	0.4989	++++------+-+-
OLA1|ENSG00000138430	ad	control	687.00	3.161	0.001573	+++++----+++++
UBFD1|ENSG00000103353	ad	control	687.00	0.268	0.789	++++-----++-++
C9orf72|ENSG00000147894	ad	control	687.00	1.865	0.06219	+++++----+++++
A4GALT|ENSG00000128274	ad	control	263.00	-4.527	5.995e-06	-------++????-
SRSF2|ENSG00000161547	ad	control	687.00	1.530	0.1261	+++++------+-+
NHS|ENSG00000188158	ad	control	659.00	-0.287	0.7744	++++--++-+---?
FOXI2|ENSG00000186766	ad	control	93.00	0.613	0.5397	??????--+?????
TNNC1|ENSG00000114854	ad	control	576.00	-1.216	0.2241	?????-+----+--
LINC02219|ENSG00000253787	ad	control	124.00	0.952	0.3412	?????+-++?????
ANP32BP1|ENSG00000259790	ad	control	124.00	1.188	0.2347	?????++++?????
ZGPAT|ENSG00000197114	ad	control	687.00	-2.249	0.02451	----++++------
ZFYVE9P1|ENSG00000229562	ad	control	31.00	0.284	0.7766	????????+?????
ADGRF5|ENSG00000069122	ad	control	263.00	-5.320	1.038e-07	--------+????-
ROR1|ENSG00000185483	ad	control	235.00	-1.092	0.2748	-++-++--+?????
FRG1EP|ENSG00000282995	ad	control	124.00	-0.628	0.53	?????--++?????
FAM222B|ENSG00000173065	ad	control	687.00	-1.975	0.04827	-------------+
ATP8A2P3|ENSG00000233963	ad	control	124.00	0.109	0.9135	?????--++?????
RRAGC|ENSG00000116954	ad	control	235.00	-1.634	0.1023	-----++-+?????
DMKN|ENSG00000161249	ad	control	687.00	0.473	0.6359	+++++-----+-+-
NUDT6|ENSG00000170917	ad	control	687.00	0.769	0.4417	+++++++---++-+
DNAJA1P6|ENSG00000228045	ad	control	31.00	0.103	0.9178	????????+?????
LOC105371855|ENSG00000265702	ad	control	124.00	3.763	0.0001678	?????++++?????
KAT8|ENSG00000103510	ad	control	687.00	-0.654	0.5129	-+--+-+--++-++
POMGNT2|ENSG00000144647	ad	control	687.00	-2.108	0.03505	+++----------+
PRP4K|ENSG00000112739	ad	control	687.00	-1.671	0.09465	-----++++--++-
JSRP1|ENSG00000167476	ad	control	124.00	-0.940	0.3473	?????+--+?????
FOXN3|ENSG00000053254	ad	control	235.00	-1.394	0.1632	-----++++?????
NTN5|ENSG00000142233	ad	control	224.00	-2.695	0.007038	----?----????-
