gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
FAM81A,ENSG00000157470,FAM81A,False,Hippocampus,Annese_et_al,1.9
PNMA8A,ENSG00000182013,PNMA8A,False,Hippocampus,Annese_et_al,1.9
GOLGA8B,ENSG00000215252,GOLGA8B,False,Hippocampus,Annese_et_al,1.9
NCKAP1,ENSG00000061676,NCKAP1,False,Hippocampus,Annese_et_al,1.9
COX6A1,ENSG00000111775,COX6A1,False,Hippocampus,Annese_et_al,1.9
LINGO1-AS2,ENSG00000259281,LINGO1-AS2,False,Hippocampus,Annese_et_al,1.9
ATP6V1F,ENSG00000128524,ATP6V1F,False,Hippocampus,Annese_et_al,1.9
PIP4K2C,ENSG00000166908,PIP4K2C,False,Hippocampus,Annese_et_al,1.9
KCTD17,ENSG00000100379,KCTD17,False,Hippocampus,Annese_et_al,1.9
NDUFA9,ENSG00000139180,NDUFA9,False,Hippocampus,Annese_et_al,1.9
HAGH,ENSG00000063854,HAGH,False,Hippocampus,Annese_et_al,1.9
NDUFV1-DT,ENSG00000184224,NDUFV1-DT,False,Hippocampus,Annese_et_al,1.9
SHANK2-AS2,ENSG00000236262,SHANK2-AS2,False,Hippocampus,Annese_et_al,1.9
LGMN,ENSG00000100600,LGMN,False,Hippocampus,Annese_et_al,1.9
ADAM22,ENSG00000008277,ADAM22,False,Hippocampus,Annese_et_al,1.9
ZBTB18,ENSG00000179456,ZBTB18,False,Hippocampus,Annese_et_al,1.9
GART,ENSG00000159131,GART,False,Hippocampus,Annese_et_al,1.9
LMBRD2,ENSG00000164187,LMBRD2,False,Hippocampus,Annese_et_al,1.9
NDFIP1,ENSG00000131507,NDFIP1,False,Hippocampus,Annese_et_al,1.9
CNTN3,ENSG00000113805,CNTN3,False,Hippocampus,Annese_et_al,1.9
G3BP2,ENSG00000138757,G3BP2,False,Hippocampus,Annese_et_al,1.9
ENTPD6,ENSG00000197586,ENTPD6,False,Hippocampus,Annese_et_al,1.9
MYH10,ENSG00000133026,MYH10,False,Hippocampus,Annese_et_al,1.9
CZ1P-ASNS,,CZ1P-ASNS,False,Hippocampus,Annese_et_al,1.9
SELENOW,ENSG00000178980,SELENOW,False,Hippocampus,Annese_et_al,1.9
DYNLT3,ENSG00000165169,DYNLT3,False,Hippocampus,Annese_et_al,1.9
LSM4,ENSG00000130520,LSM4,False,Hippocampus,Annese_et_al,1.9
ZFPM2-AS1,ENSG00000251003,ZFPM2-AS1,False,Hippocampus,Annese_et_al,1.9
CHEK2,ENSG00000183765,CHEK2,False,Hippocampus,Annese_et_al,1.9
COX7C,ENSG00000127184,COX7C,False,Hippocampus,Annese_et_al,1.9
RAB6B,ENSG00000154917,RAB6B,False,Hippocampus,Annese_et_al,1.9
PPARGC1A,ENSG00000109819,PPARGC1A,False,Hippocampus,Annese_et_al,1.9
CEP41,ENSG00000106477,CEP41,False,Hippocampus,Annese_et_al,1.9
DIAPH2-AS1,ENSG00000236256,DIAPH2-AS1,False,Hippocampus,Annese_et_al,1.9
PLEKHB2,ENSG00000115762,PLEKHB2,False,Hippocampus,Annese_et_al,1.9
CSPG5,ENSG00000114646,CSPG5,False,Hippocampus,Annese_et_al,1.9
TRUB1,ENSG00000165832,TRUB1,False,Hippocampus,Annese_et_al,1.9
